주민등록_시군구코드,기준연월,시도명,시군구명,총인구,65세이상인구,75세이상인구,85세이상인구,65세이상남자,65세이상여자,고령화율
11110,2026-06-30,서울특별시,종로구,136318,31263,13561,3984,14085,17178,22.933875203568128
11140,2026-06-30,서울특별시,중구,117558,27701,11832,3259,12340,15361,23.56368771159768
11170,2026-06-30,서울특별시,용산구,199648,40120,17010,5091,17727,22393,20.095367847411445
11200,2026-06-30,서울특별시,성동구,274517,54447,22326,5711,24133,30314,19.833744358272895
11215,2026-06-30,서울특별시,광진구,330905,64022,25146,6268,28673,35349,19.347546879013613
11230,2026-06-30,서울특별시,동대문구,352848,74629,31112,7770,33202,41427,21.150467056636284
11260,2026-06-30,서울특별시,중랑구,376386,90782,35164,8335,40912,49870,24.119388075008104
11290,2026-06-30,서울특별시,성북구,421762,89110,38011,9838,38433,50677,21.12802955221191
11305,2026-06-30,서울특별시,강북구,278041,75944,32936,8006,32585,43359,27.313957294068143
11320,2026-06-30,서울특별시,도봉구,298225,80304,32606,8458,35624,44680,26.92731997652779
11350,2026-06-30,서울특별시,노원구,481053,107095,43371,11332,45513,61582,22.26261971134158
11380,2026-06-30,서울특별시,은평구,453212,104893,44060,11007,45159,59734,23.144356283593552
11410,2026-06-30,서울특별시,서대문구,299810,63351,27591,7587,27097,36254,21.13038257563123
11440,2026-06-30,서울특별시,마포구,356487,62999,27185,7487,26542,36457,17.672173178825595
11470,2026-06-30,서울특별시,양천구,421247,86569,32094,7356,38927,47642,20.550650805821764
11500,2026-06-30,서울특별시,강서구,548515,116416,44664,10778,51110,65306,21.223849849138126
11530,2026-06-30,서울특별시,구로구,382633,88085,35535,7910,39391,48694,23.020753568040394
11545,2026-06-30,서울특별시,금천구,222503,51091,19833,4484,23460,27631,22.961937591852692
11560,2026-06-30,서울특별시,영등포구,371867,72898,30420,7681,33108,39790,19.60324524628429
11590,2026-06-30,서울특별시,동작구,371999,77106,33011,8182,33462,43644,20.727475073857725
11620,2026-06-30,서울특별시,관악구,477797,94060,40246,9061,41448,52612,19.68618471861481
11650,2026-06-30,서울특별시,서초구,414383,73931,30626,7172,33176,40755,17.84122418149393
11680,2026-06-30,서울특별시,강남구,552830,97588,39659,8979,43596,53992,17.652442884792794
11710,2026-06-30,서울특별시,송파구,650258,123327,45315,10104,56192,67135,18.965856629214866
11740,2026-06-30,서울특별시,강동구,499011,100813,36154,7773,45742,55071,20.20256066499536
26110,2026-06-30,부산광역시,중구,36306,12724,5452,1324,5450,7274,35.04654877981601
26140,2026-06-30,부산광역시,서구,101216,32261,13890,3495,13672,18589,31.873419222257347
26170,2026-06-30,부산광역시,동구,83354,26547,11763,2939,11270,15277,31.84850157161024
26200,2026-06-30,부산광역시,영도구,100570,36257,15766,3672,15650,20607,36.05150641344338
26230,2026-06-30,부산광역시,부산진구,364912,89706,35849,8527,38673,51033,24.582913140702416
26260,2026-06-30,부산광역시,동래구,271097,65555,25755,5830,28565,36990,24.181381571909686
26290,2026-06-30,부산광역시,남구,254413,65555,27486,6373,28168,37387,25.767158124781357
26320,2026-06-30,부산광역시,북구,260736,69412,24590,5600,31362,38050,26.62156357388316
26350,2026-06-30,부산광역시,해운대구,370739,89956,35195,8753,39136,50820,24.26397007058874
26380,2026-06-30,부산광역시,사하구,282159,78434,29222,6430,34948,43486,27.79780194854674
26410,2026-06-30,부산광역시,금정구,205672,60192,24324,5938,26234,33958,29.266015792135047
26440,2026-06-30,부산광역시,강서구,153555,23798,7889,1837,11338,12460,15.498030021816286
26470,2026-06-30,부산광역시,연제구,211464,52516,20954,4842,22618,29898,24.834487194037756
26500,2026-06-30,부산광역시,수영구,168440,46555,19601,4674,19591,26964,27.63892187128948
26530,2026-06-30,부산광역시,사상구,192475,53336,18442,3774,24200,29136,27.710611767762046
26710,2026-06-30,부산광역시,기장군,175262,37583,15299,3700,16323,21260,21.44389542513494
27110,2026-06-30,대구광역시,중구,101754,18811,8634,2333,7747,11064,18.486742535919966
27140,2026-06-30,대구광역시,동구,338476,86908,36014,9221,37029,49879,25.67626655951973
27170,2026-06-30,대구광역시,서구,163508,48739,19245,4604,20796,27943,29.808327421288254
27200,2026-06-30,대구광역시,남구,141344,40203,17730,4946,16620,23583,28.443372198324656
27230,2026-06-30,대구광역시,북구,406915,85869,33577,8560,37358,48511,21.102441541845348
27260,2026-06-30,대구광역시,수성구,408147,85343,35377,9743,36815,48528,20.909868258250093
27290,2026-06-30,대구광역시,달서구,513399,111111,40606,10276,48893,62218,21.642231480778108
27710,2026-06-30,대구광역시,달성군,252000,47722,17137,4386,21602,26120,18.937301587301587
27720,2026-06-30,대구광역시,군위군,22622,11296,5204,1687,5336,5960,49.93369286535231
28110,2026-06-30,인천광역시,중구,179030,30100,11792,2945,13807,16293,16.81282466625705
28140,2026-06-30,인천광역시,동구,57926,16881,7340,1844,7312,9569,29.14235403791044
28177,2026-06-30,인천광역시,미추홀구,418211,92292,36936,9360,40509,51783,22.068286104382718
28185,2026-06-30,인천광역시,연수구,410290,60007,19906,5568,27928,32079,14.625508786468108
28200,2026-06-30,인천광역시,남동구,479149,102290,37187,9525,45302,56988,21.348265362131613
28237,2026-06-30,인천광역시,부평구,488191,103325,37942,10185,45685,57640,21.164871945611452
28245,2026-06-30,인천광역시,계양구,276309,58847,19525,5494,26969,31878,21.297532834616316
28260,2026-06-30,인천광역시,서구,662875,98623,32986,8505,45707,52916,14.878069017537243
28710,2026-06-30,인천광역시,강화군,69681,29163,13138,4054,13559,15604,41.852154819821756
28720,2026-06-30,인천광역시,옹진군,19340,7265,2909,852,3568,3697,37.564632885212
29110,2026-06-30,광주광역시,동구,105200,26334,12276,3258,11464,14870,25.03231939163498
29140,2026-06-30,광주광역시,서구,274624,55087,22523,5632,23818,31269,20.059062572826846
29155,2026-06-30,광주광역시,남구,205647,47751,20807,5248,20297,27454,23.219886504544196
29170,2026-06-30,광주광역시,북구,416783,86558,34917,8653,37732,48826,20.768121540465902
29200,2026-06-30,광주광역시,광산구,383206,52385,20011,5252,23302,29083,13.670193055432325
30110,2026-06-30,대전광역시,동구,218251,54207,22308,5769,23901,30306,24.836999601376398
30140,2026-06-30,대전광역시,중구,224273,56540,24439,6489,24645,31895,25.210346318995153
30170,2026-06-30,대전광역시,서구,464359,84043,30981,7979,37334,46709,18.098712418624384
30200,2026-06-30,대전광역시,유성구,371104,51566,17233,4753,23829,27737,13.895296197292403
30230,2026-06-30,대전광역시,대덕구,164047,38941,14457,3756,17538,21403,23.73770931501338
31110,2026-06-30,울산광역시,중구,203026,46142,15901,3395,20885,25257,22.7271383960675
31140,2026-06-30,울산광역시,남구,304337,56898,18115,3772,26449,30449,18.69572217640313
31170,2026-06-30,울산광역시,동구,147756,30798,9112,1649,14606,16192,20.843823601072035
31200,2026-06-30,울산광역시,북구,213685,29555,9031,2140,14162,15393,13.831106535320684
31710,2026-06-30,울산광역시,울주군,218285,48168,16982,4523,22862,25306,22.066564353940947
36110,2026-06-30,세종특별자치시, ,390923,49871,18092,5163,22818,27053,12.757243753885037
41111,2026-06-30,경기도,수원시 장안구,269984,50880,19758,5541,22646,28234,18.845561218442576
41113,2026-06-30,경기도,수원시 권선구,360286,61494,21134,5364,28062,33432,17.06810700388025
41115,2026-06-30,경기도,수원시 팔달구,193401,36762,14187,3684,16266,20496,19.008174725053127
41117,2026-06-30,경기도,수원시 영통구,362099,39646,13653,3695,18047,21599,10.948939378457274
41131,2026-06-30,경기도,성남시 수정구,234639,50865,18883,4296,22892,27973,21.677981921164
41133,2026-06-30,경기도,성남시 중원구,200064,45149,16593,3900,20459,24690,22.567278470889317
41135,2026-06-30,경기도,성남시 분당구,467641,79863,32360,9721,36089,43774,17.077843901625393
41150,2026-06-30,경기도,의정부시,461917,96398,38158,10181,42482,53916,20.869117179060307
41171,2026-06-30,경기도,안양시 만안구,233711,53177,19480,5012,24130,29047,22.75331499159218
41173,2026-06-30,경기도,안양시 동안구,328594,55606,19084,5304,25038,30568,16.922402721899974
41192,2026-06-30,경기도,부천시 원미구,382339,77244,25569,6592,35418,41826,20.203013556032733
41194,2026-06-30,경기도,부천시 소사구,224202,49763,17522,4344,22293,27470,22.195609316598425
41196,2026-06-30,경기도,부천시 오정구,148912,34356,11756,3067,15476,18880,23.071344149564844
41210,2026-06-30,경기도,광명시,303666,57121,20401,5129,25113,32008,18.81046939729835
41220,2026-06-30,경기도,평택시,619670,93532,35511,9930,42290,51242,15.093840269821035
41250,2026-06-30,경기도,동두천시,86265,24403,10864,3155,10661,13742,28.28841360922738
41271,2026-06-30,경기도,안산시 상록구,320773,58305,20716,6036,26929,31376,18.176405121378668
41273,2026-06-30,경기도,안산시 단원구,288467,49350,15929,4448,23299,26051,17.10767609466594
41281,2026-06-30,경기도,고양시 덕양구,483048,96407,38473,11240,42940,53467,19.958057998376972
41285,2026-06-30,경기도,고양시 일산동구,298269,55225,21589,7071,24896,30329,18.515165840231468
41287,2026-06-30,경기도,고양시 일산서구,276121,53246,21610,7099,23731,29515,19.28357495445837
41290,2026-06-30,경기도,과천시,80832,13205,5013,1521,6011,7194,16.33635193982581
41310,2026-06-30,경기도,구리시,187782,37208,13378,3317,17014,20194,19.81446571023847
