법정동코드,기준연월,시도명,시군구명,읍면동명,리명,65세이상남자1인세대,65세이상여자1인세대,65세이상1인세대
1111010100,2026-06-30,서울특별시,종로구,청운동,,22,58,80
1111010200,2026-06-30,서울특별시,종로구,신교동,,15,42,57
1111010300,2026-06-30,서울특별시,종로구,궁정동,,4,7,11
1111010400,2026-06-30,서울특별시,종로구,효자동,,6,16,22
1111010500,2026-06-30,서울특별시,종로구,창성동,,7,24,31
1111010600,2026-06-30,서울특별시,종로구,통의동,,8,15,23
1111010700,2026-06-30,서울특별시,종로구,적선동,,1,0,1
1111010800,2026-06-30,서울특별시,종로구,통인동,,21,33,54
1111010900,2026-06-30,서울특별시,종로구,누상동,,35,105,140
1111011000,2026-06-30,서울특별시,종로구,누하동,,8,33,41
1111011100,2026-06-30,서울특별시,종로구,옥인동,,31,87,118
1111011200,2026-06-30,서울특별시,종로구,체부동,,23,40,63
1111011300,2026-06-30,서울특별시,종로구,필운동,,23,47,70
1111011400,2026-06-30,서울특별시,종로구,내자동,,5,15,20
1111011500,2026-06-30,서울특별시,종로구,사직동,,51,117,168
1111011700,2026-06-30,서울특별시,종로구,당주동,,5,17,22
1111011800,2026-06-30,서울특별시,종로구,내수동,,43,84,127
1111012000,2026-06-30,서울특별시,종로구,신문로1가,,3,4,7
1111012100,2026-06-30,서울특별시,종로구,신문로2가,,17,30,47
1111012200,2026-06-30,서울특별시,종로구,청진동,,8,7,15
1111012300,2026-06-30,서울특별시,종로구,서린동,,0,0,0
1111012400,2026-06-30,서울특별시,종로구,수송동,,13,17,30
1111012500,2026-06-30,서울특별시,종로구,중학동,,1,1,2
1111012600,2026-06-30,서울특별시,종로구,종로1가,,8,4,12
1111012700,2026-06-30,서울특별시,종로구,공평동,,1,0,1
1111012800,2026-06-30,서울특별시,종로구,관훈동,,11,10,21
1111012900,2026-06-30,서울특별시,종로구,견지동,,7,12,19
1111013000,2026-06-30,서울특별시,종로구,와룡동,,11,6,17
1111013100,2026-06-30,서울특별시,종로구,권농동,,10,7,17
1111013200,2026-06-30,서울특별시,종로구,운니동,,14,9,23
1111013300,2026-06-30,서울특별시,종로구,익선동,,68,60,128
1111013400,2026-06-30,서울특별시,종로구,경운동,,16,19,35
1111013500,2026-06-30,서울특별시,종로구,관철동,,27,2,29
1111013600,2026-06-30,서울특별시,종로구,인사동,,14,11,25
1111013700,2026-06-30,서울특별시,종로구,낙원동,,150,57,207
1111013800,2026-06-30,서울특별시,종로구,종로2가,,5,6,11
1111013900,2026-06-30,서울특별시,종로구,팔판동,,8,12,20
1111014000,2026-06-30,서울특별시,종로구,삼청동,,25,69,94
1111014100,2026-06-30,서울특별시,종로구,안국동,,12,23,35
1111014200,2026-06-30,서울특별시,종로구,소격동,,2,5,7
1111014300,2026-06-30,서울특별시,종로구,화동,,1,8,9
1111014400,2026-06-30,서울특별시,종로구,사간동,,5,6,11
1111014600,2026-06-30,서울특별시,종로구,가회동,,24,45,69
1111014700,2026-06-30,서울특별시,종로구,재동,,3,7,10
