"sido_code","sido_name","sigungu_code","sigungu_name","nursing_hospital_count","doctor_count","specialist_count"
"110000","서울","110001","강남구","6","30","22"
"110000","서울","110002","강동구","5","46","40"
"110000","서울","110003","강서구","4","26","19"
"110000","서울","110004","관악구","2","13","9"
"110000","서울","110005","구로구","7","58","45"
"110000","서울","110006","도봉구","6","22","17"
"110000","서울","110007","동대문구","5","33","24"
"110000","서울","110008","동작구","1","5","4"
"110000","서울","110009","마포구","3","14","12"
"110000","서울","110010","서대문구","5","22","17"
"110000","서울","110011","성동구","3","14","11"
"110000","서울","110012","성북구","8","46","36"
"110000","서울","110013","영등포구","9","56","44"
"110000","서울","110015","은평구","5","26","16"
"110000","서울","110016","종로구","1","2","1"
"110000","서울","110018","송파구","7","28","20"
"110000","서울","110019","중랑구","2","10","7"
"110000","서울","110020","양천구","2","20","12"
"110000","서울","110021","서초구","4","19","14"
"110000","서울","110022","노원구","7","33","24"
"110000","서울","110023","광진구","2","12","9"
"110000","서울","110024","강북구","4","22","16"
"110000","서울","110025","금천구","3","13","8"
"210000","부산","210001","부산남구","7","39","27"
"210000","부산","210002","부산동구","5","33","21"
"210000","부산","210003","부산동래구","15","97","65"
"210000","부산","210004","부산진구","12","77","49"
"210000","부산","210005","부산북구","13","57","32"
"210000","부산","210006","부산서구","4","21","14"
"210000","부산","210007","부산영도구","5","31","22"
"210000","부산","210008","부산중구","3","20","13"
"210000","부산","210009","부산해운대구","12","66","42"
"210000","부산","210010","부산사하구","20","110","67"
"210000","부산","210011","부산금정구","15","65","44"
"210000","부산","210013","부산연제구","12","56","37"
"210000","부산","210014","부산수영구","9","56","38"
"210000","부산","210015","부산사상구","13","76","50"
"210000","부산","210100","부산기장군","5","24","13"
"220000","인천","220001","인천미추홀구","13","74","48"
"220000","인천","220003","인천부평구","5","29","18"
"220000","인천","220006","인천남동구","14","80","51"
"220000","인천","220007","인천연수구","3","20","14"
"220000","인천","220008","인천계양구","5","25","19"
"220000","인천","220009","인천영종구","1","2","1"
"220000","인천","220010","인천제물포구","3","11","8"
"220000","인천","220011","인천서해구","8","48","33"
"220000","인천","220012","인천검단구","3","11","8"
"220000","인천","220100","인천강화군","2","3","1"
"230000","대구","230001","대구남구","7","36","22"
"230000","대구","230002","대구동구","7","38","25"
"230000","대구","230003","대구북구","12","73","52"
"230000","대구","230004","대구서구","10","56","38"
"230000","대구","230005","대구수성구","9","49","36"
"230000","대구","230006","대구중구","1","5","3"
"230000","대구","230007","대구달서구","11","49","32"
"230000","대구","230100","대구달성군","8","42","23"
"250000","대전","250001","대전유성구","9","46","32"
"250000","대전","250002","대전대덕구","3","12","8"
"250000","대전","250003","대전서구","6","26","19"
"250000","대전","250004","대전동구","14","58","37"
"250000","대전","250005","대전중구","11","54","37"
"260000","울산","260001","울산남구","15","66","33"
"260000","울산","260002","울산동구","3","12","8"
"260000","울산","260003","울산중구","5","27","18"
"260000","울산","260004","울산북구","6","27","13"
"260000","울산","260100","울산울주군","8","40","26"
"310000","경기","310001","가평군","5","12","5"
"310000","경기","310009","양평군","7","22","15"
"310000","경기","310011","연천군","1","2","2"
"310000","경기","310100","광명시","3","18","12"
"310000","경기","310200","동두천시","7","34","26"
"310000","경기","310301","부천소사구","3","29","21"
"310000","경기","310302","부천오정구","5","36","25"
"310000","경기","310303","부천원미구","8","54","39"
"310000","경기","310401","성남수정구","6","34","24"
"310000","경기","310402","성남중원구","3","17","12"
"310000","경기","310403","성남분당구","5","35","30"
"310000","경기","310601","수원권선구","4","16","12"
"310000","경기","310602","수원장안구","8","39","31"
"310000","경기","310603","수원팔달구","4","22","16"
"310000","경기","310604","수원영통구","4","36","30"
"310000","경기","310701","안양만안구","6","26","21"
"310000","경기","310800","의정부시","8","42","29"
"310000","경기","311000","구리시","4","24","17"
"310000","경기","311101","안산단원구","9","64","39"
"310000","경기","311102","안산상록구","5","33","23"
"310000","경기","311200","평택시","9","28","18"
"310000","경기","311300","하남시","6","31","21"
"310000","경기","311400","군포시","3","12","9"
"310000","경기","311500","남양주시","16","69","52"
"310000","경기","311600","의왕시","4","17","15"
"310000","경기","311700","시흥시","11","50","36"
