시도,시군구,신청자_공개값합계,신청자_비공개셀수,신청자_추정하한,신청자_추정상한,인정자_공개값합계,인정자_비공개셀수,인정자_추정하한,인정자_추정상한,자료기준
강원,강릉시,8575,5,8580,8595,7060,72,7132,7348,2026-05-31
강원,고성군,915,10,925,955,573,106,679,997,2026-05-31
강원,동해시,3259,7,3266,3287,2467,97,2564,2855,2026-05-31
강원,삼척시,2605,3,2608,2617,1749,99,1848,2145,2026-05-31
강원,속초시,2313,4,2317,2329,1619,101,1720,2023,2026-05-31
강원,양구군,630,10,640,670,295,104,399,711,2026-05-31
강원,양양군,1165,6,1171,1189,752,104,856,1168,2026-05-31
강원,영월군,1668,8,1676,1700,1118,104,1222,1534,2026-05-31
강원,원주시,11059,5,11064,11079,9086,57,9143,9314,2026-05-31
강원,인제군,763,8,771,795,366,98,464,758,2026-05-31
강원,정선군,1264,7,1271,1292,828,94,922,1204,2026-05-31
강원,철원군,1480,6,1486,1504,910,99,1009,1306,2026-05-31
강원,춘천시,10561,4,10565,10577,8583,47,8630,8771,2026-05-31
강원,태백시,1400,3,1403,1412,751,109,860,1187,2026-05-31
강원,평창군,1579,6,1585,1603,935,99,1034,1331,2026-05-31
강원,홍천군,2705,3,2708,2717,1921,97,2018,2309,2026-05-31
강원,화천군,690,10,700,730,382,77,459,690,2026-05-31
강원,횡성군,1998,6,2004,2022,1424,102,1526,1832,2026-05-31
경기도,가평군,2975,10,2985,3015,2270,91,2361,2634,2026-05-31
경기도,고양시,31163,5,31168,31183,25265,26,25291,25369,2026-05-31
경기도,과천시,1181,8,1189,1213,760,95,855,1140,2026-05-31
경기도,광명시,6179,7,6186,6207,4747,81,4828,5071,2026-05-31
경기도,광주시,10317,6,10323,10341,8595,62,8657,8843,2026-05-31
경기도,구리시,4505,4,4509,4521,3416,93,3509,3788,2026-05-31
경기도,군포시,6834,5,6839,6854,5054,76,5130,5358,2026-05-31
경기도,김포시,11589,6,11595,11613,9358,45,9403,9538,2026-05-31
경기도,남양주시,22519,2,22521,22527,19300,36,19336,19444,2026-05-31
경기도,동두천시,4394,7,4401,4422,3254,93,3347,3626,2026-05-31
경기도,부천시,22006,3,22009,22018,17378,34,17412,17514,2026-05-31
경기도,성남시,20891,4,20895,20907,16976,42,17018,17144,2026-05-31
경기도,수원시,26479,3,26482,26491,21473,37,21510,21621,2026-05-31
경기도,시흥시,11309,6,11315,11333,8871,53,8924,9083,2026-05-31
경기도,안산시,16025,4,16029,16041,12742,38,12780,12894,2026-05-31
경기도,안성시,7144,5,7149,7164,5935,68,6003,6207,2026-05-31
경기도,안양시,12292,6,12298,12316,9680,49,9729,9876,2026-05-31
경기도,양주시,10644,5,10649,10664,9094,56,9150,9318,2026-05-31
경기도,양평군,5785,7,5792,5813,4623,75,4698,4923,2026-05-31
경기도,여주군,0,5,5,20,0,1,1,4,2026-05-31
경기도,여주시,4807,5,4812,4827,3827,85,3912,4167,2026-05-31
경기도,연천군,2085,7,2092,2113,1452,97,1549,1840,2026-05-31
경기도,오산시,5143,5,5148,5163,4017,77,4094,4325,2026-05-31
경기도,용인시,26879,4,26883,26895,22448,50,22498,22648,2026-05-31
경기도,의왕시,3662,7,3669,3690,2726,102,2828,3134,2026-05-31
경기도,의정부시,15330,5,15335,15350,12584,45,12629,12764,2026-05-31
경기도,이천시,5762,7,5769,5790,4608,68,4676,4880,2026-05-31
경기도,파주시,15165,8,15173,15197,12190,36,12226,12334,2026-05-31
경기도,평택시,13851,7,13858,13879,11646,49,11695,11842,2026-05-31
경기도,포천군,0,0,0,0,0,0,0,0,2026-05-31
경기도,포천시,6979,4,6983,6995,5666,80,5746,5986,2026-05-31
경기도,하남시,6584,6,6590,6608,5245,75,5320,5545,2026-05-31
경기도,화성시,14187,6,14193,14211,11601,47,11648,11789,2026-05-31
경상남도,거제시,5386,9,5395,5422,4094,84,4178,4430,2026-05-31
경상남도,거창군,3597,9,3606,3633,2821,95,2916,3201,2026-05-31
경상남도,고성군,3329,8,3337,3361,2584,89,2673,2940,2026-05-31
경상남도,김해시,14242,3,14245,14254,11055,45,11100,11235,2026-05-31
경상남도,남해군,3611,6,3617,3635,2787,100,2887,3187,2026-05-31
경상남도,밀양시,6411,6,6417,6435,4877,87,4964,5225,2026-05-31
경상남도,사천시,5695,8,5703,5727,4517,91,4608,4881,2026-05-31
경상남도,산청군,3158,3,3161,3170,2354,98,2452,2746,2026-05-31
경상남도,양산시,10452,5,10457,10472,8110,71,8181,8394,2026-05-31
경상남도,의령군,1979,5,1984,1999,1391,107,1498,1819,2026-05-31
경상남도,진주시,12761,8,12769,12793,10326,49,10375,10522,2026-05-31
경상남도,창녕군,4167,8,4175,4199,3294,84,3378,3630,2026-05-31
경상남도,창원시,29337,2,29339,29345,23132,45,23177,23312,2026-05-31
경상남도,통영시,4558,4,4562,4574,3417,97,3514,3805,2026-05-31
경상남도,하동군,3712,5,3717,3732,2936,93,3029,3308,2026-05-31
경상남도,함안군,3720,6,3726,3744,2870,99,2969,3266,2026-05-31
경상남도,함양군,2731,4,2735,2747,2029,98,2127,2421,2026-05-31
경상남도,합천군,3075,5,3080,3095,2158,96,2254,2542,2026-05-31
경상북도,경산시,9966,5,9971,9986,8262,71,8333,8546,2026-05-31
경상북도,경주시,11830,4,11834,11846,8983,82,9065,9311,2026-05-31
경상북도,고령군,1620,6,1626,1644,1064,108,1172,1496,2026-05-31
경상북도,구미시,8859,2,8861,8867,7358,67,7425,7626,2026-05-31
경상북도,김천시,6267,8,6275,6299,5136,86,5222,5480,2026-05-31
경상북도,문경시,4449,5,4454,4469,3572,94,3666,3948,2026-05-31
경상북도,봉화군,1477,1,1478,1481,944,93,1037,1316,2026-05-31
경상북도,상주시,6122,5,6127,6142,4974,84,5058,5310,2026-05-31
경상북도,성주군,2491,4,2495,2507,1798,98,1896,2190,2026-05-31
경상북도,안동시,7940,6,7946,7964,6303,66,6369,6567,2026-05-31
경상북도,영덕군,2715,10,2725,2755,1928,102,2030,2336,2026-05-31
경상북도,영양군,858,8,866,890,589,66,655,853,2026-05-31
경상북도,영주시,4372,9,4381,4408,3270,86,3356,3614,2026-05-31
경상북도,영천시,5855,7,5862,5883,4631,83,4714,4963,2026-05-31
경상북도,예천군,3236,4,3240,3252,2434,97,2531,2822,2026-05-31
경상북도,울릉군,90,18,108,162,30,43,73,202,2026-05-31
경상북도,울진군,2894,4,2898,2910,2154,89,2243,2510,2026-05-31
경상북도,의성군,4290,4,4294,4306,3354,97,3451,3742,2026-05-31
경상북도,청도군,3169,5,3174,3189,2502,87,2589,2850,2026-05-31
경상북도,청송군,1336,4,1340,1352,828,103,931,1240,2026-05-31
경상북도,칠곡군,3705,3,3708,3717,2966,92,3058,3334,2026-05-31
경상북도,포항시,16743,3,16746,16755,12435,46,12481,12619,2026-05-31
광주,광산구,10079,1,10080,10083,7753,79,7832,8069,2026-05-31
광주,남구,7628,4,7632,7644,5629,79,5708,5945,2026-05-31
광주,동구,4576,6,4582,4600,3208,100,3308,3608,2026-05-31
광주,북구,14967,1,14968,14971,11287,56,11343,11511,2026-05-31
광주,서구,8498,2,8500,8506,6416,86,6502,6760,2026-05-31
대구,군위군,1493,12,1505,1541,980,104,1084,1396,2026-05-31
대구,남구,6690,4,6694,6706,5169,84,5253,5505,2026-05-31
대구,달서구,15251,3,15254,15263,12249,59,12308,12485,2026-05-31
대구,달성군,6648,5,6653,6668,5200,88,5288,5552,2026-05-31
대구,동구,12650,4,12654,12666,10268,66,10334,10532,2026-05-31
대구,북구,13258,2,13260,13266,11175,51,11226,11379,2026-05-31
대구,서구,7730,6,7736,7754,6149,81,6230,6473,2026-05-31
대구,수성구,11807,4,11811,11823,9571,72,9643,9859,2026-05-31
대구,중구,2753,7,2760,2781,1998,101,2099,2402,2026-05-31
대전,대덕구,5900,8,5908,5932,4426,88,4514,4778,2026-05-31
대전,동구,9158,7,9165,9186,7087,70,7157,7367,2026-05-31
대전,서구,11652,5,11657,11672,9458,49,9507,9654,2026-05-31
대전,유성구,7274,7,7281,7302,5825,76,5901,6129,2026-05-31
대전,중구,9677,6,9683,9701,7735,66,7801,7999,2026-05-31
부산,강서구,2304,6,2310,2328,1578,96,1674,1962,2026-05-31
부산,금정구,8041,6,8047,8065,5934,82,6016,6262,2026-05-31
부산,기장군,5763,6,5769,5787,4297,81,4378,4621,2026-05-31
부산,남구,8463,8,8471,8495,6300,81,6381,6624,2026-05-31
부산,동구,4061,6,4067,4085,2786,97,2883,3174,2026-05-31
부산,동래구,8811,8,8819,8843,6754,66,6820,7018,2026-05-31
부산,부산진구,11989,3,11992,12001,9123,58,9181,9355,2026-05-31
부산,북구,9293,3,9296,9305,6699,60,6759,6939,2026-05-31
부산,사상구,7177,4,7181,7193,5219,73,5292,5511,2026-05-31
부산,사하구,10750,4,10754,10766,8031,70,8101,8311,2026-05-31
부산,서구,4463,7,4470,4491,3072,92,3164,3440,2026-05-31
부산,수영구,6491,7,6498,6519,4884,84,4968,5220,2026-05-31
부산,연제구,6919,6,6925,6943,5326,78,5404,5638,2026-05-31
부산,영도구,5249,4,5253,5265,3449,86,3535,3793,2026-05-31
부산,중구,1790,4,1794,1806,1088,105,1193,1508,2026-05-31
부산,해운대구,12464,4,12468,12480,9585,63,9648,9837,2026-05-31
서울,강남구,8727,8,8735,8759,6381,74,6455,6677,2026-05-31
서울,강동구,10171,3,10174,10183,7919,73,7992,8211,2026-05-31
서울,강북구,8880,5,8885,8900,6658,69,6727,6934,2026-05-31
서울,강서구,14636,4,14640,14652,11322,51,11373,11526,2026-05-31
서울,관악구,10218,6,10224,10242,7708,65,7773,7968,2026-05-31
서울,광진구,6508,9,6517,6544,4966,76,5042,5270,2026-05-31
서울,구로구,10603,7,10610,10631,8222,53,8275,8434,2026-05-31
서울,금천구,6048,5,6053,6068,4429,68,4497,4701,2026-05-31
서울,노원구,12701,4,12705,12717,9765,46,9811,9949,2026-05-31
서울,도봉구,9140,5,9145,9160,7135,60,7195,7375,2026-05-31
서울,동대문구,8701,5,8706,8721,6464,54,6518,6680,2026-05-31
서울,동작구,7673,8,7681,7705,5566,84,5650,5902,2026-05-31
서울,마포구,6542,7,6549,6570,4720,90,4810,5080,2026-05-31
서울,서대문구,7033,7,7040,7061,5149,83,5232,5481,2026-05-31
서울,서초구,6187,5,6192,6207,4454,94,4548,4830,2026-05-31
서울,성동구,5422,5,5427,5442,3755,89,3844,4111,2026-05-31
서울,성북구,10407,6,10413,10431,8363,62,8425,8611,2026-05-31
서울,송파구,10879,7,10886,10907,8650,63,8713,8902,2026-05-31
서울,양천구,9586,3,9589,9598,7513,63,7576,7765,2026-05-31
서울,영등포구,8403,6,8409,8427,6326,66,6392,6590,2026-05-31
서울,용산구,3732,6,3738,3756,2624,99,2723,3020,2026-05-31
서울,은평구,12285,4,12289,12301,9895,57,9952,10123,2026-05-31
서울,종로구,3343,4,3347,3359,2383,93,2476,2755,2026-05-31
서울,중구,2701,8,2709,2733,1695,95,1790,2075,2026-05-31
서울,중랑구,10403,6,10409,10427,8110,62,8172,8358,2026-05-31
세종,_,5702,3,5705,5714,4431,85,4516,4771,2026-05-31
울산,남구,6487,7,6494,6515,4886,71,4957,5170,2026-05-31
울산,동구,3106,6,3112,3130,2156,95,2251,2536,2026-05-31
울산,북구,3606,8,3614,3638,2609,100,2709,3009,2026-05-31
울산,울주군,6765,5,6770,6785,5192,79,5271,5508,2026-05-31
울산,중구,5425,7,5432,5453,3912,85,3997,4252,2026-05-31
인천,강화군,3968,3,3971,3980,3024,88,3112,3376,2026-05-31
인천,계양구,8843,7,8850,8871,7179,59,7238,7415,2026-05-31
인천,남구,0,1,1,4,0,0,0,0,2026-05-31
인천,남동구,17187,2,17189,17195,14229,41,14270,14393,2026-05-31
인천,동구,2459,7,2466,2487,1867,96,1963,2251,2026-05-31
인천,미추홀구,14248,5,14253,14268,11547,56,11603,11771,2026-05-31
인천,부평구,14933,6,14939,14957,12002,50,12052,12202,2026-05-31
인천,서구,14691,4,14695,14707,12367,48,12415,12559,2026-05-31
인천,연수구,7063,7,7070,7091,5594,78,5672,5906,2026-05-31
인천,옹진군,453,11,464,497,232,79,311,548,2026-05-31
인천,중구,4406,7,4413,4434,3550,91,3641,3914,2026-05-31
전라남도,강진군,2546,5,2551,2566,1869,90,1959,2229,2026-05-31
전라남도,고흥군,4882,4,4886,4898,3601,101,3702,4005,2026-05-31
전라남도,곡성군,2140,7,2147,2168,1551,87,1638,1899,2026-05-31
전라남도,광양시,4229,8,4237,4261,3221,94,3315,3597,2026-05-31
전라남도,구례군,2019,8,2027,2051,1541,94,1635,1917,2026-05-31
전라남도,나주시,6332,4,6336,6348,4619,110,4729,5059,2026-05-31
전라남도,담양군,3082,8,3090,3114,2233,97,2330,2621,2026-05-31
전라남도,목포시,8522,3,8525,8534,6637,66,6703,6901,2026-05-31
전라남도,무안군,3578,7,3585,3606,2690,102,2792,3098,2026-05-31
전라남도,보성군,2793,5,2798,2813,1887,109,1996,2323,2026-05-31
전라남도,순천시,9569,3,9572,9581,7397,79,7476,7713,2026-05-31
전라남도,신안군,2314,7,2321,2342,1722,87,1809,2070,2026-05-31
전라남도,여수시,10011,2,10013,10019,7578,74,7652,7874,2026-05-31
전라남도,영광군,3367,6,3373,3391,2406,109,2515,2842,2026-05-31
전라남도,영암군,2955,7,2962,2983,2087,105,2192,2507,2026-05-31
전라남도,완도군,3240,8,3248,3272,2305,108,2413,2737,2026-05-31
전라남도,장성군,3050,8,3058,3082,2225,107,2332,2653,2026-05-31
전라남도,장흥군,2938,8,2946,2970,2204,101,2305,2608,2026-05-31
전라남도,진도군,1844,10,1854,1884,1274,95,1369,1654,2026-05-31
전라남도,함평군,2668,8,2676,2700,1883,106,1989,2307,2026-05-31
전라남도,해남군,4271,4,4275,4287,3024,100,3124,3424,2026-05-31
전라남도,화순군,3688,8,3696,3720,2598,108,2706,3030,2026-05-31
전북,고창군,4222,5,4227,4242,3225,93,3318,3597,2026-05-31
전북,군산시,10734,3,10737,10746,8155,72,8227,8443,2026-05-31
전북,김제시,5536,4,5540,5552,4039,99,4138,4435,2026-05-31
