치매안심센터명,종류,가족교실명,운영시작일,운영종료일,운영시작시간,운영종료시간,정원,강사구분,운영회기,수료기준,보호서비스제공여부,만족도조사여부
서울특별시강남구치매안심센터,헤아림,2025년 치매가족교실 '헤아림'-2기,2025-09-11,2025-11-13,13:30,15:30,8,내부인력,10,6,N,N
서울특별시강남구치매안심센터,헤아림,2025년 치매가족교실 '헤아림'-1기,2025-08-29,2025-10-31,15:00,17:00,9,내부인력,8,6,N,Y
서울특별시강남구치매안심센터,희망다이어리,2025년 상반기 치매가족교실 '오프라인 희망다이어리ver2.0',2025-05-26,2025-07-14,14:00,16:00,10,내부인력,8,6,N,Y
서울특별시강남구치매안심센터,희망다이어리,2024년 하반기 치매가족교실 ‘오프라인 희망다이어리ver2.0’-오전반,2024-08-05,2024-09-25,09:30,11:30,7,내부인력,8,5,N,Y
서울특별시강남구치매안심센터,희망다이어리,2024년 하반기 치매가족교실 ‘오프라인 희망다이어리ver2.0’-오후반,2024-08-02,2024-09-23,13:30,15:30,7,내부인력,8,5,N,Y
서울특별시강남구치매안심센터,희망다이어리,2024년 세곡동 치매안심마을 가족교실 희망다이어리 2.0,2024-04-24,2024-06-26,09:30,11:30,7,내부인력,8,5,N,Y
서울특별시강남구치매안심센터,희망다이어리,2023년 하반기 치매가족교실 ‘오프라인 희망다이어리ver2.0’-오전반,2023-09-06,2023-10-25,09:30,11:30,5,내부인력,8,5,N,Y
서울특별시강남구치매안심센터,희망다이어리,2023년 하반기 치매가족교실 ‘오프라인 희망다이어리ver2.0’-오후반,2023-09-05,2023-10-31,14:30,16:30,5,내부인력,8,5,N,Y
서울특별시강남구치매안심센터,희망다이어리,2023년 치매가족교실 '희망다이어리ver2.0' 오프라인 프로그램,2023-06-12,2023-07-31,13:30,15:30,6,내부인력,8,5,N,Y
서울특별시강남구치매안심센터,헤아림,2023 가족교실 헤아림,2023-04-04,2023-05-23,10:00,12:00,7,내부인력,8,5,N,Y
서울특별시강남구치매안심센터,희망다이어리,2022년 치매가족교실 '희망다이어리ver2.0' 오프라인 프로그램,2022-08-29,2022-10-28,16:00,18:00,7,내부인력,8,6,N,Y
서울특별시강남구치매안심센터,헤아림,2022년 가족교실 '헤아림',2022-05-13,2022-07-08,10:00,12:00,8,내부인력,8,6,N,Y
서울특별시강남구치매안심센터,희망다이어리,2021~2022년 치매가족교실 '희망다이어리 ver2.0'_온라인 프로그램,2021-12-09,2022-02-10,14:00,16:00,6,내부인력,8,6,N,Y
서울특별시강남구치매안심센터,희망다이어리,2021년 희망다이어리 ver2.0,2021-09-03,2021-10-22,14:00,15:30,4,내부인력,8,8,N,Y
서울특별시강남구치매안심센터,기타,2021년 일상의 회복 시범운영,2021-06-25,2021-07-09,10:00,12:00,6,내부인력,4,3,Y,N
