연번,시도,시군구,재택의료센터 기관명,협력기관 수
1,서울특별시,강남구,서울연세의원,0
2,서울특별시,강남구,서울36의원,0
3,서울특별시,강동구,다사랑산부인과의원,0
4,서울특별시,강동구,어깨동무한의원,5
5,서울특별시,강북구,건강의집 의원,2
6,서울특별시,강북구,서울봄연합의원,2
7,서울특별시,강서구,정내과의원,0
8,서울특별시,강서구,강서허준한의원,0
9,서울특별시,강서구,본앤본정형외과의원,1
10,서울특별시,강서구,경희소나무한의원,3
11,서울특별시,강서구,88플러스내과의원,1
12,서울특별시,관악구,연세가정의원,1
13,서울특별시,관악구,관악정다운의료복지사회적협동조합 정다운우리의원,1
14,서울특별시,광진구,더불어내과의원,0
15,서울특별시,금천구,편백한의원,0
16,서울특별시,금천구,금천주내과의원,1
17,서울특별시,노원구,파티마의원,1
18,서울특별시,노원구,서울의원,0
19,서울특별시,노원구,노원구보건소,0
20,서울특별시,노원구,마을의원,1
21,서울특별시,도봉구,동동가정의학과의원,1
22,서울특별시,동대문구,행복한가정의학과의원,2
23,서울특별시,동대문구,경희일생한의원,1
24,서울특별시,마포구,서울본내과의원,1
25,서울특별시,마포구,마포의료복지사회적협동조합 무지개의원,0
26,서울특별시,마포구,우리동네30분의원,5
27,서울특별시,서대문구,홈케어의원,2
28,서울특별시,서초구,서초아가페의원,1
29,서울특별시,성동구,서울특별시성동구보건소,0
30,서울특별시,성북구,김명선내과의원,1
31,서울특별시,성북구,서울가정의학과의원,0
32,서울특별시,성북구,우리의원,0
33,서울특별시,성북구,돌봄의원,0
34,서울특별시,송파구,베스트연합의원,0
35,서울특별시,송파구,준앤민닥터포유의원,1
36,서울특별시,양천구,희당한의원,0
37,서울특별시,양천구,삼성탑가정의학과의원,1
38,서울특별시,영등포구,서울의료복지사회적협동조합 우리네한의원,0
39,서울특별시,용산구,조승복의원,1
40,서울특별시,용산구,대한민국의원,0
41,서울특별시,용산구,힘찬세상경희한의원,0
42,서울특별시,은평구,살림의료복지사회적협동조합 살림의원,0
43,서울특별시,중랑구,미래신경과의원,1
44,서울특별시,중랑구,서울신내의원,1
45,부산광역시,금정구,민들레돌봄의원,0
46,부산광역시,금정구,두실정담한의원,1
47,부산광역시,남구,대연의원,1
48,부산광역시,동구,한빛내과의원,1
49,부산광역시,동래구,화목한의원,0
50,부산광역시,사하구,올바른정형외과의원,0
51,부산광역시,사하구,정담한의원,1
52,부산광역시,수영구,그린한의원,11
53,부산광역시,연제구,세경한의원,2
54,부산광역시,중구,온지프롤로의원,1
55,대전광역시,대덕구,민들레의료복지사회적협동조합 민들레의원,3
56,대전광역시,대덕구,민들레의료복지사회적협동조합 민들레한의원,0
57,대전광역시,동구,원한의원,0
58,대전광역시,서구,하나의원,0
59,대전광역시,유성구,성모외과의원,0
60,대전광역시,유성구,노은바로한의원,0
61,대전광역시,중구,대전복십자의원,1
62,대전광역시,중구,푸른의원,0
63,대전광역시,중구,김정철한의원,15
64,대구광역시,달서구,도옴한의원,0
65,대구광역시,북구,바른의원,0
66,대구광역시,서구,대구의료원,2
67,대구광역시,서구,참좋은연합의원,0
68,대구광역시,수성구,다올연합의원,1
69,대구광역시,중구,위드의원,0
70,광주광역시,광산구,우리동네의원,0
71,광주광역시,광산구,대화한의원,2
72,광주광역시,남구,선재편한몸한의원,0
73,광주광역시,북구,맑은숨우리내과의원,0
74,광주광역시,북구,양산한의원,0
75,광주광역시,서구,첨단가족연합의원,0
76,광주광역시,서구,시니어통합의원,0
77,광주광역시,서구,광주광역시서구보건소,0
78,인천광역시,계양구,안심한의원,0
79,인천광역시,남동구,향촌한의원,0
80,인천광역시,남동구,이젠성형외과의원,0
81,인천광역시,동구,인천광역시의료원,0
82,인천광역시,미추홀구,인천의원,0
83,인천광역시,미추홀구,학익한의원,0
84,인천광역시,미추홀구,서해사랑내과의원,0
85,인천광역시,부평구,조경준의원,1
86,인천광역시,부평구,인천평화의료복지사회적협동조합 평화의원,0
87,인천광역시,부평구,인천평화의료복지사회적협동조합 평화한의원,0
88,인천광역시,서구,김성진한의원,12
89,인천광역시,연수구,다산한의원,3
90,인천광역시,연수구,옥련한의원,0
91,강원특별자치도,강릉시,강원특별자치도 강릉의료원,0
92,강원특별자치도,영월군,강원특별자치도 영월의료원,0
93,강원특별자치도,원주시,연세민내과의원,0
94,강원특별자치도,원주시,강원의료복지사회적협동조합 밝음의원,3
95,강원특별자치도,춘천시,삼성연합의원,1
96,강원특별자치도,춘천시,이정환내과의원,0
97,강원특별자치도,평창군,평창군보건의료원,0
98,강원특별자치도,횡성군,느티나무한의원,0
99,충청북도,단양군,단양군보건의료원,1
100,충청북도,제천시,안심부부한의원,2
101,충청북도,진천군,진천의원,5
102,충청북도,청주시,김영태신경외과의원,5
103,충청남도,공주시,충청남도 공주의료원,0
104,충청남도,공주시,대산한의원,1
105,충청남도,논산시,김현장외과의원,0
106,충청남도,당진시,문곡16형 대추밭한의원,1
107,충청남도,서산시,충청남도 서산의료원,0
108,충청남도,서천군,미래산부인과의원,1
109,충청남도,천안시,충청남도 천안의료원,1
110,충청남도,천안시,해맑은한의원,2
111,충청남도,청양군,청양군보건의료원,0
112,충청남도,홍성군,충청남도 홍성의료원,0
113,충청남도,홍성군,홍성의료복지사회적협동조합 우리동네의원,0
114,경상북도,경산시,소망의원,3
115,경상북도,경주시,경주숲속생명의원,1
116,경상북도,구미시,바른길의원,1
117,경상북도,포항시,내집에서 의원,7
118,경상남도,거제시,동방신통부부한의원,3
119,경상남도,김해시,열린한의원,1
120,경상남도,김해시,현담한의원,2
121,경상남도,산청군,신통의원,1
122,경상남도,진주시,공룡한의원,1
123,경상남도,진주시,당당한의원,0
124,경상남도,하동군,하동군민여성의원,0
125,전북특별자치도,고창군,대산연합의원,2
126,전북특별자치도,고창군,현대의원,1
127,전북특별자치도,군산시,경희365한의원,0
128,전북특별자치도,군산시,재단법인대한환경보건원솔한의원,1
129,전북특별자치도,김제시,우리정형외과의원,0
130,전북특별자치도,남원시,전북특별자치도 남원의료원,0
131,전북특별자치도,완주군,고산성모의원,0
132,전북특별자치도,익산시,소망한의원,0
133,전북특별자치도,익산시,서동한의원,1
134,전북특별자치도,전주시,이상권가정의학과의원,0
135,전북특별자치도,전주시,다나은가정의학과의원,2
136,전북특별자치도,전주시,태양한의원,0
137,전북특별자치도,전주시,전주의료복지사회적협동조합 건강한마을한의원,4
138,전북특별자치도,정읍시,탑가정의학과 의원,0
139,전라남도,담양군,담양군보건소,0
140,전라남도,순천시,전라남도 순천의료원,1
141,전라남도,여수시,제생한의원,0
142,전라남도,영암군,영암군보건소,0
143,전라남도,완도군,고금의원,0
144,전라남도,완도군,완도군보건의료원,0
145,경기도,고양시,연세삼육오매일의원,1
146,경기도,고양시,서화한의원,3
147,경기도,광주시,한울정신건강의학과의원,0
148,경기도,구리시,느티나무의료복지사회적협동조합 느티나무의원,3
149,경기도,남양주시,서울온케어의원,0
150,경기도,부천시,세란의원,0
151,경기도,부천시,중동한의원,1
152,경기도,부천시,부천의료복지사회적협동조합 부천시민의원,1
153,경기도,부천시,춘의청한의원,0
154,경기도,부천시,역곡휘문한의원,1
155,경기도,성남시,새한베스트의원,0
156,경기도,성남시,집으로의원,0
157,경기도,성남시,LH의원,0
158,경기도,성남시,연세생명나무내과의원,1
159,경기도,성남시,연세가정의원,2
160,경기도,수원시,경기도의료원 수원병원,3
161,경기도,수원시,탱자한의원,0
162,경기도,수원시,입북삼성가정의학과의원,4
163,경기도,수원시,홈닥터예방의학과의원,0
164,경기도,수원시,새날의원,1
165,경기도,수원시,세류센트럴한의원,1
166,경기도,시흥시,시흥희망의료복지 사회적협동조합 희망의원,0
167,경기도,안산시,안산의료복지사회적협동조합 새안산의원,0
168,경기도,안산시,예림한의원,1
169,경기도,안산시,온내과의원,0
170,경기도,안성시,경기도의료원 안성병원,1
171,경기도,안성시,안성의료복지사회적협동조합 서안성의원,1
172,경기도,안양시,행복한마을의료복지사회적협동조합 행복한마을한의원,0
173,경기도,양평군,양평의료복지사회적협동조합 모두의원,1
174,경기도,용인시,우리들내과의원,0
175,경기도,용인시,해바라기한의원,1
176,경기도,용인시,고려외과의원,2
177,경기도,의왕시,서울홈케어내과의원,0
178,경기도,의정부시,경기도의료원 의정부병원,0
179,경기도,의정부시,편한자리의원,0
180,경기도,이천시,경기도의료원 이천병원,0
181,경기도,파주시,경기도의료원 파주병원,1
182,경기도,파주시,서울성모의원,0
183,경기도,파주시,연세송내과의원,1
184,경기도,평택시,평택시민의료소비자생활협동조합 시민의원,0
185,경기도,포천시,경기도의료원 포천병원,0
186,경기도,포천시,소망한의원,1
187,경기도,화성시,화성의료복지사회적협동조합 모두의원,2
188,경기도,화성시,홈케어의원,0
189,세종특별자치시,세종특별자치시,세종특별자치시보건소,0
190,제주특별자치도,제주시,제주특별자치도 제주의료원,0
191,제주특별자치도,제주시,집으로가는 준의원,0
192,제주특별자치도,제주시,봉개영웅의원,1
193,제주특별자치도,제주시,메디오름가정의학과의원,0
