longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,BDongCd,HDongCd,adminFdatType,adminNm,adminPttnCd,detailAddr,fl,gunmulMlno,gunmulSlno,hmPostNo,locTelNo_1,locTelNo_2,locTelNo_3,longTermAdminSym,longTermPeribRgtDt,riCd,roadNmCd,siDoCd,siGunGuCd,stpRptDt
11111000006,A03,11,110,청운노인요양원,00,NORMAL SERVICE.,182,560,3,청운노인요양원,A03,,,76,0,03001,02,3217,0057,11111000006,20080625,00,111104100122,11,110,20080625
11111000056,A03,11,110,인자인케어센터,00,NORMAL SERVICE.,183,560,3,인자인케어센터,A03,398번지 5호,,26,0,03006,02,394,2234,11111000056,20100701,00,111104100493,11,110,20100701
11111000060,A03,11,110,평창동시니어센터,00,NORMAL SERVICE.,183,560,4,평창동시니어센터,A03,553번지 5호,,10,0,03006,02,391,7936,11111000060,20101125,00,111104100491,11,110,20101125
11111000068,A03,11,110,아름다운뜰안에 요양원,00,NORMAL SERVICE.,183,560,4,아름다운뜰안에 요양원,A03,523번지 38호,,70,0,03005,02,396,0461,11111000068,20110816,00,111104100496,11,110,20110816
11111000076,A03,11,110,서울여자간호대학교 휴먼캐슬,00,NORMAL SERVICE.,183,560,3,서울여자간호대학교 휴먼캐슬,A03,,,318,0,03004,02,391,8464,11111000076,20130530,00,111104100519,11,110,20130530
11111000088,A04,11,110,아름다운실버홈,00,NORMAL SERVICE.,183,560,4,아름다운실버홈,A04,,,123,0,03002,02,394,0461,11111000088,20151208,00,111104100519,11,110,20130408
11120000056,A04,11,200,한마음너싱홈,00,NORMAL SERVICE.,122,790,4,한마음너싱홈,A04,19번지 10호,,91,0,04805,02,2215,0174,11120000056,20091102,00,112004109509,11,200,20091028
11120000110,A04,11,200,서울숲 요양원,00,NORMAL SERVICE.,115,670,4,서울숲 요양원,A04,,4,401,2,04784,02,6204,7227,11120000110,20140411,00,112003103010,11,200,20140411
11120000126,A04,11,200,서울숲재활요양원,00,NORMAL SERVICE.,115,670,4,서울숲재활요양원,A04,,3층,401,2,04784,02,499,7226,11120000126,20151001,00,112003103010,11,200,20151001
11120000190,A04,11,200,금호무지개요양원,00,NORMAL SERVICE.,110,615,4,금호무지개요양원,A04,,,17,0,04723,02,2234,4179,11120000190,20221230,00,112004109044,11,200,20221223
21111000001,B01,11,110,서울시 종로구 재가노인복지기관,00,NORMAL SERVICE.,175,700,3,서울시 종로구 재가노인복지기관,B01,,지층 우측,1,0,03108,02,744,8573,21111000001,20080618,00,111104100381,11,110,19920501
21111000123,B01,11,110,효성재가요양복지센터,00,NORMAL SERVICE.,166,640,4,효성재가요양복지센터,B01,,,3,0,03082,02,3672,1125,21111000123,20210201,00,111104100041,11,110,20210201
21111000126,B01,11,110,종로재가복지센터,00,NORMAL SERVICE.,114,530,3,종로재가복지센터,B01,,,105,0,03041,02,723,9911,21111000126,20210601,00,111103100005,11,110,20210531
21111000127,B01,11,110,주민재가방문요양센터,00,NORMAL SERVICE.,153,615,5,주민재가방문요양센터,B01,,,26,1,03139,02,745,2016,21111000127,20211122,00,111104100062,11,110,20211119
21111000130,B01,11,110,종로이화재가복지센터,00,NORMAL SERVICE.,174,670,4,종로이화재가복지센터,B01,,2,49,0,03103,02,743,7705,21111000130,20220307,00,111103005007,11,110,20220303
21111000123,B02,11,110,효성재가요양복지센터,00,NORMAL SERVICE.,166,640,4,효성재가요양복지센터,B02,,,3,0,03082,02,3672,1125,21111000123,20210201,00,111104100041,11,110,20210201
21111000126,B02,11,110,종로재가복지센터,00,NORMAL SERVICE.,114,530,3,종로재가복지센터,B02,,,105,0,03041,02,723,9911,21111000126,20210601,00,111103100005,11,110,20210531
21111000130,B02,11,110,종로이화재가복지센터,00,NORMAL SERVICE.,174,670,4,종로이화재가복지센터,B02,,2,49,0,03103,02,743,7705,21111000130,20220307,00,111103005007,11,110,20220303
21111000132,B02,11,110,참터재가복지센터,00,NORMAL SERVICE.,174,680,3,참터재가복지센터,B02,,2,10,0,03106,02,744,4010,21111000132,20230315,00,111104100435,11,110,20230315
21111000139,B02,11,110,우리재가복지센터,00,NORMAL SERVICE.,174,670,4,우리재가복지센터,B02,,,47,0,03103,02,747,7400,21111000139,20231205,00,111104100390,11,110,20231205
21111000008,B03,11,110,종로데이케어센터,00,NORMAL SERVICE.,174,680,3,종로데이케어센터,B03,23번지 344호,,82,0,03091,02,741,4904,21111000008,20080630,00,111104100383,11,110,20080627
21111000034,B03,11,110,청운실버데이케어센터,00,NORMAL SERVICE.,101,515,2,청운실버데이케어센터,B03,89번지 12호,,29,0,03047,02,730,4966,21111000034,20090227,00,111104100281,11,110,20090227
21111000066,B03,11,110,보현데이케어센터,00,NORMAL SERVICE.,183,560,3,보현데이케어센터,B03,562번지 14호,,21,22,03002,02,394,5511,21111000066,20110602,00,111104100514,11,110,20110602
21111000085,B03,11,110,혜화동성당데이케어센터,00,NORMAL SERVICE.,169,650,3,혜화동성당데이케어센터,B03,,,14,9,03067,02,742,0515,21111000085,20150501,00,111104100540,11,110,20150501
21111000136,B03,11,110,수석데이케어센터,00,NORMAL SERVICE.,175,700,4,수석데이케어센터,B03,,2,82,0,03108,02,766,4150,21111000136,20230531,00,111103005007,11,110,20230531
21120000122,B04,11,200,서울숲 단기보호센터,00,NORMAL SERVICE.,115,670,4,서울숲 단기보호센터,B04,,4층,401,2,04784,02,6204,7227,21120000122,20150508,00,112003103010,11,200,20150508
21121500214,B04,11,215,더행복데이케어센터,00,NORMAL SERVICE.,105,830,3,더행복데이케어센터,B04,,"3,4",40,0,05101,02,2201,8001,21121500214,20160930,00,112154112283,11,215,20160930
21121500283,B04,11,215,광진늘푸른단기보호센타,00,NORMAL SERVICE.,105,820,4,광진늘푸른단기보호센타,B04,,6,613,0,05063,02,444,7171,21121500283,20201020,00,112153103010,11,215,20200924
21123000348,B04,11,230,맑은샘단기보호센터,00,NORMAL SERVICE.,105,610,4,맑은샘단기보호센터,B04,,2,19,0,02535,02,2244,2552,21123000348,20210201,00,112304115621,11,230,20210201
21123000372,B04,11,230,"소망재가복지 (단기보호, 방문요양)",00,NORMAL SERVICE.,105,610,4,"소망재가복지 (단기보호, 방문요양)",B04,,4,19,0,02535,02,2248,7533,21123000372,20220324,00,112304115621,11,230,20220324
21111000126,B05,11,110,종로재가복지센터,00,NORMAL SERVICE.,114,530,3,종로재가복지센터,B05,,,105,0,03041,02,723,9911,21111000126,20210601,00,111103100005,11,110,20210531
21111000130,B05,11,110,종로이화재가복지센터,00,NORMAL SERVICE.,174,670,4,종로이화재가복지센터,B05,,2,49,0,03103,02,743,7705,21111000130,20220307,00,111103005007,11,110,20220303
21111000145,B05,11,110,행복이음재가복지센터,00,NORMAL SERVICE.,113,530,3,행복이음재가복지센터,B05,,,97,0,03041,010,2868,3693,21111000145,20241030,00,111103100005,11,110,20241030
21114000095,B05,11,140,나무방문간호센터,00,NORMAL SERVICE.,155,605,4,나무방문간호센터,B05,,,14,0,04549,010,9121,7293,21114000095,20240703,00,111404103239,11,140,20240612
21117000191,B05,11,170,아가페방문간호센터,00,NORMAL SERVICE.,107,530,4,아가페방문간호센터,B05,,3,97,2,04324,010,4853,7726,21117000191,20260106,00,111703101024,11,170,20260106
21111000126,B06,11,110,종로재가복지센터,00,NORMAL SERVICE.,114,530,3,종로재가복지센터,B06,,,105,0,03041,02,723,9911,21111000126,20210601,00,111103100005,11,110,20210531
21117000172,B06,11,170,강원전자주식회사 복지용구센터 더돌봄,00,NORMAL SERVICE.,117,570,3,강원전자주식회사 복지용구센터 더돌봄,B06,,3,153,0,04363,02,702,0599,21117000172,20231116,00,111703102007,11,170,20231027
21117000182,B06,11,170,엠에이디실버,00,NORMAL SERVICE.,101,510,4,엠에이디실버,B06,,지,22,0,04327,070,8211,2728,21117000182,20250307,00,111704106591,11,170,20250307
21120000189,B06,11,200,빠른케어 성동사업소,00,NORMAL SERVICE.,104,535,4,빠른케어 성동사업소,B06,,B1,8,1,04707,02,1899,3115,21120000189,20220926,00,112004109443,11,200,20220829
21120000194,B06,11,200,우리의료기,00,NORMAL SERVICE.,102,520,4,우리의료기,B06,,3,93,1,04710,02,907,8255,21120000194,20231024,00,112004109280,11,200,20230927
31111000035,C01,11,110,효사랑플러스홈케어,00,NORMAL SERVICE.,185,550,4,효사랑플러스홈케어,C01,104번지 21호,,292,0,03017,02,395,7003,31111000035,20090401,00,111103100012,11,110,20090401
31111000048,C01,11,110,웃음드림방문요양센터,00,NORMAL SERVICE.,175,700,4,웃음드림방문요양센터,C01,,2,64,1,03109,02,766,1616,31111000048,20091211,00,111103005007,11,110,20091211
31111000050,C01,11,110,돌보미실버센터,00,NORMAL SERVICE.,174,680,4,돌보미실버센터,C01,,,3,0,03090,02,764,7664,31111000050,20091229,00,111104100451,11,110,20091228
31111000063,C01,11,110,행복한재가노인복지센터,00,NORMAL SERVICE.,174,690,4,행복한재가노인복지센터,C01,583번지 32호,,3,0,03096,02,745,3015,31111000063,20110407,00,111104100446,11,110,20110407
