longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,adminPttnCd,fmNowPer,fmRsvPer,longTermAdminSym,maNowPer,maRsvPer,totPer
11111000006,A03,11,110,청운노인요양원,00,NORMAL SERVICE.,A03,33,0,11111000006,0,0,38
11111000056,A03,11,110,인자인케어센터,00,NORMAL SERVICE.,A03,34,,11111000056,8,,42
11111000060,A03,11,110,평창동시니어센터,00,NORMAL SERVICE.,A03,54,2,11111000060,14,1,68
11111000068,A03,11,110,아름다운뜰안에 요양원,00,NORMAL SERVICE.,A03,30,0,11111000068,4,0,38
11111000076,A03,11,110,서울여자간호대학교 휴먼캐슬,00,NORMAL SERVICE.,A03,36,8,11111000076,0,5,38
11111000088,A04,11,110,아름다운실버홈,00,NORMAL SERVICE.,A04,9,0,11111000088,0,0,9
11120000056,A04,11,200,한마음너싱홈,00,NORMAL SERVICE.,A04,9,1,11120000056,0,0,9
11120000110,A04,11,200,서울숲 요양원,00,NORMAL SERVICE.,A04,8,0,11120000110,0,0,9
11120000126,A04,11,200,서울숲재활요양원,00,NORMAL SERVICE.,A04,9,0,11120000126,0,0,9
11120000190,A04,11,200,금호무지개요양원,00,NORMAL SERVICE.,A04,9,2,11120000190,0,0,9
21111000001,B01,11,110,서울시 종로구 재가노인복지기관,00,NORMAL SERVICE.,B01,,,21111000001,,,
21111000123,B01,11,110,효성재가요양복지센터,00,NORMAL SERVICE.,B01,18,,21111000123,10,,0
21111000126,B01,11,110,종로재가복지센터,00,NORMAL SERVICE.,B01,,,21111000126,,,0
21111000127,B01,11,110,주민재가방문요양센터,00,NORMAL SERVICE.,B01,12,0,21111000127,16,0,0
21111000130,B01,11,110,종로이화재가복지센터,00,NORMAL SERVICE.,B01,17,,21111000130,10,,0
21111000123,B02,11,110,효성재가요양복지센터,00,NORMAL SERVICE.,B02,0,,21111000123,1,,0
21111000126,B02,11,110,종로재가복지센터,00,NORMAL SERVICE.,B02,,,21111000126,,,0
21111000130,B02,11,110,종로이화재가복지센터,00,NORMAL SERVICE.,B02,,,21111000130,,,0
21111000132,B02,11,110,참터재가복지센터,00,NORMAL SERVICE.,B02,,,21111000132,,,0
21111000139,B02,11,110,우리재가복지센터,00,NORMAL SERVICE.,B02,,,21111000139,,,0
21111000008,B03,11,110,종로데이케어센터,00,NORMAL SERVICE.,B03,10,0,21111000008,4,0,17
21111000034,B03,11,110,청운실버데이케어센터,00,NORMAL SERVICE.,B03,22,14,21111000034,5,7,28
21111000066,B03,11,110,보현데이케어센터,00,NORMAL SERVICE.,B03,,,21111000066,0,,0
21111000085,B03,11,110,혜화동성당데이케어센터,00,NORMAL SERVICE.,B03,16,1,21111000085,4,0,21
21111000136,B03,11,110,수석데이케어센터,00,NORMAL SERVICE.,B03,19,,21111000136,2,,43
21120000122,B04,11,200,서울숲 단기보호센터,00,NORMAL SERVICE.,B04,7,0,21120000122,0,0,9
21121500214,B04,11,215,더행복데이케어센터,00,NORMAL SERVICE.,B04,0,10,21121500214,1,10,8
21121500283,B04,11,215,광진늘푸른단기보호센타,00,NORMAL SERVICE.,B04,9,1,21121500283,0,,9
21123000348,B04,11,230,맑은샘단기보호센터,00,NORMAL SERVICE.,B04,4,0,21123000348,1,0,8
21123000372,B04,11,230,"소망재가복지 (단기보호, 방문요양)",00,NORMAL SERVICE.,B04,3,0,21123000372,1,0,6
21111000126,B05,11,110,종로재가복지센터,00,NORMAL SERVICE.,B05,,,21111000126,,,0
21111000130,B05,11,110,종로이화재가복지센터,00,NORMAL SERVICE.,B05,,,21111000130,,,0
21111000145,B05,11,110,행복이음재가복지센터,00,NORMAL SERVICE.,B05,,,21111000145,,,0
21114000095,B05,11,140,나무방문간호센터,00,NORMAL SERVICE.,B05,5,0,21114000095,6,0,0
21117000191,B05,11,170,아가페방문간호센터,00,NORMAL SERVICE.,B05,,,21117000191,,,0
21111000126,B06,11,110,종로재가복지센터,00,NORMAL SERVICE.,B06,,,21111000126,,,0
21117000172,B06,11,170,강원전자주식회사 복지용구센터 더돌봄,00,NORMAL SERVICE.,B06,,,21117000172,,,0
21117000182,B06,11,170,엠에이디실버,00,NORMAL SERVICE.,B06,,,21117000182,,,0
21120000189,B06,11,200,빠른케어 성동사업소,00,NORMAL SERVICE.,B06,280,,21120000189,62,,0
21120000194,B06,11,200,우리의료기,00,NORMAL SERVICE.,B06,,,21120000194,,,0
31111000035,C01,11,110,효사랑플러스홈케어,00,NORMAL SERVICE.,C01,,,31111000035,,,
31111000048,C01,11,110,웃음드림방문요양센터,00,NORMAL SERVICE.,C01,,,31111000048,,,
31111000050,C01,11,110,돌보미실버센터,00,NORMAL SERVICE.,C01,,,31111000050,,,
31111000063,C01,11,110,행복한재가노인복지센터,00,NORMAL SERVICE.,C01,,,31111000063,,,0
31111000074,C01,11,110,운화실버복지센터,00,NORMAL SERVICE.,C01,16,,31111000074,6,,0
31111000048,C02,11,110,웃음드림방문요양센터,00,NORMAL SERVICE.,C02,,,31111000048,,,
31111000086,C02,11,110,효자요양센터,00,NORMAL SERVICE.,C02,1,,31111000086,0,,0
31111000108,C02,11,110,정드림방문요양센터,00,NORMAL SERVICE.,C02,0,,31111000108,0,,0
31111000117,C02,11,110,행복한동행재가노인복지센터,00,NORMAL SERVICE.,C02,,,31111000117,1,,0
31111000118,C02,11,110,세종노인요양복지센터,00,NORMAL SERVICE.,C02,0,,31111000118,0,,0
31117000153,C03,11,170,시온사랑 데이케어센터,00,NORMAL SERVICE.,C03,41,3,31117000153,12,0,53
31123000235,C03,11,230,다솜데이케어센터,00,NORMAL SERVICE.,C03,30,,31123000235,17,,47
31130500283,C03,11,305,강북광산데이케어센터,00,NORMAL SERVICE.,C03,39,,31130500283,15,,54
31132000114,C03,11,320,도봉늘푸른치매인지재활데이케어센터,00,NORMAL SERVICE.,C03,10,,31132000114,10,,20
31132000157,C03,11,320,행복드림데이케어센터,00,NORMAL SERVICE.,C03,7,0,31132000157,4,0,20
31121500164,C04,11,215,실버밸리노인단기보호센터,00,NORMAL SERVICE.,C04,5,0,31121500164,2,0,12
31121500197,C04,11,215,성동실버케어요양원,00,NORMAL SERVICE.,C04,9,0,31121500197,0,0,9
31132000220,C04,11,320,동그라미 인지/재활 데이케어센터,00,NORMAL SERVICE.,C04,0,0,31132000220,0,0,9
31132000294,C04,11,320,도봉효드림요양원,00,NORMAL SERVICE.,C04,4,2,31132000294,5,,9
31132000320,C04,11,320,도봉요양원,00,NORMAL SERVICE.,C04,2,,31132000320,1,,9
31114000018,C05,11,140,우영요양센터,00,NORMAL SERVICE.,C05,,,31114000018,,,
31117000098,C05,11,170,새봄간호요양센타,00,NORMAL SERVICE.,C05,,,31117000098,,,0
31117000121,C05,11,170,고운손방문요양센터주식회사,00,NORMAL SERVICE.,C05,,,31117000121,,,0
31117000148,C05,11,170,참사랑복지센터,00,NORMAL SERVICE.,C05,0,,31117000148,0,,0
31120000015,C05,11,200,(A+)성동구방문요양간호센터,00,NORMAL SERVICE.,C05,,,31120000015,,,
31111000012,C06,11,110,(주)이원건강의료기,00,NORMAL SERVICE.,C06,,,31111000012,,,0
31111000015,C06,11,110,(주)통일의료기,00,NORMAL SERVICE.,C06,,,31111000015,,,
31111000042,C06,11,110,제일복지용구,00,NORMAL SERVICE.,C06,,,31111000042,,,
31114000063,C06,11,140,명신,00,NORMAL SERVICE.,C06,,,31114000063,,,0
31117000029,C06,11,170,천사랑 노인복지센터,00,NORMAL SERVICE.,C06,,,31117000029,,,0
11120000010,G31,11,200,시립동부노인전문요양센터,00,NORMAL SERVICE.,G31,11,40,11120000010,4,22,16
