longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,adminPttnCd,hmpgAddr,longTermAdminSym,pkngEquip,tfMth
11111000006,A03,11,110,청운노인요양원,00,NORMAL SERVICE.,A03,www.chungwoon.or.kr,11111000006,주차가능 (10대),"ㆍ시내버스 7212, 7730 이북5도청  하차7022, 7211  구기터널, 삼성출판박물관 하차 후 도보                   ㆍ지 하 철  3호선 경복궁역, 5호선 광화문역 (3번출구)  7212 버스이용 3호선 불광역 (2번출구) 7212, 7730 버스이용"
11111000056,A03,11,110,인자인케어센터,00,NORMAL SERVICE.,A03,http://injaincare.co.kr/,11111000056,주차 6대 가능,"승용차 이용시 : 서울예술고등학교 앞 육교전, 종로치매지원센터에서 좌회전 하여로 약800미터 진입, 작은형제회 수도원지나 오른쪽에 공터가 있고 왼쪽에 큰 돌이 있는 골목으로 들어서면 시설이 보입니다. (평창 17길 1~12)지하철 이용시 : 경복궁역 3번 출구에서 1020번, 1711번 승차후 서울예술고등학교 정류장 하차건널목 건너 스타벅스, 새마을금고 사이의 주택가 길로 15분 도보버스 이용시 : 1711번, 7211번, 110번, 1020번, 153번, 8153번 -북악터널방향에서 오실때: 외환은행평창동지점/상명대에서 오실때:서울예술고등학교 하차"
11111000060,A03,11,110,평창동시니어센터,00,NORMAL SERVICE.,A03,http://pcdsc.co.kr/,11111000060,있음,"대중교통 : 경복궁역 3번 출구 - 초록버스1020, 1711 - 서울예고, 평창동주민센터 하차 - 건널목 건너 300미터 진입                불광역 7번 출구 - 초록버스 7211 - 서울예고, 평창동주민센터 하차 - 건널목 건너 300미터 진입자가용 : 경복궁역, 홍제역, 불광역에서 세검정삼거리-북악터널 방향 3번째 신호등에서 좌회전 신호 받음             좌회전 신호시 올리브영과 새마을금고 사잇길로 진입하여 큰 길 따라 300미터 직진             좌측 모토 라이프와 우측 편한마디 사이 오르막길 진입, 흰 대리석 건물"
11111000068,A03,11,110,아름다운뜰안에 요양원,00,NORMAL SERVICE.,A03,https://ddoga.co.kr/search/detail/11111000068?categoryId=1&pttnCd=A03,11111000068,시설안에 주차 가능 대수: 2대시설주변에도 주차 가능합니다,"자동차로 오시는 경우  -  평창20길로 진입 (하나은행 끼고) -> 평창21길로 좌회전(그린하우스 직전) -> 삼불신문사 (정토사) 옆 오르막 골목으로 진입 -> 아름다운 뜰안에 도착 대중교통으로 오시는 경우 : 서울예술고등학교/평창동주민센터 정류소 하차1호선 종각역 1번출구 -> 지선버스 10201호선 서울역 9-2번 출구 -> 지선버스 17113호선 경복궁역 3번출구 -> 지선버스 1711, 10204호선 길음역 3번출구 -> 지선버스 72115호선 광화문역 2번출구 -> 지선버스 1711, 1020"
11111000076,A03,11,110,서울여자간호대학교 휴먼캐슬,00,NORMAL SERVICE.,A03,www.humancastle.co.kr,11111000076,주차 시설이 협소하오니 대중교통을 이용해 주시길 바랍니다.주차 4대 가능,"버스 이용시● 3호선 경복궁역 3번 출구 직진 200m 정류장 - 1020번, 1711번    5호선 광화문 KT지사 앞 정류장   -  1020번, 1711번● 153, 8153, 110번        정류장 : 평창동삼성아파트, 롯데아파트 앞 하차 승용차 이용시● 강서 방향 : 성산대교 > 내부순환로 진입 > 정동램프 > 교각 밑 U턴 > 북악터널 통과 > 첫번째 신호등 우회전 > 언덕길 직진 400m> 휴먼캐슬● 강북 방향 : 정릉입구 > 북악터널 통과 > 첫번째 신호등 우회전 > 언덕길 직진 400m> 휴먼캐슬● 강남, 강동방향 : 동부간선 방향 > 내부순환로 진입 > 국민대방향 > 북악터널 통과 > 첫번째 신호등 우회전 > 언덕길 직진 400m > 휴먼캐슬● 연희동 방향 : 연희동 > 유진상가 직진 > 세검정 방향 > 북악터널 방향 > 북악터널 진입전 비보호좌회전 > 언덕길 직진 400m > 휴먼캐슬"
11111000088,A04,11,110,아름다운실버홈,00,NORMAL SERVICE.,A04,http://blog.naver.com/arum_silver,11111000088,없음(주변 도로변 주가가능),"대중교통1호선 종각역 1번출구 - 지선버스(초록) 10202호선 신촌역 - 1633호선 경복궁역 3번출구 - 지선버스(초록) 1711,10204호선 길음역 3번출구 - 지선버스(초록) 7211, 길음뉴타운 1635호선 광화문역 2번출구 - 지선버스(초록) 1711,1020평창파출소 정류소 하차(세검정방면), 서울예술고등학교/평창동 주민센터 하차(국민대방면)평창파출소 맞은편에서 8003번 버스  승차 (평일 20분, 일요일, 공휴일 40분 배차)""아름다운 실버홈"" 앞에서 하차"
11120000056,A04,11,200,한마음너싱홈,00,NORMAL SERVICE.,A04,한마음너싱홈 밴드,11120000056,2대 주차가능,지하철로 오시는 방법2호선 용답역에 하차하여 1번 출구에서 엘리베이터 이용가능하며  로부터300m지점에 위치5호선 답십리 역에서 하차 하여 5번출구 500m 지점에 위치5호선 답십리 역에서 하차 하여 6번출구 엘리베이터 이용가능하며   500m 지점에 위치승용차 택시 -마장방면에서 오시면 신답사거리에서 명문예식장을 지나 500m 지점버스-도시철도공사.체육문화센터 옆 근린공원 145번 하차
11120000110,A04,11,200,서울숲 요양원,00,NORMAL SERVICE.,A04,없음,11120000110,건물앞 무료주차이용,"성수역3번출구에서 5분거리위치   출구에서 직진하면 경찰기동대주차장옆건물 뚝도시장 입구하차  버스노선: 2224. 2014,  2013.2012"
11120000126,A04,11,200,서울숲재활요양원,00,NORMAL SERVICE.,A04,http://blog.naver.com/1181kr,11120000126,"주차가능하오나 주차장이 협소하오니 가급적 대중교통을 이용하여 주시면, 편안하게 업무를 보실 수 있습니다.","지하철 : 2호선 성수역 3번출구-우측도로방향으로 직진(7-8분소요)-뚝도시장 사거리 좌측(경찰기동대 주차장 옆) 주황색 건물<일산빌딩>3층버  스 : 2412,2413,2224번 뚝도시장, 정류장하차, 정류장 5m거리"
11120000190,A04,11,200,금호무지개요양원,00,NORMAL SERVICE.,A04,https://blog.naver.com/anwlro-,11120000190,금호초등학교 공영 주차장,지하철이용  5호선 신금호역 1번출구 열린금호교육문화관 방향 직진 약 100m 버스이용2233 / 7212 (신금호역 정류장 하차)마을버스이용성동02번(금호1가동주민센터하차) / 성동03번(신금호역 하차) / 성동05번(신금호역 하차)
