longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,adminNm,adminPttnCd,longTermAdminSym,longTermPeribRgtDt,siDoCd,siGunGuCd,stpRptDt
,,,,,,,청운노인요양원,A03,11111000006,20080625,11,110,20080625
,,,,,,,아름다운실버홈,A04,11111000088,20151208,11,110,20130408
,,,,,,,서울시 종로구 재가노인복지기관,B01,21111000001,20080618,11,110,19920501
,,,,,,,효성재가요양복지센터,B02,21111000123,20210201,11,110,20210201
,,,,,,,종로데이케어센터,B03,21111000008,20080630,11,110,20080627
,,,,,,,서울숲 단기보호센터,B04,21120000122,20150508,11,200,20150508
,,,,,,,종로재가복지센터,B05,21111000126,20210601,11,110,20210531
,,,,,,,종로재가복지센터,B06,21111000126,20210601,11,110,20210531
,,,,,,,효사랑플러스홈케어,C01,31111000035,20090401,11,110,20090401
,,,,,,,웃음드림방문요양센터,C02,31111000048,20091211,11,110,20091211
,,,,,,,시온사랑 데이케어센터,C03,31117000153,20191001,11,170,20191001
,,,,,,,실버밸리노인단기보호센터,C04,31121500164,20130301,11,215,20130301
,,,,,,,우영요양센터,C05,31114000018,20081209,11,140,20081205
,,,,,,,(주)이원건강의료기,C06,31111000012,20080710,11,110,20080704
,,,,,,,시립동부노인전문요양센터,G31,11120000010,20080619,11,200,20080619
,,,,,,,시립동부노인전문요양센터,G32,11120000010,20080619,11,200,20080619
,,,,,,,시립동부노인전문요양센터,G33,11120000010,20080619,11,200,20080619
,,,,,,,시립동부노인전문요양센터,G34,11120000010,20080619,11,200,20080619
,,,,,,,시립동부노인전문요양센터,G35,11120000010,20080619,11,200,20080619
,,,,,,,시립동부노인전문요양센터,G36,11120000010,20080619,11,200,20080619
,,,,,,,시립동부노인전문요양센터,G37,11120000010,20080619,11,200,20080619
,,,,,,,시립동부노인전문요양센터,G38,11120000010,20080619,11,200,20080619
,,,,,,,보현데이케어센터,H31,21111000066,20110602,11,110,20110602
,,,,,,,구립가재울데이케어센터,H32,21141000342,20260401,11,410,20260401
,,,,,,,노블케어스,M31,11138000217,20131108,11,380,20131108
,,,,,,,사랑나눔요양원2,S41,11130500229,20150501,11,305,20150501
,,,,,,,인자인케어센터,A03,11111000056,20100701,11,110,20100701
,,,,,,,한마음너싱홈,A04,11120000056,20091102,11,200,20091028
,,,,,,,효성재가요양복지센터,B01,21111000123,20210201,11,110,20210201
,,,,,,,종로재가복지센터,B02,21111000126,20210601,11,110,20210531
,,,,,,,청운실버데이케어센터,B03,21111000034,20090227,11,110,20090227
,,,,,,,더행복데이케어센터,B04,21121500214,20160930,11,215,20160930
,,,,,,,종로이화재가복지센터,B05,21111000130,20220307,11,110,20220303
,,,,,,,강원전자주식회사 복지용구센터 더돌봄,B06,21117000172,20231116,11,170,20231027
,,,,,,,웃음드림방문요양센터,C01,31111000048,20091211,11,110,20091211
