시도,시군구,자격별,성별,연령구분,신청자,1등급,2등급,3등급,4등급,5등급,인지지원등급,등급외A,등급외B,등급외C
서울,종로구,일반,남자,65세미만,39,*,*,9,*,*,0,*,5,*
서울,종로구,일반,남자,65-69세,63,*,*,12,13,*,*,11,*,*
서울,종로구,일반,남자,70-74세,70,6,7,14,13,*,*,8,0,0
서울,종로구,일반,남자,75-79세,105,*,5,25,31,*,*,*,*,*
서울,종로구,일반,남자,80-84세,167,8,10,32,55,10,5,16,*,*
서울,종로구,일반,남자,85세이상,283,19,30,69,85,16,7,9,*,*
서울,종로구,일반,여자,65세미만,34,0,5,9,*,*,0,*,*,*
서울,종로구,일반,여자,65-69세,72,*,5,13,10,0,*,9,*,0
서울,종로구,일반,여자,70-74세,97,5,*,21,21,*,*,10,*,0
서울,종로구,일반,여자,75-79세,212,6,11,29,56,17,5,19,7,*
서울,종로구,일반,여자,80-84세,423,16,23,86,129,32,9,30,12,5
서울,종로구,일반,여자,85세이상,651,51,86,188,188,40,5,14,13,*
서울,종로구,기초,남자,65세미만,20,0,*,5,8,0,0,*,*,0
서울,종로구,기초,남자,65-69세,34,*,0,*,12,*,*,*,*,0
서울,종로구,기초,남자,70-74세,27,*,0,*,7,*,*,*,*,*
서울,종로구,기초,남자,75-79세,20,*,0,*,7,*,*,0,*,0
서울,종로구,기초,남자,80-84세,22,*,*,*,8,*,*,*,*,*
서울,종로구,기초,남자,85세이상,16,0,*,*,5,*,0,*,*,*
서울,종로구,기초,여자,65세미만,9,0,*,*,*,0,*,0,*,0
서울,종로구,기초,여자,65-69세,17,0,*,*,*,0,0,*,*,*
서울,종로구,기초,여자,70-74세,26,*,*,*,10,*,0,0,*,0
서울,종로구,기초,여자,75-79세,34,0,*,5,13,*,*,*,*,0
서울,종로구,기초,여자,80-84세,49,*,*,6,24,*,*,5,0,*
서울,종로구,기초,여자,85세이상,89,11,15,13,26,8,0,*,5,*
서울,종로구,의료,남자,65-69세,0,0,0,0,0,0,0,0,0,0
서울,종로구,의료,남자,75-79세,*,0,*,0,0,0,0,*,0,0
서울,종로구,의료,남자,85세이상,0,0,0,0,0,0,0,0,0,0
서울,종로구,의료,여자,65-69세,*,0,0,0,0,0,0,0,0,0
서울,종로구,의료,여자,70-74세,*,0,0,0,*,0,0,0,0,0
서울,종로구,의료,여자,75-79세,*,0,0,0,0,*,0,0,0,0
서울,종로구,의료,여자,80-84세,0,0,0,0,0,0,0,0,0,0
서울,종로구,의료,여자,85세이상,7,0,*,*,*,0,0,0,0,0
서울,종로구,감경,남자,65세미만,11,0,0,*,*,*,*,0,0,0
서울,종로구,감경,남자,65-69세,19,0,*,5,10,*,0,0,0,0
서울,종로구,감경,남자,70-74세,22,0,*,10,7,*,*,0,0,0
서울,종로구,감경,남자,75-79세,34,*,5,8,12,*,0,*,0,0
서울,종로구,감경,남자,80-84세,50,*,5,19,13,*,*,0,0,0
서울,종로구,감경,남자,85세이상,71,*,6,27,22,9,*,0,*,0
서울,종로구,감경,여자,65세미만,8,*,0,*,*,*,0,0,*,0
서울,종로구,감경,여자,65-69세,21,*,*,7,8,*,0,0,0,0
서울,종로구,감경,여자,70-74세,38,*,*,8,12,6,0,*,0,0
서울,종로구,감경,여자,75-79세,64,*,7,23,17,7,*,0,0,0
서울,종로구,감경,여자,80-84세,151,12,13,42,53,16,5,0,*,0
서울,종로구,감경,여자,85세이상,268,24,38,88,95,14,*,0,0,0
서울,중구,일반,남자,65세미만,24,*,0,*,0,*,*,5,*,*
서울,중구,일반,남자,65-69세,58,5,0,11,7,*,*,6,5,*
서울,중구,일반,남자,70-74세,56,0,*,9,7,6,*,8,*,*
서울,중구,일반,남자,75-79세,94,*,*,16,21,6,8,9,*,*
서울,중구,일반,남자,80-84세,141,5,6,19,44,11,7,7,7,8
서울,중구,일반,남자,85세이상,197,*,13,44,63,17,8,11,*,9
서울,중구,일반,여자,65세미만,18,*,0,*,*,0,0,*,*,6
서울,중구,일반,여자,65-69세,54,*,*,*,*,*,*,8,5,*
서울,중구,일반,여자,70-74세,86,*,*,5,17,5,5,11,7,*
서울,중구,일반,여자,75-79세,172,6,8,16,28,9,11,16,10,7
서울,중구,일반,여자,80-84세,289,*,15,52,89,29,12,16,7,9
서울,중구,일반,여자,85세이상,490,18,37,125,156,41,11,18,13,6
서울,중구,기초,남자,65세미만,22,*,*,5,*,0,*,*,*,*
서울,중구,기초,남자,65-69세,31,*,0,0,10,0,0,*,*,5
서울,중구,기초,남자,70-74세,36,0,0,5,7,*,*,*,0,*
서울,중구,기초,남자,75-79세,26,0,*,*,*,*,*,*,*,*
서울,중구,기초,남자,80-84세,26,0,*,*,8,*,*,*,*,*
서울,중구,기초,남자,85세이상,15,0,*,0,6,0,*,0,0,*
서울,중구,기초,여자,65세미만,*,*,0,0,0,*,0,0,0,0
서울,중구,기초,여자,65-69세,27,0,0,*,5,0,0,6,*,*
서울,중구,기초,여자,70-74세,33,*,*,*,11,0,0,*,*,*
서울,중구,기초,여자,75-79세,47,*,0,5,13,6,*,*,*,*
서울,중구,기초,여자,80-84세,70,0,*,8,33,7,*,0,6,*
서울,중구,기초,여자,85세이상,95,*,*,25,37,8,*,*,5,*
서울,중구,의료,남자,70-74세,*,0,0,0,0,0,0,0,0,0
서울,중구,의료,남자,75-79세,0,0,0,0,0,0,0,0,0,0
서울,중구,의료,남자,80-84세,*,0,0,0,0,*,0,0,0,0
서울,중구,의료,남자,85세이상,*,0,0,*,*,0,0,0,0,0
서울,중구,의료,여자,70-74세,*,0,0,0,0,0,0,*,0,0
서울,중구,의료,여자,75-79세,*,0,0,0,*,0,0,0,0,0
서울,중구,의료,여자,80-84세,*,0,0,*,*,0,0,0,0,0
서울,중구,의료,여자,85세이상,8,*,0,*,*,*,0,*,0,*
서울,중구,감경,남자,65세미만,7,*,0,0,*,0,0,0,0,0
서울,중구,감경,남자,65-69세,17,*,0,*,5,*,*,0,*,0
서울,중구,감경,남자,70-74세,22,0,*,8,9,*,0,0,0,0
서울,중구,감경,남자,75-79세,36,*,*,11,12,*,*,*,0,0
서울,중구,감경,남자,80-84세,50,*,*,15,20,7,*,0,0,0
서울,중구,감경,남자,85세이상,41,*,*,14,18,*,0,0,0,0
서울,중구,감경,여자,65세미만,*,0,0,0,*,0,0,0,0,0
서울,중구,감경,여자,65-69세,16,*,*,5,5,*,*,*,0,0
서울,중구,감경,여자,70-74세,27,*,*,*,9,*,*,*,0,0
서울,중구,감경,여자,75-79세,44,*,0,8,12,6,6,*,*,0
서울,중구,감경,여자,80-84세,114,*,*,22,48,19,5,*,*,0
서울,중구,감경,여자,85세이상,212,9,24,55,84,23,9,*,0,0
서울,용산구,일반,남자,65세미만,33,*,*,9,*,*,0,7,*,*
서울,용산구,일반,남자,65-69세,57,*,*,13,18,*,*,6,*,0
서울,용산구,일반,남자,70-74세,75,*,*,22,19,*,*,*,*,*
서울,용산구,일반,남자,75-79세,122,6,6,22,35,9,*,8,*,*
서울,용산구,일반,남자,80-84세,207,10,12,56,60,11,*,*,8,*
서울,용산구,일반,남자,85세이상,308,14,18,90,100,24,*,13,*,6
서울,용산구,일반,여자,65세미만,28,*,0,8,6,0,0,5,*,*
서울,용산구,일반,여자,65-69세,59,*,*,5,16,*,*,7,*,0
서울,용산구,일반,여자,70-74세,125,*,*,28,23,*,*,12,6,5
서울,용산구,일반,여자,75-79세,235,5,10,32,57,18,5,16,7,5
서울,용산구,일반,여자,80-84세,475,15,29,94,158,36,11,27,15,*
서울,용산구,일반,여자,85세이상,851,50,94,251,260,59,10,23,9,*
서울,용산구,기초,남자,65세미만,26,0,*,*,6,*,0,*,0,*
서울,용산구,기초,남자,65-69세,45,*,0,*,8,*,*,*,*,*
서울,용산구,기초,남자,70-74세,35,0,0,12,13,*,0,0,*,0
서울,용산구,기초,남자,75-79세,24,0,*,*,8,*,0,*,0,*
서울,용산구,기초,남자,80-84세,22,0,0,6,*,*,0,*,*,0
서울,용산구,기초,남자,85세이상,33,0,*,11,12,*,*,*,0,*
서울,용산구,기초,여자,65세미만,10,*,0,0,*,0,0,*,0,*
서울,용산구,기초,여자,65-69세,38,0,*,5,8,*,0,5,*,*
서울,용산구,기초,여자,70-74세,43,*,0,7,11,*,*,*,*,*
서울,용산구,기초,여자,75-79세,49,*,*,6,15,6,*,*,*,*
서울,용산구,기초,여자,80-84세,68,*,*,16,24,5,0,*,*,*
서울,용산구,기초,여자,85세이상,130,*,10,34,50,6,*,5,*,*
서울,용산구,의료,남자,65세미만,0,0,0,0,0,0,0,0,0,0
서울,용산구,의료,남자,65-69세,0,0,0,0,0,0,0,0,0,0
서울,용산구,의료,남자,70-74세,*,0,0,*,0,0,0,0,0,0
서울,용산구,의료,남자,75-79세,*,0,0,0,0,0,0,0,0,0
서울,용산구,의료,남자,85세이상,*,0,0,*,*,0,0,0,0,0
서울,용산구,의료,여자,65세미만,0,0,0,0,0,0,0,0,0,0
서울,용산구,의료,여자,65-69세,*,0,0,0,*,0,0,0,0,0
서울,용산구,의료,여자,70-74세,*,0,0,0,*,0,0,*,0,0
서울,용산구,의료,여자,75-79세,*,0,0,*,0,0,0,0,0,0
서울,용산구,의료,여자,80-84세,5,*,0,*,*,*,0,0,0,0
서울,용산구,의료,여자,85세이상,7,0,*,*,*,*,0,0,0,0
서울,용산구,감경,남자,65세미만,8,0,0,0,5,*,0,0,0,*
서울,용산구,감경,남자,65-69세,19,*,*,6,6,*,*,0,0,0
서울,용산구,감경,남자,70-74세,19,*,*,7,5,*,0,0,0,0
서울,용산구,감경,남자,75-79세,35,*,*,8,15,*,*,0,*,0
서울,용산구,감경,남자,80-84세,46,0,*,11,23,*,*,0,0,0
서울,용산구,감경,남자,85세이상,47,*,5,16,17,*,*,*,0,0
서울,용산구,감경,여자,65세미만,7,0,0,*,*,0,0,*,0,0
서울,용산구,감경,여자,65-69세,7,*,*,0,*,0,0,*,0,0
서울,용산구,감경,여자,70-74세,24,0,*,5,8,*,*,*,0,0
서울,용산구,감경,여자,75-79세,55,*,*,16,23,6,*,0,0,0
서울,용산구,감경,여자,80-84세,135,*,11,45,55,7,5,*,0,*
서울,용산구,감경,여자,85세이상,220,15,27,49,99,16,*,0,*,0
서울,성동구,일반,남자,65세미만,44,6,*,5,10,0,*,13,*,0
서울,성동구,일반,남자,65-69세,91,*,5,16,24,*,0,13,8,*
서울,성동구,일반,남자,70-74세,135,8,*,23,36,9,*,14,*,11
서울,성동구,일반,남자,75-79세,179,10,5,32,43,8,*,19,12,*
서울,성동구,일반,남자,80-84세,310,10,15,50,101,37,12,13,18,*
서울,성동구,일반,남자,85세이상,350,8,17,63,123,39,12,23,13,7
서울,성동구,일반,여자,65세미만,39,*,*,*,*,*,0,6,*,6
서울,성동구,일반,여자,65-69세,110,7,7,7,19,6,*,18,5,6
서울,성동구,일반,여자,70-74세,184,7,12,21,29,13,*,23,14,7
서울,성동구,일반,여자,75-79세,434,13,20,50,118,39,20,36,37,11
서울,성동구,일반,여자,80-84세,691,19,23,113,212,61,22,61,29,17
서울,성동구,일반,여자,85세이상,989,47,81,226,332,85,24,48,26,15
서울,성동구,기초,남자,65세미만,44,*,*,7,12,*,0,6,*,*
서울,성동구,기초,남자,65-69세,54,*,*,8,12,*,*,6,*,*
서울,성동구,기초,남자,70-74세,42,0,*,8,8,*,*,5,*,*
서울,성동구,기초,남자,75-79세,33,0,0,7,11,*,0,5,*,*
서울,성동구,기초,남자,80-84세,43,0,*,*,18,*,*,0,*,*
서울,성동구,기초,남자,85세이상,32,0,*,5,10,*,*,*,*,0
서울,성동구,기초,여자,65세미만,17,*,*,*,*,0,*,*,*,*
서울,성동구,기초,여자,65-69세,45,*,*,*,7,*,*,6,9,*
서울,성동구,기초,여자,70-74세,39,*,*,5,12,*,*,0,*,6
서울,성동구,기초,여자,75-79세,82,*,6,8,28,6,*,9,*,5
서울,성동구,기초,여자,80-84세,128,6,10,21,45,12,*,9,7,*
서울,성동구,기초,여자,85세이상,193,7,21,55,77,11,*,*,*,0
서울,성동구,의료,남자,70-74세,0,0,0,0,0,0,0,0,0,0
