사업년도,보건소관리번호,보건소기호,보건소명,시도코드,시군구코드,우편번호,주소,국가암검진담당자연락처값,일반검진담당자연락처값,영유아검진담당자연락처값
2024,451130,35700203,전북특별자치도전주시보건소,45,113,55038,전북전주시완산구전라감영로33(중앙동),063)281-6352,063)281-6352,063)281-8623
2024,521300,35700017,전북특별자치도군산시보건소,52,130,54091,전북특별자치도군산시수송동로58(수송동),063)454-5853,063)454-5853,063)454-5853
2024,527200,35700068,전북특별자치도진안군보건소,52,720,55422,전북특별자치도진안군진안읍진무로1189(군상리),063)430-8530,063)430-8530,063)430-8530
2024,527100,35700076,전북특별자치도완주군보건소,52,710,55334,전북특별자치도완주군삼례읍삼봉8로10-10,063)290-3029,062)290-3132,063)290-3132
2024,521400,35700092,전북특별자치도익산시보건소,52,140,54543,전북특별자치도익산시무왕로975(신동.익산시보건소),063)859-4921,063)859-4921,063)859-4812
2024,528000,35700114,전북특별자치도부안군보건소,52,800,56314,전북특별자치도부안군부안읍오리정로124(봉덕리),063)580-3082,063)580-3791,063)580-3791
2024,521900,35700131,전북특별자치도남원시보건소,52,190,55766,전북특별자치도남원시요천로1285(조산동),063)620-7953,063)620-7953,063)620-7953
2024,527900,35700173,전북특별자치도고창군보건소,52,790,56442,전북특별자치도고창군고창읍전봉준로90(율계리),063)560-8748,063)560-8748,063)560-8748
2024,521130,35700203,전북특별자치도전주시보건소,52,113,55038,전북특별자치도전주시완산구전라감영로33(중앙동),063)281-6352,063)281-6352,063)281-8623
2024,522100,35700220,전북특별자치도김제시보건소,52,210,54385,전북특별자치도김제시성산길138(요촌동),063)540-1395,063)540-1395,063)540-1322
2024,521800,35700238,전북특별자치도정읍시보건소,52,180,56177,전북특별자치도정읍시수성1로61(수성동),063)539-6743,063)539-6743,063)539-6752
2024,527700,35770015,전북특별자치도순창군보건의료원,52,770,56049,전북특별자치도순창군순창읍교성로135,063)650-5313,063)650-5327,063)650-5327
2024,527500,35770023,전북특별자치도임실군보건의료원,52,750,55927,전북특별자치도임실군임실읍호국로1680(이도리),063)640-3133,063)640-3315,063)640-3325
