dataset_id,title,source_url,reference_date,spatial_unit,license_note
15097972,행정안전부 지역별 행정동 성별 연령별 주민등록 인구수,https://www.data.go.kr/data/15097972/fileData.do,2026-06-30,행정동,이용허락범위 제한 없음
3051421,국민건강보험공단 노인장기요양보험 등급판정 현황,https://www.data.go.kr/data/3051421/fileData.do,2026-05-31,시군구,공공데이터포털 원문 확인
15149307,국민건강보험공단 협력기관현황 재택의료센터,https://www.data.go.kr/data/15149307/fileData.do,2025-08-21,기관·시군구,공공데이터포털 원문 확인
15132479,국민건강보험공단 보건소정보내역,https://www.data.go.kr/data/15132479/fileData.do,2024,기관·시군구코드,공공데이터포털 원문 확인
15124619,국민건강보험공단 장기요양 연도별 종류별 급여이용자 현황,https://www.data.go.kr/data/15124619/fileData.do,2025-12-31,전국 집계,공공데이터포털 원문 확인
15099160,행정안전부 지역별 법정동 성별 연령별 주민등록 1인세대수,https://www.data.go.kr/data/15099160/fileData.do,2026-06-30,법정동,이용허락범위 제한 없음
15099159,행정안전부 지역별 법정동 세대원수별 주민등록 세대수,https://www.data.go.kr/data/15099159/fileData.do,2026-06-30,법정동,이용허락범위 제한 없음
3051420,국민건강보험공단 노인장기요양보험 인정현황,https://www.data.go.kr/data/3051420/fileData.do,2024-12-31,전국 집계,공공데이터포털 원문 확인
15124194,국민건강보험공단 장기요양기관 평가년도 평가등급별 기관수 및 수급자수,https://www.data.go.kr/data/15124194/fileData.do,2018-2021,전국 집계,공공데이터포털 원문 확인
15151368,국립중앙의료원 치매안심센터 가족교실 정보,https://www.data.go.kr/data/15151368/fileData.do,수시,프로그램·센터,공공데이터포털 원문 확인
15151321,국립중앙의료원 치매안심센터 치매예방교실 정보,https://www.data.go.kr/data/15151321/fileData.do,수시,프로그램·센터,공공데이터포털 원문 확인
mohw-376950,보건복지부 노인 의료·돌봄 통합지원 시범사업 출범,https://www.mohw.go.kr/board.es?act=view&bid=0027&list_no=376950,2023-07-01,12개 시군구,공공누리 제1유형
mohw-1479644,보건복지부 장기요양 재택의료센터 2차 시범사업 선정 의료기관,https://www.mohw.go.kr/board.es?act=view&bid=0027&list_no=1479644,2024-01-01,61개 시군구·83개 기관,공공누리 제1유형
mohw-1483770,보건복지부 의료·돌봄 통합지원 시범사업 고시,https://www.mohw.go.kr/board.es?act=view&bid=0026&list_no=1483770,2024-11-29,공모 선정 지역,보건복지부 공식 고시
mohw-1485303,보건복지부 의료·돌봄 통합지원 시범사업 참여 시군구 추가 모집,https://www.mohw.go.kr/board.es?act=view&bid=0027&list_no=1485303,2025-04-11,47개 참여지역 집계,공공누리 제1유형
mohw-1487675,보건복지부 의료·요양 통합돌봄 지자체 본사업 설명회,https://mohw.go.kr/board.es?act=view&bid=0027&list_no=1487675,2025-10-23,229개 전 지자체,공공누리 제1유형
15129688,국가데이터처 SGIS 행정구역 통계 및 경계,https://www.data.go.kr/data/15129688/fileData.do,2024통계·2025경계,행정구역·공간경계,값 5 미만 N/A 처리
15063424,국토교통부 전국 법정동,https://www.data.go.kr/data/15063424/fileData.do,2026-06-30,법정동 코드,최신 행정구역 개편 확인용
15059029,국민건강보험공단 장기요양기관 검색 서비스,https://www.data.go.kr/data/15059029/openapi.do,2026-07-22 수집,기관·시군구코드·급여유형,공공데이터포털 인증키 사용
ltci_detail_sample_20260722,국민건강보험공단 장기요양기관 시설별 상세조회 서비스,https://www.data.go.kr/data/15050031/openapi.do,2026-07-22,시도별 기관유형 층화표본,공공데이터포털 이용조건 확인
15124763,국민건강보험공단 장기요양기관 시설별 현황,https://www.data.go.kr/data/15124763/fileData.do,2026-06-10,기관·기관유형,이용허락범위 제한 없음
15124763-history-20250401,국민건강보험공단 장기요양기관 시설별 현황 과거자료,https://www.data.go.kr/data/15124763/fileData.do,2025-04-01,기관·기관유형·정원·현원,현재 가동률이 아닌 과거 민감도 기준
15104801,국민건강보험공단 장기요양기관 평가 결과,https://www.data.go.kr/data/15104801/fileData.do,2026-06-25,기관·급여종류·시군구,이용허락범위 제한 없음
15004317,보건복지부 노인돌봄서비스 기관 현황,https://www.data.go.kr/data/15004317/fileData.do,2024-04-23,기관·시군구,이용허락범위 제한 없음
MHW-2025-247,장기요양급여 제공기준 및 급여비용 산정방법 등에 관한 고시,https://law.go.kr/LSW/admRulLsInfoP.do?admRulSeq=2100000271110,2026-01-01,전국·제도기준,국가법령정보센터
15001848,한국사회보장정보원 사회복지시설정보서비스 현황,https://www.data.go.kr/data/15001848/openapi.do,2026-07-23 수집,시설·시설유형,공공데이터포털 인증키 사용
15001698,건강보험심사평가원 병원정보서비스 요양병원 목록,https://www.data.go.kr/data/15001698/openapi.do,2026-07-23 수집,기관·시군구·좌표,공공데이터포털 인증키 사용
15113597,국민건강보험공단 연령대별 요양보호사 수(자격증 취득자 및 종사자),https://www.data.go.kr/data/15113597/fileData.do,2026-04-30,전국·연령대,이용허락범위 제한 없음
15101120,한국보건의료인국가시험원 응시자 현황 요양보호사,https://www.data.go.kr/data/15101120/fileData.do,2026-06-02,응시자·연도·응시지역,이용허락범위 제한 없음
MOHW-376950,보건복지부 노인 의료돌봄 통합지원 시범사업 최초 참여지역,https://www.mohw.go.kr/board.es?act=view&bid=0027&list_no=376950,2023-07-01,시군구,공공누리 제1유형 출처표시
