지역키,기관유형코드,기관유형명,분석_시도명,분석_시군구명,시설_지역코드,자료기준,기관수,정원,사회복지사,간호사,간호조무사,물리치료사,작업치료사,요양보호사,공급원자료행존재,인정자_공개값합계,인정자_비공개셀수,인정자_추정하한,인정자_추정중앙,인정자_추정상한,총인구,65세이상인구,75세이상인구,85세이상인구,65세이상1인세대,서비스분류,정원개념적용,정원자료충족률,정원지표사용상태,정원지표사용가능,공급0근거,인정자1000명당기관수_하한수요,인정자1000명당정원_하한수요,인정자1000명당요양보호사_하한수요,인정자1000명당기관수_중앙수요,인정자1000명당정원_중앙수요,인정자1000명당요양보호사_중앙수요,인정자1000명당기관수_상한수요,인정자1000명당정원_상한수요,인정자1000명당요양보호사_상한수요,75세이상1000명당기관수,고령1인세대1000세대당기관수,기관1곳당인정자,공급하위경계,공급하위후보,시나리오,추가기관수,배치후기관수,배치후_인정자1000명당기관수
강원특별자치도|강릉시,B01,재가노인복지시설 방문요양,강원특별자치도,강릉시,51150,2026-06-10,75.0,12.0,112.0,0.0,0.0,0.0,0.0,2485.0,True,7060,72,7132,7240.0,7348,205666,58369,24461,7119,19502,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,10.515984296130117,,348.42961301177786,10.359116022099448,,343.23204419889504,10.20685900925422,,338.1872618399565,3.06610522873145,3.8457594092913547,96.53333333333333,6.67315445572084,False,균등배분,0,75.0,10.359116022099448
강원특별자치도|고성군,B01,재가노인복지시설 방문요양,강원특별자치도,고성군,51820,2026-06-10,5.0,0.0,9.0,0.0,0.0,0.0,0.0,152.0,True,573,106,679,838.0,997,27204,9753,4272,1315,3771,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,7.363770250368188,,223.85861561119293,5.966587112171838,,181.38424821002386,5.015045135406218,,152.45737211634906,1.1704119850187267,1.3259082471492973,167.6,6.67315445572084,True,균등배분,0,5.0,5.966587112171838
강원특별자치도|동해시,B01,재가노인복지시설 방문요양,강원특별자치도,동해시,51170,2026-06-10,30.0,200.0,53.0,1.0,0.0,0.0,0.0,1154.0,True,2467,97,2564,2709.5,2855,85589,23433,9519,2573,8150,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,11.700468018720748,,450.0780031201248,11.072153533862336,,425.9088392692379,10.507880910683012,,404.2031523642732,3.1515915537346357,3.6809815950920246,90.31666666666666,6.67315445572084,False,균등배분,0,30.0,11.072153533862336
강원특별자치도|삼척시,B01,재가노인복지시설 방문요양,강원특별자치도,삼척시,51230,2026-06-10,27.0,0.0,47.0,0.0,0.0,0.0,0.0,876.0,True,1749,99,1848,1996.5,2145,60294,19952,8733,2675,7413,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,14.61038961038961,,474.025974025974,13.5236664162284,,438.7678437265214,12.587412587412588,,408.3916083916084,3.091721058055651,3.6422501011736137,73.94444444444444,6.67315445572084,False,균등배분,0,27.0,13.5236664162284
강원특별자치도|속초시,B01,재가노인복지시설 방문요양,강원특별자치도,속초시,51210,2026-06-10,23.0,0.0,31.0,1.0,0.0,0.0,0.0,622.0,True,1619,101,1720,1871.5,2023,78893,21146,8109,2208,7604,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,13.372093023255815,,361.62790697674416,12.289607266898209,,332.3537269569864,11.369253583786456,,307.4641621354424,2.8363546676532247,3.0247238295633876,81.3695652173913,6.67315445572084,False,균등배분,0,23.0,12.289607266898209
강원특별자치도|양구군,B01,재가노인복지시설 방문요양,강원특별자치도,양구군,51800,2026-06-10,2.0,100.0,4.0,0.0,0.0,0.0,0.0,65.0,True,295,104,399,555.0,711,20372,5891,2428,770,1993,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,5.012531328320802,,162.90726817042605,3.6036036036036037,,117.11711711711712,2.8129395218002813,,91.42053445850914,0.8237232289950577,1.0035122930255895,277.5,6.67315445572084,True,균등배분,0,2.0,3.6036036036036037
강원특별자치도|양양군,B01,재가노인복지시설 방문요양,강원특별자치도,양양군,51830,2026-06-10,8.0,0.0,20.0,0.0,0.0,0.0,0.0,290.0,True,752,104,856,1012.0,1168,27326,10299,4516,1330,3708,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,9.345794392523365,,338.78504672897196,7.905138339920948,,286.5612648221344,6.8493150684931505,,248.2876712328767,1.7714791851195748,2.157497303128371,126.5,6.67315445572084,False,균등배분,0,8.0,7.905138339920948
강원특별자치도|영월군,B01,재가노인복지시설 방문요양,강원특별자치도,영월군,51750,2026-06-10,11.0,0.0,24.0,0.0,0.0,0.0,0.0,428.0,True,1118,104,1222,1378.0,1534,35714,14054,5789,1736,5502,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,9.00163666121113,,350.2454991816694,7.982583454281567,,310.5950653120465,7.170795306388526,,279.00912646675357,1.9001554672655037,1.9992729916394036,125.27272727272727,6.67315445572084,False,균등배분,0,11.0,7.982583454281567
강원특별자치도|원주시,B01,재가노인복지시설 방문요양,강원특별자치도,원주시,51130,2026-06-10,98.0,0.0,128.0,0.0,0.0,0.0,0.0,3055.0,True,9086,57,9143,9228.5,9314,364811,76544,28432,9014,23947,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,10.718582522148091,,334.1354041343104,10.619277238987918,,331.03971392967435,10.521795147090401,,328.0008589220528,3.446820483961733,4.092370651856182,94.16836734693878,6.67315445572084,False,균등배분,0,98.0,10.619277238987918
강원특별자치도|인제군,B01,재가노인복지시설 방문요양,강원특별자치도,인제군,51810,2026-06-10,5.0,0.0,9.0,0.0,0.0,0.0,0.0,179.0,True,366,98,464,611.0,758,30771,8679,3266,1044,3008,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,10.775862068965518,,385.7758620689655,8.183306055646481,,292.9623567921441,6.596306068601583,,236.14775725593668,1.5309246785058175,1.6622340425531914,122.2,6.67315445572084,False,균등배분,0,5.0,8.183306055646481
강원특별자치도|정선군,B01,재가노인복지시설 방문요양,강원특별자치도,정선군,51770,2026-06-10,6.0,160.0,10.0,0.0,0.0,0.0,0.0,228.0,True,828,94,922,1063.0,1204,35128,12956,5166,1434,4985,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,6.507592190889371,,247.28850325379608,5.644402634054563,,214.4873000940734,4.983388704318936,,189.3687707641196,1.1614401858304297,1.2036108324974926,177.16666666666666,6.67315445572084,True,균등배분,0,6.0,5.644402634054563
강원특별자치도|철원군,B01,재가노인복지시설 방문요양,강원특별자치도,철원군,51780,2026-06-10,11.0,10.0,9.0,0.0,0.0,0.0,0.0,425.0,True,910,99,1009,1157.5,1306,39711,12246,5474,1544,4022,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,10.901883052527255,,421.20911793855305,9.503239740820735,,367.170626349892,8.422664624808576,,325.42113323124045,2.009499451954695,2.7349577324714076,105.22727272727273,6.67315445572084,False,균등배분,0,11.0,9.503239740820735
강원특별자치도|춘천시,B01,재가노인복지시설 방문요양,강원특별자치도,춘천시,51110,2026-06-10,109.0,100.0,133.0,1.0,0.0,0.0,0.0,3710.0,True,8583,47,8630,8700.5,8771,285027,66488,27039,8591,19960,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,12.630359212050985,,429.8957126303592,12.528015631285559,,426.4122751566002,12.427317295633337,,422.9848363926576,4.03121417212175,5.460921843687375,79.8211009174312,6.67315445572084,False,균등배분,0,109.0,12.528015631285559
강원특별자치도|태백시,B01,재가노인복지시설 방문요양,강원특별자치도,태백시,51190,2026-06-10,8.0,70.0,18.0,1.0,0.0,0.0,0.0,242.0,True,751,109,860,1023.5,1187,36811,12421,5202,1310,4911,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,9.30232558139535,,281.39534883720927,7.816316560820713,,236.44357596482658,6.739679865206402,,203.87531592249368,1.5378700499807767,1.6289961311341885,127.9375,6.67315445572084,False,균등배분,0,8.0,7.816316560820713
강원특별자치도|평창군,B01,재가노인복지시설 방문요양,강원특별자치도,평창군,51760,2026-06-10,11.0,80.0,20.0,0.0,0.0,0.0,0.0,438.0,True,935,99,1034,1182.5,1331,39897,15356,6017,1801,5414,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,10.638297872340425,,423.5976789168279,9.30232558139535,,370.4016913319239,8.264462809917356,,329.0758827948911,1.8281535648994516,2.031769486516439,107.5,6.67315445572084,False,균등배분,0,11.0,9.30232558139535
강원특별자치도|홍천군,B01,재가노인복지시설 방문요양,강원특별자치도,홍천군,51720,2026-06-10,17.0,50.0,24.0,0.0,0.0,0.0,0.0,489.0,True,1921,97,2018,2163.5,2309,65849,24363,9432,3072,8014,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,8.424182358771061,,242.3191278493558,7.85763808643402,,226.02264848624915,7.36249458640104,,211.77999133824164,1.8023748939779474,2.1212877464437234,127.26470588235294,6.67315445572084,False,균등배분,0,17.0,7.85763808643402
강원특별자치도|화천군,B01,재가노인복지시설 방문요양,강원특별자치도,화천군,51790,2026-06-10,4.0,42.0,8.0,0.0,0.0,0.0,0.0,145.0,True,382,77,459,574.5,690,22579,6942,2935,954,2460,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,8.71459694989107,,315.9041394335512,6.962576153176675,,252.3933855526545,5.797101449275362,,210.14492753623188,1.362862010221465,1.6260162601626016,143.625,6.67315445572084,False,균등배분,0,4.0,6.962576153176675
강원특별자치도|횡성군,B01,재가노인복지시설 방문요양,강원특별자치도,횡성군,51730,2026-06-10,18.0,0.0,26.0,0.0,0.0,0.0,0.0,435.0,True,1424,102,1526,1679.0,1832,45575,18436,7219,2265,5901,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,11.795543905635649,,285.05897771952823,10.72066706372841,,259.0827873734366,9.825327510917031,,237.44541484716157,2.4934201412938077,3.050330452465684,93.27777777777777,6.67315445572084,False,균등배분,0,18.0,10.72066706372841
경기도|가평군,B01,재가노인복지시설 방문요양,경기도,가평군,41820,2026-06-10,22.0,0.0,26.0,0.0,0.0,0.0,0.0,630.0,True,2270,91,2361,2497.5,2634,62041,21597,8526,2458,7681,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,9.318085556967388,,266.83608640406607,8.80880880880881,,252.25225225225222,8.352315869400151,,239.17995444191345,2.5803424818203142,2.8642103892722304,113.52272727272727,6.67315445572084,False,균등배분,0,22.0,8.80880880880881
경기도|고양시,B01,재가노인복지시설 방문요양,경기도,고양시,41281|41285|41287,2026-06-10,211.0,66.0,180.0,0.0,0.0,0.0,0.0,6541.0,True,25265,26,25291,25330.0,25369,1057438,204878,81672,25410,51307,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,8.342888774662924,,258.6295520145506,8.33004342676668,,258.23134622976704,8.317237573416374,,257.8343647759076,2.5835047507101576,4.11249926910558,120.04739336492891,6.67315445572084,False,균등배분,0,211.0,8.33004342676668
경기도|과천시,B01,재가노인복지시설 방문요양,경기도,과천시,41290,2026-06-10,9.0,0.0,12.0,0.0,0.0,0.0,0.0,343.0,True,760,95,855,997.5,1140,80832,13205,5013,1521,2189,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,10.526315789473683,,401.16959064327483,9.022556390977444,,343.859649122807,7.894736842105264,,300.8771929824561,1.7953321364452424,4.111466423024212,110.83333333333333,6.67315445572084,False,균등배분,0,9.0,9.022556390977444
경기도|광명시,B01,재가노인복지시설 방문요양,경기도,광명시,41210,2026-06-10,43.0,0.0,37.0,0.0,0.0,0.0,0.0,1007.0,True,4747,81,4828,4949.5,5071,303666,57121,20401,5129,13017,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,8.906379453189727,,208.57497928748964,8.687746236993636,,203.4548944337812,8.47958982449221,,198.58016170380597,2.1077398166756534,3.303372512867788,115.1046511627907,6.67315445572084,False,균등배분,0,43.0,8.687746236993636
경기도|광주시,B01,재가노인복지시설 방문요양,경기도,광주시,41610,2026-06-10,59.0,0.0,62.0,0.0,0.0,0.0,0.0,1800.0,True,8595,62,8657,8750.0,8843,399111,78180,27202,6649,18574,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,6.815293981748874,,207.92422317199956,6.742857142857143,,205.71428571428572,6.671943910437634,,203.55083116589392,2.1689581648408205,3.176483256164531,148.3050847457627,6.67315445572084,False,균등배분,0,59.0,6.742857142857143
경기도|구리시,B01,재가노인복지시설 방문요양,경기도,구리시,41310,2026-06-10,34.0,0.0,43.0,0.0,0.0,0.0,0.0,1048.0,True,3416,93,3509,3648.5,3788,187782,37208,13378,3317,9574,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,9.68937019093759,,298.66058706184094,9.31889817733315,,287.24133205426887,8.975712777191129,,276.663146779303,2.54148602182688,3.551284729475663,107.30882352941177,6.67315445572084,False,균등배분,0,34.0,9.31889817733315
경기도|군포시,B01,재가노인복지시설 방문요양,경기도,군포시,41410,2026-06-10,41.0,10014.0,44.0,1.0,0.0,0.0,0.0,1072.0,True,5054,76,5130,5244.0,5358,249462,51815,19157,5680,13614,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,7.992202729044833,,208.96686159844054,7.818459191456904,,204.4241037376049,7.65210899589399,,200.07465472191117,2.1402098449652867,3.011605700014691,127.90243902439025,6.67315445572084,False,균등배분,0,41.0,7.818459191456904
경기도|김포시,B01,재가노인복지시설 방문요양,경기도,김포시,41570,2026-06-10,58.0,2014.0,59.0,0.0,0.0,0.0,0.0,1787.0,True,9358,45,9403,9470.5,9538,484042,84689,32663,8228,21093,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,6.168244177390195,,190.04573008614273,6.124280660999947,,188.69119898632596,6.080939400293563,,187.35583979869995,1.7757095184153322,2.749727397714882,163.2844827586207,6.67315445572084,True,균등배분,0,58.0,6.124280660999947
경기도|남양주시,B01,재가노인복지시설 방문요양,경기도,남양주시,41360,2026-06-10,173.0,0.0,143.0,0.0,0.0,0.0,0.0,4640.0,True,19300,36,19336,19390.0,19444,727440,142550,55935,14449,36643,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,8.947041787339677,,239.9669011170873,8.92212480660134,,239.29860752965445,8.897346225056573,,238.63402592059245,3.0928756592473405,4.7212291570013365,112.08092485549133,6.67315445572084,False,균등배분,0,173.0,8.92212480660134
경기도|동두천시,B01,재가노인복지시설 방문요양,경기도,동두천시,41250,2026-06-10,38.0,0.0,19.0,0.0,0.0,0.0,0.0,707.0,True,3254,93,3347,3486.5,3626,86265,24403,10864,3155,8895,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,11.353450851508814,,211.23394084254556,10.899182561307901,,202.7821597590707,10.479867622724766,,194.98069498069498,3.4977908689248896,4.2720629567172566,91.75,6.67315445572084,False,균등배분,0,38.0,10.899182561307901
경기도|부천시,B01,재가노인복지시설 방문요양,경기도,부천시,41192|41194|41196,2026-06-10,197.0,2099.0,199.0,1.0,0.0,0.0,0.0,5152.0,True,17378,34,17412,17463.0,17514,755453,161363,54847,14003,42429,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,11.3140362968068,,295.8878934068458,11.280994101815267,,295.0237645307221,11.248144341669523,,294.16466826538766,3.591809944026109,4.643050743595183,88.64467005076142,6.67315445572084,False,균등배분,0,197.0,11.280994101815267
경기도|성남시,B01,재가노인복지시설 방문요양,경기도,성남시,41131|41133|41135,2026-06-10,137.0,0.0,189.0,0.0,0.0,0.0,0.0,4841.0,True,16976,42,17018,17081.0,17144,902344,175877,67836,17917,44640,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,8.050299682688918,,284.4635092255259,8.020607692758036,,283.4143200046836,7.991133924405039,,282.37284181054594,2.019576625980305,3.0689964157706093,124.67883211678833,6.67315445572084,False,균등배분,0,137.0,8.020607692758036
경기도|수원시,B01,재가노인복지시설 방문요양,경기도,수원시,41111|41113|41115|41117,2026-06-10,195.0,15.0,170.0,0.0,0.0,0.0,0.0,4761.0,True,21473,37,21510,21565.5,21621,1185770,188782,68732,18284,49895,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,9.06555090655509,,221.3389121338912,9.042220212839952,,220.7692842734924,9.019009296517275,,220.2025808241987,2.8371064424140138,3.9082072351939074,110.5923076923077,6.67315445572084,False,균등배분,0,195.0,9.042220212839952
경기도|시흥시,B01,재가노인복지시설 방문요양,경기도,시흥시,41390,2026-06-10,100.0,0.0,96.0,0.0,0.0,0.0,0.0,2428.0,True,8871,53,8924,9003.5,9083,514831,74706,25108,6985,21444,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,11.205737337516808,,272.07530255490815,11.10679180318765,,269.67290498139613,11.00957833314984,,267.31256192887815,3.9827943285008764,4.663309084126096,90.035,6.67315445572084,False,균등배분,0,100.0,11.10679180318765
경기도|안산시,B01,재가노인복지시설 방문요양,경기도,안산시,41271|41273,2026-06-10,103.0,0.0,86.0,0.0,0.0,0.0,0.0,2472.0,True,12742,38,12780,12837.0,12894,609240,107655,36645,10484,31622,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,8.059467918622849,,193.42723004694838,8.023681545532446,,192.56835709277868,7.988211571273461,,191.71707771056307,2.8107518078864784,3.257225981911328,124.63106796116504,6.67315445572084,False,균등배분,0,103.0,8.023681545532446
경기도|안성시,B01,재가노인복지시설 방문요양,경기도,안성시,41550,2026-06-10,64.0,0.0,73.0,0.0,0.0,0.0,0.0,1871.0,True,5935,68,6003,6105.0,6207,198785,45277,17890,5403,13707,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,10.661335998667333,,311.6774945860403,10.483210483210483,,306.4701064701065,10.31093926212341,,301.43386499113905,3.577417551704863,4.669147151090684,95.390625,6.67315445572084,False,균등배분,0,64.0,10.483210483210483
경기도|안양시,B01,재가노인복지시설 방문요양,경기도,안양시,41171|41173,2026-06-10,105.0,47.0,110.0,0.0,0.0,0.0,0.0,3178.0,True,9680,49,9729,9802.5,9876,562305,108783,38564,10316,24350,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,10.792476102374344,,326.65227669853016,10.711553175210405,,324.20300943636823,10.6318347509113,,321.79019846091535,2.722746603049476,4.31211498973306,93.35714285714286,6.67315445572084,False,균등배분,0,105.0,10.711553175210405
경기도|양주시,B01,재가노인복지시설 방문요양,경기도,양주시,41630,2026-06-10,75.0,15.0,47.0,0.0,0.0,0.0,0.0,1182.0,True,9094,56,9150,9234.0,9318,297226,56892,22416,6052,16680,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,8.196721311475411,,129.18032786885246,8.122157244964262,,128.00519818063677,8.048937540244689,,126.85125563425628,3.345824411134904,4.496402877697841,123.12,6.67315445572084,False,균등배분,0,75.0,8.122157244964262
경기도|양평군,B01,재가노인복지시설 방문요양,경기도,양평군,41830,2026-06-10,45.0,120.0,42.0,0.0,0.0,0.0,0.0,1391.0,True,4623,75,4698,4810.5,4923,126822,43216,16980,4765,13464,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,9.578544061302681,,296.0834397616007,9.354536950420954,,289.1591310674566,9.140767824497258,,282.5512898639041,2.65017667844523,3.342245989304813,106.9,6.67315445572084,False,균등배분,0,45.0,9.354536950420954
경기도|여주시,B01,재가노인복지시설 방문요양,경기도,여주시,41670,2026-06-10,36.0,0.0,30.0,0.0,0.0,0.0,0.0,825.0,True,3827,85,3912,4039.5,4167,113506,33425,13013,3794,10180,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,9.202453987730062,,210.88957055214723,8.911994058670627,,204.23319717786856,8.639308855291578,,197.98416126709864,2.7664643049258433,3.536345776031434,112.20833333333333,6.67315445572084,False,균등배분,0,36.0,8.911994058670627
경기도|연천군,B01,재가노인복지시설 방문요양,경기도,연천군,41800,2026-06-10,13.0,610.0,9.0,0.0,0.0,0.0,0.0,269.0,True,1452,97,1549,1694.5,1840,42977,14788,6386,1960,5073,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,8.392511297611362,,173.6604260813428,7.671879610504574,,158.74889347890235,7.065217391304348,,146.19565217391303,2.0357031005324147,2.562586240883107,130.34615384615384,6.67315445572084,False,균등배분,0,13.0,7.671879610504574
경기도|오산시,B01,재가노인복지시설 방문요양,경기도,오산시,41370,2026-06-10,31.0,0.0,38.0,0.0,0.0,0.0,0.0,1029.0,True,4017,77,4094,4209.5,4325,253590,34066,12293,3098,9517,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,7.572056668295065,,251.34342940889104,7.364295046917687,,244.4470839767193,7.167630057803468,,237.91907514450867,2.521760351419507,3.257328990228013,135.79032258064515,6.67315445572084,False,균등배분,0,31.0,7.364295046917687
경기도|용인시,B01,재가노인복지시설 방문요양,경기도,용인시,41461|41463|41465,2026-06-10,170.0,0.0,200.0,0.0,0.0,0.0,0.0,5554.0,True,22448,50,22498,22573.0,22648,1090211,191254,82252,21919,38961,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,7.556227220197351,,246.86638812338873,7.5311212510521415,,246.0461613431976,7.506181561285765,,245.23136700812435,2.0668190439138256,4.36333769667103,132.78235294117647,6.67315445572084,False,균등배분,0,170.0,7.5311212510521415
경기도|의왕시,B01,재가노인복지시설 방문요양,경기도,의왕시,41430,2026-06-10,26.0,0.0,17.0,0.0,0.0,0.0,0.0,457.0,True,2726,102,2828,2981.0,3134,164221,32901,11412,3180,6390,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,9.193776520509195,,161.5983026874116,8.72190540087219,,153.30426031533042,8.296107211231652,,145.8200382897256,2.278303540133193,4.068857589984351,114.65384615384616,6.67315445572084,False,균등배분,0,26.0,8.72190540087219
경기도|의정부시,B01,재가노인복지시설 방문요양,경기도,의정부시,41150,2026-06-10,129.0,0.0,137.0,1.0,0.0,0.0,0.0,3734.0,True,12584,45,12629,12696.5,12764,461917,96398,38158,10181,28208,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,10.214585477868397,,295.6686990260511,10.160280392234082,,294.0967983302485,10.106549670949546,,292.5415230335318,3.380680329157713,4.573170731707317,98.42248062015504,6.67315445572084,False,균등배분,0,129.0,10.160280392234082
경기도|이천시,B01,재가노인복지시설 방문요양,경기도,이천시,41500,2026-06-10,28.0,0.0,24.0,0.0,0.0,0.0,0.0,639.0,True,4608,68,4676,4778.0,4880,224740,43697,16253,4591,12181,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,5.9880239520958085,,136.65526090675792,5.8601925491837585,,133.73796567601505,5.737704918032787,,130.94262295081967,1.7227588752845628,2.2986618504227896,170.64285714285714,6.67315445572084,True,균등배분,0,28.0,5.8601925491837585
경기도|파주시,B01,재가노인복지시설 방문요양,경기도,파주시,41480,2026-06-10,105.0,0.0,102.0,0.0,0.0,0.0,0.0,2598.0,True,12190,36,12226,12280.0,12334,533387,94456,38870,11379,26366,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,8.588254539505972,,212.49795517749058,8.550488599348535,,211.56351791530943,8.51305334846765,,210.63726285065673,2.7013120658605607,3.9824015777895774,116.95238095238095,6.67315445572084,False,균등배분,0,105.0,8.550488599348535
경기도|평택시,B01,재가노인복지시설 방문요양,경기도,평택시,41220,2026-06-10,104.0,92.0,112.0,0.0,1.0,0.0,0.0,2925.0,True,11646,49,11695,11768.5,11842,619670,93532,35511,9930,28221,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,8.892689183411715,,250.1068832834545,8.837150019118834,,248.5448442877172,8.782300287113662,,247.00219557507177,2.9286699895806936,3.6851989653095214,113.15865384615384,6.67315445572084,False,균등배분,0,104.0,8.837150019118834
경기도|포천시,B01,재가노인복지시설 방문요양,경기도,포천시,41650,2026-06-10,50.0,6.0,35.0,0.0,0.0,0.0,0.0,1003.0,True,5666,80,5746,5866.0,5986,140468,41261,15819,4887,14562,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,8.70170553428472,,174.55621301775147,8.523695874531198,,170.9853392430958,8.35282325425994,,167.55763448045437,3.1607560528478413,3.4335942864991074,117.32,6.67315445572084,False,균등배분,0,50.0,8.523695874531198
경기도|하남시,B01,재가노인복지시설 방문요양,경기도,하남시,41450,2026-06-10,56.0,0.0,69.0,0.0,0.0,0.0,0.0,1524.0,True,5245,75,5320,5432.5,5545,327495,56386,19754,4441,12738,방문·복지용구형,False,0.4890829694323144,비적용,False,기관존재,10.526315789473683,,286.4661654135338,10.308329498389325,,280.53382420616657,10.099188458070333,,274.8422001803427,2.834868887313962,4.396294551734966,97.00892857142857,6.67315445572084,False,균등배분,0,56.0,10.308329498389325
