데이터셋,칼럼,변수종류,pandas_dtype,행수,결측수,결측률,고유값수,최솟값,중앙값,평균,최댓값
demand_current,시도,범주형,object,235,0,0.0,17,,,,
demand_current,시군구,범주형,object,235,0,0.0,212,,,,
demand_current,신청자_공개값합계,수치형,int64,235,0,0.0,230,0,5422.0,6735.251063829787,31163
demand_current,신청자_비공개셀수,수치형,int64,235,0,0.0,14,0,6.0,5.6553191489361705,18
demand_current,신청자_추정하한,수치형,int64,235,0,0.0,231,0,5427.0,6740.906382978724,31168
demand_current,신청자_추정상한,수치형,int64,235,0,0.0,232,0,5442.0,6757.872340425532,31183
demand_current,인정자_공개값합계,수치형,int64,235,0,0.0,225,0,4017.0,5233.9702127659575,25265
demand_current,인정자_비공개셀수,수치형,int64,235,0,0.0,75,0,84.0,78.49361702127659,117
demand_current,인정자_추정하한,수치형,int64,235,0,0.0,231,0,4094.0,5312.463829787234,25291
demand_current,인정자_추정상한,수치형,int64,235,0,0.0,229,0,4325.0,5547.944680851064,25369
demand_current,자료기준,날짜·시간형,object,235,0,0.0,1,,,,
population_current,주민등록_시군구코드,식별자,int64,255,0,0.0,255,,,,
population_current,기준연월,날짜·시간형,object,255,0,0.0,1,,,,
population_current,시도명,범주형,object,255,0,0.0,17,,,,
population_current,시군구명,범주형,object,255,0,0.0,233,,,,
population_current,총인구,수치형,int64,255,0,0.0,255,8768,174487.0,200359.87843137255,727440
population_current,65세이상인구,수치형,int64,255,0,0.0,254,2900,38941.0,43877.4431372549,142550
population_current,75세이상인구,수치형,int64,255,0,0.0,254,1152,15402.0,17507.26274509804,55935
population_current,85세이상인구,수치형,int64,255,0,0.0,253,309,4366.0,4774.054901960784,14449
population_current,65세이상남자,수치형,int64,255,0,0.0,254,1400,17515.0,19615.901960784315,64008
population_current,65세이상여자,수치형,int64,255,0,0.0,254,1500,21323.0,24261.54117647059,78542
population_current,고령화율,수치형,float64,255,0,0.0,255,7.087361214390113,24.8369996013764,27.59904865185553,50.10635635635635
single_household_current,법정동_시군구코드,식별자,int64,255,0,0.0,255,,,,
single_household_current,기준연월,날짜·시간형,object,255,0,0.0,1,,,,
single_household_current,시도명,범주형,object,255,0,0.0,17,,,,
single_household_current,시군구명,범주형,object,255,1,0.00392156862745098,232,,,,
single_household_current,65세이상1인세대,수치형,int64,255,0,0.0,253,1202,12162.0,13046.109803921569,36643
single_household_current,65세이상남자1인세대,수치형,int64,255,0,0.0,253,527,4203.0,4594.462745098039,13198
single_household_current,65세이상여자1인세대,수치형,int64,255,0,0.0,254,675,7830.0,8451.64705882353,23445
supply_current,시설_지역코드,식별자,int64,3600,0,0.0,257,,,,
supply_current,시도명,범주형,object,3600,0,0.0,18,,,,
supply_current,시군구명,범주형,object,3600,0,0.0,240,,,,
supply_current,기관유형코드,식별자,object,3600,0,0.0,39,,,,
supply_current,기관유형명,범주형,object,3600,0,0.0,36,,,,
supply_current,기관수,수치형,int64,3600,0,0.0,115,1,5.0,13.70111111111111,173
supply_current,정원,수치형,float64,3600,0,0.0,618,0.0,3.0,178.07194444444445,10998.0
supply_current,사회복지사,수치형,float64,3600,0,0.0,148,0.0,1.0,14.547222222222222,308.0
supply_current,간호사,수치형,float64,3600,0,0.0,50,0.0,0.0,1.8386111111111112,77.0
supply_current,간호조무사,수치형,float64,3600,0,0.0,97,0.0,0.0,5.2508333333333335,317.0
supply_current,물리치료사,수치형,float64,3600,0,0.0,30,0.0,0.0,0.7175,61.0
supply_current,작업치료사,수치형,float64,3600,0,0.0,28,0.0,0.0,0.3688888888888889,56.0
supply_current,요양보호사,수치형,float64,3600,0,0.0,840,0.0,12.0,266.49861111111113,5739.0
supply_current,자료기준,날짜·시간형,object,3600,0,0.0,1,,,,
demand_panel,기준일,날짜·시간형,object,920,0,0.0,4,,,,
demand_panel,시도,범주형,object,920,0,0.0,34,,,,
demand_panel,시군구,범주형,object,920,2,0.002173913043478261,208,,,,
demand_panel,신청자_공개값합계,수치형,int64,920,0,0.0,887,5,5116.0,6311.779347826087,30578
demand_panel,신청자_비공개셀수,수치형,int64,920,0,0.0,1,0,0.0,0.0,0
demand_panel,신청자_추정하한,수치형,int64,920,0,0.0,887,5,5116.0,6311.779347826087,30578
demand_panel,신청자_추정상한,수치형,int64,920,0,0.0,887,5,5116.0,6311.779347826087,30578
demand_panel,인정자_공개값합계,수치형,int64,920,0,0.0,879,0,3939.0,4909.848913043478,24786
demand_panel,인정자_비공개셀수,수치형,int64,920,0,0.0,1,0,0.0,0.0,0
demand_panel,인정자_추정하한,수치형,int64,920,0,0.0,879,0,3939.0,4909.848913043478,24786
demand_panel,인정자_추정상한,수치형,int64,920,0,0.0,879,0,3939.0,4909.848913043478,24786
demand_panel,비공개규칙주의,범주형,object,920,0,0.0,1,,,,
population_panel,기준일,날짜·시간형,object,1004,0,0.0,4,,,,
population_panel,시도명,범주형,object,1004,0,0.0,19,,,,
population_panel,시군구명,범주형,object,1004,4,0.00398406374501992,230,,,,
population_panel,총인구,수치형,int64,1004,0,0.0,1001,8696,175905.5,204281.83864541832,989969
population_panel,65세이상인구,수치형,int64,1004,0,0.0,1000,2511,35079.5,39935.562749003984,137932
population_panel,75세이상인구,수치형,int64,1004,0,0.0,985,1076,14525.0,16484.461155378485,54983
population_panel,85세이상인구,수치형,int64,1004,0,0.0,935,270,3794.5,4229.946215139442,13767
population_panel,고령화율,수치형,float64,1004,0,0.0,1004,8.375233,22.445964500000002,25.101045479083663,49.204626
single_household_panel,기준일,날짜·시간형,object,1004,0,0.0,4,,,,
single_household_panel,시도명,범주형,object,1004,0,0.0,19,,,,
single_household_panel,시군구명,범주형,object,1004,4,0.00398406374501992,230,,,,
single_household_panel,65세이상1인세대,수치형,int64,1004,0,0.0,979,981,10616.0,11611.536852589641,35057
single_household_panel,65세이상남자1인세대,수치형,int64,1004,0,0.0,932,388,3565.5,3923.176294820717,12612
single_household_panel,65세이상여자1인세대,수치형,int64,1004,0,0.0,964,593,6998.5,7688.360557768924,22887
supply_snapshots,기준일,날짜·시간형,object,18567,0,0.0,5,,,,
supply_snapshots,시설_지역코드,식별자,object,18567,0,0.0,283,,,,
supply_snapshots,시도명,범주형,object,18567,0,0.0,19,,,,
supply_snapshots,시군구명,범주형,object,18567,0,0.0,236,,,,
supply_snapshots,기관유형코드,식별자,object,18567,0,0.0,44,,,,
supply_snapshots,기관유형명,범주형,object,18567,0,0.0,41,,,,
supply_snapshots,기관수,수치형,int64,18567,0,0.0,230,1,6.0,16.266602035870093,510
supply_snapshots,정원,수치형,int64,18567,0,0.0,1430,0,9.0,185.05197393224537,41010
supply_snapshots,현원,수치형,float64,18567,6084,0.32767813863305867,1505,0.0,72.0,267.5509092365617,20430.0
supply_snapshots,가동률,수치형,float64,18567,11883,0.6400064630796575,3312,0.0,0.831761,0.8038034944643927,27.0
supply_snapshots,가동률해석가능,수치형,bool,18567,0,0.0,2,False,1.0,0.5119297678677223,True
supply_snapshots,사회복지사,수치형,int64,18567,0,0.0,200,0,1.0,13.387353907470242,308
supply_snapshots,간호사,수치형,int64,18567,0,0.0,64,0,0.0,1.6216944040501966,77
supply_snapshots,간호조무사,수치형,int64,18567,0,0.0,162,-17,0.0,5.118166639737168,317
supply_snapshots,요양보호사,수치형,int64,18567,0,0.0,2221,-5,12.0,304.3145904023267,12541
supply_snapshots,비교주의,범주형,object,18567,0,0.0,1,,,,
historical_occupancy,시설_지역코드,식별자,int64,2945,0,0.0,252,,,,
historical_occupancy,기관유형코드,식별자,object,2945,0,0.0,33,,,,
historical_occupancy,시도명,범주형,object,2945,0,0.0,17,,,,
historical_occupancy,시군구명,범주형,object,2945,0,0.0,236,,,,
historical_occupancy,기관유형명,범주형,object,2945,0,0.0,30,,,,
historical_occupancy,기관수,수치형,int64,2945,0,0.0,87,1,5.0,11.573174872665534,136
historical_occupancy,현원확인기관수,수치형,int64,2945,0,0.0,87,1,5.0,11.573174872665534,136
historical_occupancy,현원결측행수,수치형,int64,2945,0,0.0,1,0,0.0,0.0,0
historical_occupancy,정원합계_현원확인기관,수치형,float64,2945,0,0.0,629,0.0,12.0,229.54804753820034,41010.0
historical_occupancy,현원합계,수치형,int64,2945,0,0.0,850,0,70.0,280.3103565365025,20430
historical_occupancy,원자료_현원정원비,수치형,float64,2945,1164,0.39524617996604416,1153,0.0,0.8611111111111112,4.879922307108825,1039.0
historical_occupancy,가동률,수치형,float64,2945,1499,0.5089983022071307,850,0.0,0.8353201980439106,0.7813492258171533,1.2307692307692308
historical_occupancy,가동률해석가능,수치형,bool,2945,0,0.0,2,False,0.0,0.49134125636672327,True
historical_occupancy,지표해석,범주형,object,2945,0,0.0,2,,,,
historical_occupancy,정원초과행수,수치형,float64,2945,1498,0.5086587436332768,7,0.0,0.0,0.286109191430546,7.0
historical_occupancy,자료기준,날짜·시간형,object,2945,0,0.0,1,,,,
historical_occupancy,용도,범주형,object,2945,0,0.0,1,,,,
