지역키,sido_name,sigungu_name,region_code,demand_value,current_resource,total_population,elderly_population,elderly_single_households,aging_rate,elderly_single_household_index,service,resource_type,demand_scenario,current_supply_rate,target_scenario,target_supply_rate,target_resource,continuous_gap,integer_need,provider_missing,eligible_for_allocation,allocation_cap,vulnerability_score
경기도|연천군,경기도,연천군,41800,1694.5,27.0,42977,14788,5073,34.40910254322079,34.3048417635921,visit_care,institution,ltci_midpoint,15.933903806432577,county_median,11.909217437998507,20.18016894868847,0.0,0,False,False,2,-0.8341130156300356
경기도|가평군,경기도,가평군,41820,2497.5,33.0,62041,21597,7681,34.81085088892829,35.56512478584989,visit_care,institution,ltci_midpoint,13.213213213213212,county_median,11.909217437998507,29.74327055140127,0.0,0,False,False,2,-0.6051631039795765
경기도|양평군,경기도,양평군,41830,4810.5,74.0,126822,43216,13464,34.07610666918989,31.155127730470195,visit_care,institution,ltci_midpoint,15.383016318470014,county_median,11.909217437998507,57.28929048549182,0.0,0,False,False,2,-1.354002110776552
충청북도|보은군,충청북도,보은군,43720,1853.5,22.0,31181,13525,4769,43.37577370834803,35.26062846580407,visit_care,institution,ltci_midpoint,11.869436201780417,county_median,11.909217437998507,22.073734521330234,0.07373452133023406,1,False,True,2,0.014673453402190617
충청북도|옥천군,충청북도,옥천군,43730,2494.5,29.0,50547,18901,6548,37.392921439452394,34.64366964710862,visit_care,institution,ltci_midpoint,11.625576267789137,county_median,11.909217437998507,29.707542899087276,0.7075428990872759,1,False,True,2,-0.5484066819200446
충청북도|영동군,충청북도,영동군,43740,2642.5,25.0,43011,17768,6398,41.31036246541582,36.008554705087796,visit_care,institution,ltci_midpoint,9.460737937559129,county_median,11.909217437998507,31.470107079911052,6.4701070799110525,7,False,True,2,-0.02902486989295594
충청북도|증평군,충청북도,증평군,43745,1208.5,13.0,36741,8781,3173,23.899730546256226,36.134836578977335,visit_care,institution,ltci_midpoint,10.757136946628052,county_median,11.909217437998507,14.392289273821195,1.392289273821195,2,False,True,2,-1.366281744361387
충청북도|진천군,충청북도,진천군,43750,1967.5,20.0,85569,18464,5943,21.57790788720214,32.18695840554593,visit_care,institution,ltci_midpoint,10.165184243964422,county_median,11.909217437998507,23.431385309262062,3.431385309262062,4,False,True,2,-2.1663556677033737
충청북도|괴산군,충청북도,괴산군,43760,1594.0,21.0,37415,16412,5875,43.86476012294535,35.79697782110651,visit_care,institution,ltci_midpoint,13.174404015056462,county_median,11.909217437998507,18.98329259616962,0.0,0,False,False,2,0.13689676730574335
충청북도|음성군,충청북도,음성군,43770,2769.5,32.0,95954,26403,9003,27.51630989849303,34.09839790932849,visit_care,institution,ltci_midpoint,11.55443220797978,county_median,11.909217437998507,32.982577694536864,0.9825776945368645,1,False,True,2,-1.4037414449250742
충청북도|단양군,충청북도,단양군,43800,1098.5,13.0,26628,11286,4144,42.38395673726904,36.71805777068935,visit_care,institution,ltci_midpoint,11.834319526627219,county_median,11.909217437998507,13.08227535564136,0.08227535564135913,1,False,True,2,0.16591905189001477
충청남도|금산군,충청남도,금산군,44710,2943.0,44.0,48939,19220,6934,39.27338114795971,36.07700312174818,visit_care,institution,ltci_midpoint,14.950730547060823,county_median,11.909217437998507,35.048826920029605,0.0,0,False,False,2,-0.17706204673266548
충청남도|부여군,충청남도,부여군,44760,3443.0,41.0,57762,25613,8850,44.3423011668571,34.55276617342756,visit_care,institution,ltci_midpoint,11.908219575951204,county_median,11.909217437998507,41.00343563902886,0.0034356390288579064,1,False,True,2,-0.020997220906607217
충청남도|서천군,충청남도,서천군,44770,3164.5,51.0,46761,20945,7437,44.791599837471395,35.50728097397947,visit_care,institution,ltci_midpoint,16.11629009322168,county_median,11.909217437998507,37.68671858254627,0.0,0,False,False,2,0.1637088050125447
충청남도|청양군,충청남도,청양군,44790,1595.0,17.0,30051,12963,4309,43.13666766496955,33.24076216925094,visit_care,institution,ltci_midpoint,10.65830721003135,county_median,11.909217437998507,18.99520181360762,1.9952018136076184,2,False,True,2,-0.3207162465664129
충청남도|홍성군,충청남도,홍성군,44800,4122.0,54.0,101566,29222,9328,28.77143926117008,31.92115529395661,visit_care,institution,ltci_midpoint,13.100436681222707,county_median,11.909217437998507,49.089794279429846,0.0,0,False,False,2,-1.6473434953261967
충청남도|예산군,충청남도,예산군,44810,3516.0,46.0,78318,29283,9243,37.38987206006282,31.564388894580475,visit_care,institution,ltci_midpoint,13.083048919226393,county_median,11.909217437998507,41.87280851200275,0.0,0,False,False,2,-1.0315330619470107
충청남도|태안군,충청남도,태안군,44825,2568.0,35.0,59039,24025,8296,40.6934399295381,34.53069719042664,visit_care,institution,ltci_midpoint,13.629283489096572,county_median,11.909217437998507,30.582870380780165,0.0,0,False,False,2,-0.3088661335074567
전라남도|담양군,전라남도,담양군,46710,2475.5,28.0,44031,16914,5979,38.41384479116986,35.349414686058886,visit_care,institution,ltci_midpoint,11.310846293678045,county_median,11.909217437998507,29.481267767765306,1.4812677677653063,2,False,True,2,-0.3581574890152635
전라남도|곡성군,전라남도,곡성군,46720,1768.5,18.0,27657,11583,4598,41.88089814513505,39.69610636277303,visit_care,institution,ltci_midpoint,10.178117048346056,county_median,11.909217437998507,21.061451039100362,3.061451039100362,4,False,True,2,0.5937220873562147
전라남도|구례군,전라남도,구례군,46730,1776.0,16.0,24337,10138,3929,41.656736656120316,38.75517853620043,visit_care,institution,ltci_midpoint,9.00900900900901,county_median,11.909217437998507,21.150770169885348,5.150770169885348,6,False,True,2,0.42869492179343427
