지역키,sido_name,sigungu_name,region_code,demand_value,total_population,elderly_population,elderly_single_households,current_resource,aging_rate,elderly_single_household_index,service,resource_type,demand_scenario,current_supply_rate,target_scenario,target_supply_rate,target_resource,continuous_gap,integer_need,provider_missing,eligible_for_allocation,allocation_cap,vulnerability_score
경기도|연천군,경기도,연천군,41800,1694.5,42977,14788,5073,1.0,34.40910254322079,34.3048417635921,visit_nursing,institution,ltci_midpoint,0.5901445854234287,county_median,0.4134130418495324,0.7005283994140327,0.0,0,False,False,2,-0.8341130156300356
경기도|가평군,경기도,가평군,41820,2497.5,62041,21597,7681,1.0,34.81085088892829,35.56512478584989,visit_nursing,institution,ltci_midpoint,0.4004004004004004,county_median,0.4134130418495324,1.0324990720192073,0.03249907201920732,1,False,True,2,-0.6051631039795765
경기도|양평군,경기도,양평군,41830,4810.5,126822,43216,13464,1.0,34.07610666918989,31.155127730470195,visit_nursing,institution,ltci_midpoint,0.20787859889824342,county_median,0.4134130418495324,1.9887234378171756,0.9887234378171756,1,False,True,2,-1.354002110776552
충청북도|보은군,충청북도,보은군,43720,1853.5,31181,13525,4769,0.0,43.37577370834803,35.26062846580407,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.7662610730681083,0.7662610730681083,1,True,True,2,0.014673453402190617
충청북도|옥천군,충청북도,옥천군,43730,2494.5,50547,18901,6548,2.0,37.392921439452394,34.64366964710862,visit_nursing,institution,ltci_midpoint,0.8017638805371818,county_median,0.4134130418495324,1.0312588328936585,0.0,0,False,False,2,-0.5484066819200446
충청북도|영동군,충청북도,영동군,43740,2642.5,43011,17768,6398,2.0,41.31036246541582,36.008554705087796,visit_nursing,institution,ltci_midpoint,0.7568590350047304,county_median,0.4134130418495324,1.0924439630873894,0.0,0,False,False,2,-0.02902486989295594
충청북도|증평군,충청북도,증평군,43745,1208.5,36741,8781,3173,0.0,23.899730546256226,36.134836578977335,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.4996096610751599,0.4996096610751599,1,True,True,2,-1.366281744361387
충청북도|진천군,충청북도,진천군,43750,1967.5,85569,18464,5943,1.0,21.57790788720214,32.18695840554593,visit_nursing,institution,ltci_midpoint,0.5082592121982211,county_median,0.4134130418495324,0.813390159838955,0.0,0,False,False,2,-2.1663556677033737
충청북도|괴산군,충청북도,괴산군,43760,1594.0,37415,16412,5875,0.0,43.86476012294535,35.79697782110651,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.6589803887081547,0.6589803887081547,1,True,True,2,0.13689676730574335
충청북도|음성군,충청북도,음성군,43770,2769.5,95954,26403,9003,1.0,27.51630989849303,34.09839790932849,visit_nursing,institution,ltci_midpoint,0.3610760064993681,county_median,0.4134130418495324,1.14494741940228,0.14494741940227995,1,False,True,2,-1.4037414449250742
충청북도|단양군,충청북도,단양군,43800,1098.5,26628,11286,4144,0.0,42.38395673726904,36.71805777068935,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.45413422647171137,0.45413422647171137,1,True,True,2,0.16591905189001477
충청남도|금산군,충청남도,금산군,44710,2943.0,48939,19220,6934,2.0,39.27338114795971,36.07700312174818,visit_nursing,institution,ltci_midpoint,0.6795786612300374,county_median,0.4134130418495324,1.216674582163174,0.0,0,False,False,2,-0.17706204673266548
충청남도|부여군,충청남도,부여군,44760,3443.0,57762,25613,8850,2.0,44.3423011668571,34.55276617342756,visit_nursing,institution,ltci_midpoint,0.5808887598024979,county_median,0.4134130418495324,1.4233811030879402,0.0,0,False,False,2,-0.020997220906607217
충청남도|서천군,충청남도,서천군,44770,3164.5,46761,20945,7437,1.0,44.791599837471395,35.50728097397947,visit_nursing,institution,ltci_midpoint,0.31600568810238583,county_median,0.4134130418495324,1.3082455709328453,0.3082455709328453,1,False,True,2,0.1637088050125447
충청남도|청양군,충청남도,청양군,44790,1595.0,30051,12963,4309,0.0,43.13666766496955,33.24076216925094,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.6593938017500042,0.6593938017500042,1,True,True,2,-0.3207162465664129
충청남도|홍성군,충청남도,홍성군,44800,4122.0,101566,29222,9328,3.0,28.77143926117008,31.92115529395661,visit_nursing,institution,ltci_midpoint,0.727802037845706,county_median,0.4134130418495324,1.7040885585037726,0.0,0,False,False,2,-1.6473434953261967
충청남도|예산군,충청남도,예산군,44810,3516.0,78318,29283,9243,8.0,37.38987206006282,31.564388894580475,visit_nursing,institution,ltci_midpoint,2.2753128555176336,county_median,0.4134130418495324,1.453560255142956,0.0,0,False,False,2,-1.0315330619470107
충청남도|태안군,충청남도,태안군,44825,2568.0,59039,24025,8296,3.0,40.6934399295381,34.53069719042664,visit_nursing,institution,ltci_midpoint,1.1682242990654206,county_median,0.4134130418495324,1.0616446914695994,0.0,0,False,False,2,-0.3088661335074567
전라남도|담양군,전라남도,담양군,46710,2475.5,44031,16914,5979,2.0,38.41384479116986,35.349414686058886,visit_nursing,institution,ltci_midpoint,0.8079175924055746,county_median,0.4134130418495324,1.0234039850985175,0.0,0,False,False,2,-0.3581574890152635
전라남도|곡성군,전라남도,곡성군,46720,1768.5,27657,11583,4598,3.0,41.88089814513505,39.69610636277303,visit_nursing,institution,ltci_midpoint,1.6963528413910094,county_median,0.4134130418495324,0.7311209645108981,0.0,0,False,False,2,0.5937220873562147
전라남도|구례군,전라남도,구례군,46730,1776.0,24337,10138,3929,2.0,41.656736656120316,38.75517853620043,visit_nursing,institution,ltci_midpoint,1.1261261261261262,county_median,0.4134130418495324,0.7342215623247695,0.0,0,False,False,2,0.42869492179343427
전라남도|고흥군,전라남도,고흥군,46770,3853.5,58976,28413,11626,3.0,48.17722463374932,40.9178896983775,visit_nursing,institution,ltci_midpoint,0.7785130400934215,county_median,0.4134130418495324,1.5930871567671732,0.0,0,False,False,2,1.276083537693859
전라남도|보성군,전라남도,보성군,46780,2159.5,37559,16869,7049,2.0,44.913336350808066,41.7867093485091,visit_nursing,institution,ltci_midpoint,0.9261403102570039,county_median,0.4134130418495324,0.8927654638740653,0.0,0,False,False,2,1.1579290547954109
전라남도|화순군,전라남도,화순군,46790,2868.0,59909,19853,7960,3.0,33.13859353352584,40.094696015715506,visit_nursing,institution,ltci_midpoint,1.0460251046025104,county_median,0.4134130418495324,1.185668604024459,0.0,0,False,False,2,-0.025184786010808924
전라남도|장흥군,전라남도,장흥군,46800,2456.5,33952,13971,5826,5.0,41.149269557021675,41.700665664590936,visit_nursing,institution,ltci_midpoint,2.0354162426216162,county_median,0.4134130418495324,1.0155491373033763,0.0,0,False,False,2,0.8510480938084749
전라남도|강진군,전라남도,강진군,46810,2094.0,31666,13064,5353,2.0,41.25560538116592,40.97519902020821,visit_nursing,institution,ltci_midpoint,0.9551098376313276,county_median,0.4134130418495324,0.8656869096329209,0.0,0,False,False,2,0.7455696585330088
전라남도|해남군,전라남도,해남군,46820,3274.0,62027,24626,9400,2.0,39.702065229658054,38.171038739543576,visit_nursing,institution,ltci_midpoint,0.6108735491753208,county_median,0.4134130418495324,1.3535142990153692,0.0,0,False,False,2,0.18473532245445495
전라남도|영암군,전라남도,영암군,46830,2349.5,50076,16430,6607,1.0,32.810128604521125,40.213024954351795,visit_nursing,institution,ltci_midpoint,0.42562247286656735,county_median,0.4134130418495324,0.9713139418254765,0.0,0,False,False,2,-0.03223058216610941
전라남도|무안군,전라남도,무안군,46840,2945.0,95659,20837,7613,2.0,21.78258187938406,36.5359696693382,visit_nursing,institution,ltci_midpoint,0.6791171477079797,county_median,0.4134130418495324,1.2175014082468731,0.0,0,False,False,2,-1.468396345866459
전라남도|함평군,전라남도,함평군,46860,2148.0,29601,12736,5471,0.0,43.02557346035607,42.95697236180904,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.8880112138927957,0.8880112138927957,1,True,True,2,1.1943077045164685
전라남도|영광군,전라남도,영광군,46870,2678.5,53902,17674,6755,1.0,32.78913583911543,38.21998415751952,visit_nursing,institution,ltci_midpoint,0.3733432891543775,county_median,0.4134130418495324,1.1073268325939725,0.10732683259397247,1,False,True,2,-0.34641284737767386
전라남도|장성군,전라남도,장성군,46880,2492.5,43095,15429,5869,1.0,35.80229725026105,38.03875818264307,visit_nursing,institution,ltci_midpoint,0.40120361083249745,county_median,0.4134130418495324,1.0304320068099595,0.0304320068099595,1,False,True,2,-0.13997358271849286
전라남도|완도군,전라남도,완도군,46890,2575.0,44175,17538,6739,1.0,39.70118845500849,38.42513399475425,visit_nursing,institution,ltci_midpoint,0.38834951456310685,county_median,0.4134130418495324,1.064538582762546,0.06453858276254598,1,False,True,2,0.22451386165184795
전라남도|진도군,전라남도,진도군,46900,1511.5,27882,11249,4772,2.0,40.34502546445736,42.421548582096186,visit_nursing,institution,ltci_midpoint,1.3231888852133642,county_median,0.4134130418495324,0.6248738127555682,0.0,0,False,False,2,0.9014097151691349
전라남도|신안군,전라남도,신안군,46910,1939.5,42319,16501,5513,0.0,38.991942153642576,33.4100963577965,visit_nursing,institution,ltci_midpoint,0.0,county_median,0.4134130418495324,0.8018145946671682,0.8018145946671682,1,True,True,2,-0.6172193832502889
경상북도|의성군,경상북도,의성군,47730,3596.5,47952,24027,9445,1.0,50.10635635635635,39.30994298081325,visit_nursing,institution,ltci_midpoint,0.27804810232170163,county_median,0.4134130418495324,1.4868400050118435,0.48684000501184355,1,False,True,2,1.1742923799361131
