장기요양기관코드,기관유형코드,기관유형코드명,시설장,사무국장,사회복지사,의사_전임,의사_촉탁,간호사,간호조무사,치위생사,물리치료사,작업치료사,요양보호사,영양사,기타
11111000006,A03,노인요양시설(개정법),1,1,2,0,1,1,1,0,1,0,18,0,0
11111000056,A03,노인요양시설(개정법),1,0,3,0,1,0,3,0,1,0,20,1,0
11111000060,A03,노인요양시설(개정법),1,1,1,0,2,2,4,0,1,0,37,0,0
11111000068,A03,노인요양시설(개정법),1,0,2,0,1,0,2,0,1,0,20,0,0
11111000076,A03,노인요양시설(개정법),1,0,2,0,1,2,0,0,0,1,17,1,0
11111000078,A03,노인요양시설(개정법),1,0,1,0,1,0,2,0,0,0,11,0,0
11111000087,A03,노인요양시설(개정법),0,1,0,0,0,0,0,0,0,0,1,0,0
11111000088,A03,노인요양시설(개정법),1,0,0,0,1,0,1,0,0,0,4,0,0
11111000088,A04,노인요양공동생활가정,1,0,0,0,1,0,1,0,0,0,4,0,0
11111000135,A03,노인요양시설(개정법),1,2,2,0,1,0,2,0,2,0,29,0,0
11111000155,A03,노인요양시설(개정법),1,1,4,0,0,1,4,0,1,1,55,0,0
11114000030,A03,노인요양시설(개정법),1,0,3,0,1,0,1,0,0,0,7,0,0
11114000040,A03,노인요양시설(개정법),1,1,2,0,1,1,3,0,1,0,28,1,1
11117000054,A03,노인요양시설(개정법),1,1,3,0,1,7,2,0,1,0,42,1,0
11117000092,A03,노인요양시설(개정법),1,1,4,0,1,0,4,0,1,0,38,1,0
11120000010,A03,노인요양시설(개정법),1,1,8,0,3,16,6,0,3,3,81,1,0
11120000010,G31,치매전담실가형1실,0,0,0,0,0,0,0,0,0,0,8,0,0
11120000010,G32,치매전담실가형2실,0,0,0,0,0,0,0,0,0,0,8,0,0
11120000010,G33,치매전담실가형3실,0,0,0,0,0,0,0,0,0,0,8,0,0
11120000010,G34,치매전담실가형4실,0,0,0,0,0,0,0,0,0,0,8,0,0
11120000010,G35,치매전담실가형5실,0,0,0,0,0,0,0,0,0,0,8,0,0
11120000010,G36,치매전담실가형6실,0,0,0,0,0,0,0,0,0,0,8,0,0
11120000010,G37,치매전담실가형7실,0,0,0,0,0,0,0,0,0,0,8,0,0
11120000010,G38,치매전담실가형8실,0,0,0,0,0,0,0,0,0,0,8,0,0
11120000056,A04,노인요양공동생활가정,1,0,0,0,0,0,1,0,0,0,4,0,0
11120000065,A03,노인요양시설(개정법),1,0,2,0,1,2,0,0,1,0,20,0,0
11120000093,A03,노인요양시설(개정법),1,0,1,0,1,0,2,0,0,1,15,0,0
11120000110,A04,노인요양공동생활가정,1,0,0,1,0,0,1,0,0,0,3,0,0
11120000126,A04,노인요양공동생활가정,1,0,0,1,0,0,1,0,0,0,3,0,0
11120000180,A03,노인요양시설(개정법),1,0,3,0,0,0,3,0,0,1,22,0,0
11120000190,A04,노인요양공동생활가정,1,0,0,0,1,0,1,0,0,0,4,0,0
11121500005,A03,노인요양시설(개정법),1,0,1,0,1,1,0,0,0,0,13,0,0
11121500009,A04,노인요양공동생활가정,1,0,0,0,1,1,0,0,0,0,4,0,0
11121500093,A04,노인요양공동생활가정,1,0,0,0,1,0,0,0,0,0,0,0,0
11121500095,A04,노인요양공동생활가정,1,0,1,0,1,0,1,0,0,0,4,0,0
11121500101,A03,노인요양시설(개정법),1,1,1,0,2,1,3,0,1,0,46,1,0
11121500101,A05,노인요양시설(단기보호 전환),0,0,0,0,0,0,0,0,0,0,0,0,0
11121500112,A04,노인요양공동생활가정,1,0,1,0,1,1,0,0,0,0,3,0,0
11121500118,A03,노인요양시설(개정법),1,0,1,0,1,0,1,0,0,1,19,0,0
11121500142,A03,노인요양시설(개정법),1,1,5,0,2,8,3,0,2,0,58,1,0
11121500148,A03,노인요양시설(개정법),1,0,1,0,2,0,1,0,0,0,9,0,0
11121500196,A04,노인요양공동생활가정,1,0,0,0,0,0,1,0,0,0,3,0,0
11121500260,A04,노인요양공동생활가정,1,0,0,0,0,0,1,0,0,0,3,0,0
11121500268,A03,노인요양시설(개정법),1,1,3,0,0,0,4,0,1,0,35,1,0
11121500269,A03,노인요양시설(개정법),1,0,2,0,0,0,2,0,1,0,19,0,0
11121500271,A04,노인요양공동생활가정,1,1,0,0,0,0,1,0,0,0,3,0,0
11121500282,A04,노인요양공동생활가정,1,1,1,0,0,0,1,0,0,0,3,0,0
11121500294,A03,노인요양시설(개정법),1,1,3,0,1,1,3,0,0,1,35,1,0
11121500303,A04,노인요양공동생활가정,1,0,0,0,1,0,1,0,0,0,3,0,0
11123000008,A03,노인요양시설(개정법),1,1,3,0,1,5,0,0,2,0,57,1,1
11123000009,A03,노인요양시설(개정법),1,1,3,0,1,1,1,0,1,0,15,0,0
11123000022,A01,노인요양시설,0,0,0,0,0,0,0,0,0,0,0,0,0
11123000022,A03,노인요양시설(개정법),1,0,1,0,1,1,2,0,1,0,18,0,0
11123000061,A04,노인요양공동생활가정,1,0,0,0,1,0,1,0,0,0,3,0,0
11123000090,A04,노인요양공동생활가정,1,0,0,1,1,0,1,0,0,0,3,0,0
11123000113,A03,노인요양시설(개정법),1,1,1,0,1,0,1,0,0,0,14,0,0
11123000284,A04,노인요양공동생활가정,1,0,0,0,1,0,1,0,0,0,3,0,0
11123000285,A04,노인요양공동생활가정,1,0,0,1,1,0,1,0,0,0,3,0,0
11123000292,A04,노인요양공동생활가정,0,0,1,0,1,0,1,0,0,0,4,0,0
11123000303,A04,노인요양공동생활가정,1,0,0,1,0,0,1,0,0,0,4,0,0
11123000332,A04,노인요양공동생활가정,1,0,0,0,2,0,1,0,0,0,4,0,0
11123000347,A04,노인요양공동생활가정,1,0,0,0,1,0,1,0,0,0,3,0,0
11123000371,A04,노인요양공동생활가정,1,0,1,1,0,0,1,0,0,0,3,0,0
11123000373,A04,노인요양공동생활가정,1,0,1,0,1,0,1,0,0,0,4,0,0
11123000375,A04,노인요양공동생활가정,1,0,0,0,1,0,1,0,0,0,3,0,0
11123000376,A04,노인요양공동생활가정,1,0,0,0,1,0,1,0,0,0,3,0,0
11123000377,A04,노인요양공동생활가정,1,0,1,0,1,0,1,0,0,0,4,0,0
11123000381,A03,노인요양시설(개정법),1,1,5,0,3,6,3,0,2,0,32,1,3
11123000381,G31,치매전담실가형1실,0,0,0,0,0,0,0,0,0,0,7,0,0
11123000381,G32,치매전담실가형2실,0,0,0,0,0,0,0,0,0,0,7,0,0
11123000381,G33,치매전담실가형3실,0,0,0,0,0,0,0,0,0,0,8,0,0
11123000383,A03,노인요양시설(개정법),1,0,3,0,1,0,3,0,0,1,22,0,0
11123000387,A03,노인요양시설(개정법),1,0,3,1,1,2,0,0,1,0,16,0,0
11123000404,A04,노인요양공동생활가정,1,0,0,1,1,0,1,0,0,0,4,0,0
11123000427,A04,노인요양공동생활가정,1,0,0,0,2,0,0,0,0,0,0,0,0
