기관유형코드,기관유형명,지역수,핵심지표유효값수,핵심지표결측률,평균,중앙값,표준편차,1사분위수,3사분위수,사분위범위,IQR이상치수,동률비율,하한상한순위상관,공급0지역수,정원지표사용상태,권장통계방법
A01,노인요양시설,229,229,0.0,0.05446060961216061,0.0,0.18833705271359688,0.0,0.0,0.0,37,0.8340611353711791,0.9999805315850697,192,조건부_정원자료부족,기술통계·공급0비율 중심
A02,노인전문요양시설,229,229,0.0,0.05075058071686463,0.0,0.14960040108159983,0.0,0.0,0.0,43,0.8078602620087336,0.9999956943644611,186,조건부_정원자료부족,기술통계·공급0비율 중심
A03,노인요양시설(개정법),229,229,0.0,3.7029025093906967,3.4263338228095934,2.063121874263318,2.137894174238375,4.847505554433448,2.7096113801950734,4,0.0,0.9808334723987435,0,사용가능,기술통계·민감도·탐색적 순위상관
A04,노인요양공동생활가정,229,229,0.0,1.3521544324154915,0.997506234413965,1.3790977030846807,0.5008765339343851,1.8206645425580337,1.3197880086236484,10,0.12227074235807855,0.9957104235506158,29,사용가능,기술통계·민감도·탐색적 순위상관
A05,노인요양시설(단기보호 전환),229,229,0.0,0.013705427125669965,0.0,0.07593748306081699,0.0,0.0,0.0,14,0.9344978165938864,0.9999999999999999,215,조건부_정원자료부족,기술통계·공급0비율 중심
B01,재가노인복지시설 방문요양,229,229,0.0,8.252334615012597,8.122157244964262,2.3333325674992467,6.67315445572084,9.758364312267657,3.0852098565468173,2,0.004366812227074246,0.9289530254827085,0,비적용,하한·중앙·상한 별도 분석
B02,재가노인복지시설 방문목욕,229,229,0.0,4.606777289746593,4.448938321536906,1.8564196557752062,3.3068099617650097,5.773857257417802,2.4670472956527925,0,0.004366812227074246,0.9722784797794114,1,비적용,기술통계·민감도·탐색적 순위상관
B03,재가노인복지시설 주야간보호,229,229,0.0,3.5100853936335894,3.4129692832764507,1.5015329262485468,2.6056060007895776,4.15837204158372,1.5527660407941428,9,0.0,0.9672923602232171,1,사용가능,기술통계·민감도·탐색적 순위상관
B04,재가노인복지시설 단기보호,229,229,0.0,0.19697265982543147,0.0,0.5372799073252689,0.0,0.27326137450471377,0.27326137450471377,13,0.5327510917030568,0.9998037054730696,123,조건부_정원자료부족,기술통계·공급0비율 중심
B05,재가노인복지시설 방문간호,229,229,0.0,0.4434793528943532,0.3737619136609979,0.42332474724276153,0.12658227848101267,0.666740748972108,0.5401584704910953,8,0.23580786026200873,0.9977603427402975,55,비적용,기술통계·민감도·탐색적 순위상관
B06,재가노인복지시설 복지용구,229,229,0.0,0.6954721193446959,0.6552006552006552,0.4940717393880071,0.3733432891543775,0.9679370840895342,0.5945937949351567,6,0.16157205240174677,0.9941041112612465,38,비적용,기술통계·민감도·탐색적 순위상관
C01,재가장기요양기관 방문요양,229,229,0.0,6.014998132561869,6.026689625484288,2.4941606517289356,4.646840148698885,7.472445357743322,2.8256052090444364,12,0.03056768558951961,0.9757427603895511,7,비적용,기술통계·민감도·탐색적 순위상관
C02,재가장기요양기관 방문목욕,229,229,0.0,4.682837082119236,4.805314112076885,2.1199648846709316,3.392705682782019,6.06134076857801,2.668635085795991,1,0.03493449781659386,0.9855616628571635,9,비적용,기술통계·민감도·탐색적 순위상관
C03,재가장기요양기관 주야간보호,229,229,0.0,1.1284281546888757,0.8499787505312367,1.0353731015875898,0.36815462494247586,1.6699137211244086,1.3017590961819328,5,0.16157205240174677,0.9967946932246362,38,사용가능,기술통계·민감도·탐색적 순위상관
C04,재가장기요양기관 단기보호,229,229,0.0,0.05710110715728588,0.0,0.16358446872978247,0.0,0.0,0.0,44,0.8034934497816594,0.9999571980921256,185,조건부_정원자료부족,기술통계·공급0비율 중심
C05,재가장기요양기관 방문간호,229,229,0.0,0.3854368024271981,0.3354579000335458,0.36703500145874196,0.0,0.6153215054866168,0.6153215054866168,3,0.2925764192139738,0.9983476696909694,68,비적용,기술통계·민감도·탐색적 순위상관
C06,재가장기요양기관 복지용구,229,229,0.0,0.9109852080516818,0.8639308855291576,0.6605133032138526,0.46221400508435406,1.1979122101480277,0.7356982050636737,7,0.10917030567685593,0.9931941206487699,25,비적용,기술통계·민감도·탐색적 순위상관
G31,치매전담실가형1실,229,229,0.0,0.18562246969129728,0.08954555630176853,0.2630776486724384,0.0,0.28694404591104733,0.28694404591104733,11,0.4759825327510917,0.9997482644010462,110,사용가능,기술통계·민감도·탐색적 순위상관
G32,치매전담실가형2실,229,229,0.0,0.09238395335662511,0.0,0.18005576368950363,0.0,0.12186205215695832,0.12186205215695832,22,0.6681222707423581,0.9999411247329971,154,사용가능,기술통계·공급0비율 중심
