"연도","성별","연령대","응시지역","합격여부","학교소재지","응시자수"
"2020","남","10","""수원","화성""","결시","1"
"2020","남","10","""수원","화성""","불합격","2"
"2020","남","10","""수원","화성""","합격","1"
"2020","남","20","""수원","화성""","결시","6"
"2020","남","20","""수원","화성""","불합격","13"
"2020","남","20","""수원","화성""","합격","65"
"2020","남","30","""수원","화성""","결시","8"
"2020","남","30","""수원","화성""","불합격","15"
"2020","남","30","""수원","화성""","합격","81"
"2020","남","40","""수원","화성""","결시","8"
"2020","남","40","""수원","화성""","불합격","14"
"2020","남","40","""수원","화성""","합격","180"
"2020","남","50","""수원","화성""","결시","32"
"2020","남","50","""수원","화성""","불합격","50"
"2020","남","50","""수원","화성""","합격","501"
"2020","남","60","""수원","화성""","결시","26"
"2020","남","60","""수원","화성""","불합격","154"
"2020","남","60","""수원","화성""","응시결격","2"
"2020","남","60","""수원","화성""","합격","948"
"2020","남","70","""수원","화성""","결시","11"
"2020","남","70","""수원","화성""","불합격","72"
"2020","남","70","""수원","화성""","합격","212"
"2020","남","80","""수원","화성""","결시","3"
"2020","남","80","""수원","화성""","불합격","19"
"2020","남","80","""수원","화성""","합격","36"
"2020","여","10","""수원","화성""","합격","3"
"2020","여","20","""수원","화성""","결시","6"
"2020","여","20","""수원","화성""","불합격","29"
"2020","여","20","""수원","화성""","합격","128"
"2020","여","30","""수원","화성""","결시","23"
"2020","여","30","""수원","화성""","불합격","61"
"2020","여","30","""수원","화성""","합격","507"
"2020","여","40","""수원","화성""","결시","117"
"2020","여","40","""수원","화성""","불합격","176"
"2020","여","40","""수원","화성""","응시결격","2"
"2020","여","40","""수원","화성""","합격","3118"
"2020","여","50","""수원","화성""","결시","278"
"2020","여","50","""수원","화성""","불합격","700"
"2020","여","50","""수원","화성""","응시결격","3"
"2020","여","50","""수원","화성""","합격","7559"
"2020","여","60","""수원","화성""","결시","210"
"2020","여","60","""수원","화성""","불합격","1090"
"2020","여","60","""수원","화성""","응시결격","4"
"2020","여","60","""수원","화성""","합격","4936"
"2020","여","70","""수원","화성""","결시","22"
"2020","여","70","""수원","화성""","불합격","186"
"2020","여","70","""수원","화성""","합격","445"
"2020","여","80","""수원","화성""","결시","1"
"2020","여","80","""수원","화성""","불합격","3"
"2020","여","80","""수원","화성""","합격","8"
"2020","남","10","""의정부","양주""","불합격","1"
"2020","남","20","""의정부","양주""","결시","7"
"2020","남","20","""의정부","양주""","불합격","20"
"2020","남","20","""의정부","양주""","합격","40"
"2020","남","30","""의정부","양주""","결시","6"
"2020","남","30","""의정부","양주""","불합격","14"
"2020","남","30","""의정부","양주""","합격","55"
"2020","남","40","""의정부","양주""","결시","4"
"2020","남","40","""의정부","양주""","불합격","16"
"2020","남","40","""의정부","양주""","합격","137"
"2020","남","50","""의정부","양주""","결시","18"
"2020","남","50","""의정부","양주""","불합격","45"
"2020","남","50","""의정부","양주""","응시결격","1"
"2020","남","50","""의정부","양주""","합격","405"
"2020","남","60","""의정부","양주""","결시","28"
"2020","남","60","""의정부","양주""","불합격","103"
"2020","남","60","""의정부","양주""","응시결격","1"
"2020","남","60","""의정부","양주""","합격","716"
"2020","남","70","""의정부","양주""","결시","10"
"2020","남","70","""의정부","양주""","불합격","66"
"2020","남","70","""의정부","양주""","합격","149"
"2020","남","80","""의정부","양주""","결시","1"
"2020","남","80","""의정부","양주""","불합격","16"
"2020","남","80","""의정부","양주""","합격","25"
"2020","남","90","""의정부","양주""","결시","1"
"2020","남","90","""의정부","양주""","합격","1"
"2020","여","10","""의정부","양주""","불합격","1"
"2020","여","20","""의정부","양주""","결시","6"
"2020","여","20","""의정부","양주""","불합격","15"
"2020","여","20","""의정부","양주""","합격","108"
"2020","여","30","""의정부","양주""","결시","19"
"2020","여","30","""의정부","양주""","불합격","38"
"2020","여","30","""의정부","양주""","합격","271"
"2020","여","40","""의정부","양주""","결시","62"
"2020","여","40","""의정부","양주""","불합격","112"
"2020","여","40","""의정부","양주""","합격","1675"
"2020","여","50","""의정부","양주""","결시","140"
"2020","여","50","""의정부","양주""","불합격","392"
"2020","여","50","""의정부","양주""","응시결격","1"
"2020","여","50","""의정부","양주""","합격","4648"
"2020","여","60","""의정부","양주""","결시","152"
"2020","여","60","""의정부","양주""","불합격","768"
"2020","여","60","""의정부","양주""","합격","3110"
"2020","여","70","""의정부","양주""","결시","25"
"2020","여","70","""의정부","양주""","불합격","155"
"2020","여","70","""의정부","양주""","합격","272"
"2020","여","80","""의정부","양주""","결시","2"
"2020","여","80","""의정부","양주""","불합격","11"
"2020","여","80","""의정부","양주""","합격","6"
"2020","남","20","광주광역시","결시","광주광역시","4"
"2020","남","20","광주광역시","결시","전북특별자치도","1"
"2020","남","20","광주광역시","불합격","광주광역시","8"
"2020","남","20","광주광역시","합격","광주광역시","27"
"2020","남","20","광주광역시","합격","전라남도","4"
"2020","남","20","광주광역시","합격","전북특별자치도","2"
"2020","남","30","광주광역시","결시","광주광역시","8"
"2020","남","30","광주광역시","결시","전라남도","1"
"2020","남","30","광주광역시","불합격","광주광역시","6"
"2020","남","30","광주광역시","합격","광주광역시","53"
"2020","남","30","광주광역시","합격","수원","1"
"2020","남","30","광주광역시","합격","전라남도","6"
"2020","남","40","광주광역시","결시","광주광역시","11"
"2020","남","40","광주광역시","결시","전라남도","2"
"2020","남","40","광주광역시","불합격","광주광역시","18"
"2020","남","40","광주광역시","불합격","전라남도","1"
"2020","남","40","광주광역시","합격","광주광역시","105"
"2020","남","40","광주광역시","합격","전라남도","12"
"2020","남","40","광주광역시","합격","전북특별자치도","2"
"2020","남","50","광주광역시","결시","광주광역시","17"
"2020","남","50","광주광역시","결시","기타","1"
"2020","남","50","광주광역시","결시","전라남도","2"
"2020","남","50","광주광역시","결시","전북특별자치도","1"
"2020","남","50","광주광역시","불합격","광주광역시","46"
"2020","남","50","광주광역시","불합격","전라남도","4"
"2020","남","50","광주광역시","불합격","전북특별자치도","1"
"2020","남","50","광주광역시","응시결격","광주광역시","2"
"2020","남","50","광주광역시","합격","경상북도","1"
"2020","남","50","광주광역시","합격","광주광역시","279"
"2020","남","50","광주광역시","합격","의정부","1"
"2020","남","50","광주광역시","합격","전라남도","29"
"2020","남","50","광주광역시","합격","전북특별자치도","6"
"2020","남","60","광주광역시","결시","광주광역시","20"
"2020","남","60","광주광역시","결시","전라남도","2"
"2020","남","60","광주광역시","불합격","광주광역시","68"
"2020","남","60","광주광역시","불합격","서울특별시","2"
"2020","남","60","광주광역시","불합격","전라남도","14"
"2020","남","60","광주광역시","불합격","전북특별자치도","4"
"2020","남","60","광주광역시","응시결격","전라남도","2"
"2020","남","60","광주광역시","합격","광주광역시","391"
"2020","남","60","광주광역시","합격","전라남도","42"
"2020","남","60","광주광역시","합격","전북특별자치도","8"
"2020","남","70","광주광역시","결시","광주광역시","10"
"2020","남","70","광주광역시","결시","전라남도","4"
"2020","남","70","광주광역시","결시","전북특별자치도","1"
"2020","남","70","광주광역시","불합격","광주광역시","50"
"2020","남","70","광주광역시","불합격","서울특별시","1"
"2020","남","70","광주광역시","불합격","전라남도","7"
"2020","남","70","광주광역시","불합격","전북특별자치도","2"
"2020","남","70","광주광역시","합격","광주광역시","96"
"2020","남","70","광주광역시","합격","전라남도","12"
"2020","남","70","광주광역시","합격","전북특별자치도","1"
"2020","남","80","광주광역시","결시","광주광역시","3"
"2020","남","80","광주광역시","불합격","광주광역시","17"
"2020","남","80","광주광역시","불합격","전라남도","3"
"2020","남","80","광주광역시","합격","광주광역시","11"
"2020","남","80","광주광역시","합격","전라남도","4"
"2020","여","10","광주광역시","합격","광주광역시","1"
"2020","여","20","광주광역시","결시","광주광역시","13"
"2020","여","20","광주광역시","불합격","광주광역시","14"
"2020","여","20","광주광역시","합격","광주광역시","106"
"2020","여","20","광주광역시","합격","전라남도","7"
"2020","여","20","광주광역시","합격","전북특별자치도","2"
"2020","여","30","광주광역시","결시","광주광역시","27"
"2020","여","30","광주광역시","결시","전라남도","5"
"2020","여","30","광주광역시","결시","전북특별자치도","1"
"2020","여","30","광주광역시","불합격","광주광역시","51"
"2020","여","30","광주광역시","불합격","전라남도","23"
"2020","여","30","광주광역시","불합격","전북특별자치도","5"
"2020","여","30","광주광역시","합격","강원특별자치도","1"
"2020","여","30","광주광역시","합격","광주광역시","337"
"2020","여","30","광주광역시","합격","서울특별시","2"
"2020","여","30","광주광역시","합격","전라남도","43"
"2020","여","30","광주광역시","합격","전북특별자치도","1"
"2020","여","40","광주광역시","결시","경상남도","1"
"2020","여","40","광주광역시","결시","광주광역시","105"
"2020","여","40","광주광역시","결시","수원","1"
"2020","여","40","광주광역시","결시","전라남도","7"
"2020","여","40","광주광역시","결시","전북특별자치도","5"
"2020","여","40","광주광역시","불합격","광주광역시","139"
"2020","여","40","광주광역시","불합격","전라남도","21"
"2020","여","40","광주광역시","불합격","전북특별자치도","1"
"2020","여","40","광주광역시","합격","광주광역시","1603"
"2020","여","40","광주광역시","합격","대전광역시","1"
"2020","여","40","광주광역시","합격","전라남도","136"
"2020","여","40","광주광역시","합격","전북특별자치도","19"
"2020","여","50","광주광역시","결시","경상남도","1"
"2020","여","50","광주광역시","결시","광주광역시","178"
"2020","여","50","광주광역시","결시","기타","1"
"2020","여","50","광주광역시","결시","서울특별시","1"
"2020","여","50","광주광역시","결시","수원","1"
"2020","여","50","광주광역시","결시","전라남도","25"
"2020","여","50","광주광역시","결시","전북특별자치도","12"
"2020","여","50","광주광역시","불합격","경상남도","1"
"2020","여","50","광주광역시","불합격","광주광역시","373"
"2020","여","50","광주광역시","불합격","수원","1"
"2020","여","50","광주광역시","불합격","전라남도","55"
"2020","여","50","광주광역시","불합격","전북특별자치도","5"
"2020","여","50","광주광역시","합격","경상남도","4"
"2020","여","50","광주광역시","합격","광주광역시","2688"
"2020","여","50","광주광역시","합격","기타","1"
"2020","여","50","광주광역시","합격","부산광역시","1"
"2020","여","50","광주광역시","합격","서울특별시","2"
"2020","여","50","광주광역시","합격","전라남도","224"
"2020","여","50","광주광역시","합격","전북특별자치도","33"
"2020","여","50","광주광역시","합격","충청남도","2"
"2020","여","60","광주광역시","결시","경상남도","2"
"2020","여","60","광주광역시","결시","광주광역시","120"
"2020","여","60","광주광역시","결시","전라남도","17"
"2020","여","60","광주광역시","결시","전북특별자치도","6"
"2020","여","60","광주광역시","불합격","경상남도","2"
"2020","여","60","광주광역시","불합격","광주광역시","448"
"2020","여","60","광주광역시","불합격","서울특별시","1"
"2020","여","60","광주광역시","불합격","전라남도","74"
"2020","여","60","광주광역시","불합격","전북특별자치도","19"
"2020","여","60","광주광역시","합격","광주광역시","1219"
"2020","여","60","광주광역시","합격","인천광역시","1"
"2020","여","60","광주광역시","합격","전라남도","136"
"2020","여","60","광주광역시","합격","전북특별자치도","30"
"2020","여","70","광주광역시","결시","광주광역시","19"
"2020","여","70","광주광역시","결시","전라남도","1"
"2020","여","70","광주광역시","불합격","광주광역시","109"
"2020","여","70","광주광역시","불합격","전라남도","7"
"2020","여","70","광주광역시","불합격","전북특별자치도","3"
"2020","여","70","광주광역시","합격","광주광역시","109"
"2020","여","70","광주광역시","합격","전라남도","10"
"2020","여","70","광주광역시","합격","전북특별자치도","1"
"2020","여","80","광주광역시","불합격","광주광역시","2"
"2020","여","80","광주광역시","합격","광주광역시","2"
"2020","남","20","대구광역시","결시","경상북도","2"
"2020","남","20","대구광역시","결시","대구광역시","2"
"2020","남","20","대구광역시","불합격","경상북도","6"
"2020","남","20","대구광역시","불합격","대구광역시","12"
"2020","남","20","대구광역시","합격","경상남도","3"
"2020","남","20","대구광역시","합격","경상북도","13"
"2020","남","20","대구광역시","합격","대구광역시","43"
"2020","남","30","대구광역시","결시","경상남도","1"
"2020","남","30","대구광역시","결시","경상북도","1"
"2020","남","30","대구광역시","결시","기타","3"
"2020","남","30","대구광역시","결시","대구광역시","3"
"2020","남","30","대구광역시","불합격","경상북도","6"
"2020","남","30","대구광역시","불합격","대구광역시","10"
"2020","남","30","대구광역시","응시결격","대구광역시","1"
"2020","남","30","대구광역시","합격","경상남도","1"
"2020","남","30","대구광역시","합격","경상북도","19"
"2020","남","30","대구광역시","합격","대구광역시","32"
"2020","남","40","대구광역시","결시","경상북도","5"
"2020","남","40","대구광역시","결시","대구광역시","7"
"2020","남","40","대구광역시","불합격","경상북도","9"
"2020","남","40","대구광역시","불합격","대구광역시","5"
"2020","남","40","대구광역시","합격","경상남도","4"
"2020","남","40","대구광역시","합격","경상북도","65"
"2020","남","40","대구광역시","합격","대구광역시","73"
"2020","남","40","대구광역시","합격","충청남도","1"
"2020","남","50","대구광역시","결시","경상북도","9"
"2020","남","50","대구광역시","결시","대구광역시","14"
"2020","남","50","대구광역시","결시","수원","1"
"2020","남","50","대구광역시","불합격","경상북도","13"
"2020","남","50","대구광역시","불합격","대구광역시","21"
"2020","남","50","대구광역시","합격","경상남도","7"
"2020","남","50","대구광역시","합격","경상북도","127"
"2020","남","50","대구광역시","합격","대구광역시","180"
"2020","남","50","대구광역시","합격","수원","1"
"2020","남","50","대구광역시","합격","충청남도","1"
"2020","남","60","대구광역시","결시","경상남도","1"
"2020","남","60","대구광역시","결시","경상북도","6"
"2020","남","60","대구광역시","결시","대구광역시","8"
"2020","남","60","대구광역시","불합격","경상북도","8"
"2020","남","60","대구광역시","불합격","대구광역시","27"
"2020","남","60","대구광역시","응시결격","대구광역시","2"
"2020","남","60","대구광역시","합격","경상남도","12"
"2020","남","60","대구광역시","합격","경상북도","170"
"2020","남","60","대구광역시","합격","대구광역시","278"
"2020","남","60","대구광역시","합격","수원","2"
"2020","남","70","대구광역시","결시","경상북도","1"
"2020","남","70","대구광역시","결시","대구광역시","1"
"2020","남","70","대구광역시","불합격","경상남도","2"
