"시도","시군구","수행기관수","특화서비스기관수","응급안전안심기관수","방문요양기관수","재가노인복지기관수","사회서비스원소속기관수","노인일자리파견이용기관수"
"강원특별자치도","강릉시","3","3","1","0","0","0","0"
"강원특별자치도","고성군","1","0","0","0","0","0","0"
"강원특별자치도","동해시","1","1","1","1","1","0","0"
"강원특별자치도","삼척시","2","2","1","0","0","0","0"
"강원특별자치도","속초시","2","1","1","1","1","0","2"
"강원특별자치도","양구군","2","0","2","2","2","0","0"
"강원특별자치도","양양군","1","0","1","1","1","0","0"
"강원특별자치도","영월군","2","1","1","0","0","0","0"
"강원특별자치도","원주시","5","3","0","1","2","0","0"
"강원특별자치도","인제군","1","1","1","0","0","0","0"
"강원특별자치도","정선군","2","0","0","0","1","0","1"
"강원특별자치도","철원군","2","0","1","1","1","0","1"
"강원특별자치도","춘천시","4","3","1","1","2","0","0"
"강원특별자치도","태백시","2","2","1","1","1","1","2"
"강원특별자치도","평창군","1","0","1","0","1","0","0"
"강원특별자치도","홍천군","2","0","1","0","0","1","0"
"강원특별자치도","화천군","1","0","1","0","0","0","1"
"강원특별자치도","횡성군","2","1","0","0","1","0","1"
"경기도","가평군","1","0","1","0","0","0","0"
"경기도","고양시","10","3","2","0","1","0","0"
"경기도","과천시","1","1","1","0","1","0","1"
"경기도","광명시","2","0","1","0","0","0","0"
"경기도","광주시","3","0","0","0","0","0","0"
"경기도","구리시","2","1","1","0","0","0","0"
"경기도","군포시","2","2","1","0","1","0","2"
"경기도","김포시","2","0","2","0","0","0","0"
"경기도","남양주시","4","1","1","1","0","0","1"
"경기도","동두천시","1","1","1","0","0","0","0"
"경기도","부천시","6","2","1","0","0","0","1"
"경기도","성남시","8","3","1","0","0","0","1"
"경기도","수원시","10","5","1","2","5","0","1"
"경기도","시흥시","4","2","1","0","1","0","0"
"경기도","안산시","7","2","1","1","4","0","1"
"경기도","안성시","2","1","1","0","0","0","0"
"경기도","안양시","4","2","1","0","1","0","0"
"경기도","양주시","3","1","1","0","0","0","1"
"경기도","양평군","2","0","1","0","0","0","0"
"경기도","여주시","4","1","2","0","2","0","1"
"경기도","연천군","1","0","1","0","1","0","0"
"경기도","오산시","2","0","2","0","0","0","0"
"경기도","용인시","9","3","1","3","2","0","0"
"경기도","의왕시","2","2","1","0","0","0","0"
"경기도","의정부시","4","1","1","0","1","0","0"
"경기도","이천시","2","1","1","0","0","0","0"
"경기도","파주시","4","1","1","1","1","0","1"
"경기도","평택시","3","1","1","2","1","0","0"
"경기도","포천시","3","1","1","0","1","0","0"
"경기도","하남시","1","1","1","0","1","0","0"
"경기도","화성시","6","2","4","0","2","0","1"
"경상남도","거제시","2","1","0","2","1","0","0"
"경상남도","거창군","3","0","1","2","2","0","0"
"경상남도","고성군","2","0","1","0","0","0","0"
"경상남도","김해시","5","5","3","2","3","0","0"
"경상남도","남해군","2","0","1","1","2","0","1"
"경상남도","밀양시","3","1","1","0","2","0","0"
"경상남도","사천시","2","0","0","1","2","0","0"
"경상남도","산청군","4","0","1","0","4","0","0"
"경상남도","양산시","3","1","0","0","1","0","0"
"경상남도","의령군","1","0","1","0","1","0","1"
"경상남도","진주시","5","0","1","0","4","0","0"
"경상남도","창녕군","2","0","1","0","1","0","0"
"경상남도","창원시","10","6","0","5","4","1","0"
"경상남도","통영시","2","1","1","1","1","0","1"
"경상남도","하동군","2","0","1","0","1","0","0"
"경상남도","함안군","2","0","2","0","1","0","0"
"경상남도","함양군","1","0","0","0","0","0","0"
"경상남도","합천군","4","0","2","1","2","0","0"
"경상북도","경산시","4","1","1","0","2","0","2"
"경상북도","경주시","5","1","2","0","3","0","1"
"경상북도","고령군","2","0","1","1","1","0","0"
"경상북도","구미시","5","1","1","0","5","0","0"
"경상북도","김천시","3","1","1","0","1","0","0"
"경상북도","문경시","2","1","1","0","0","0","0"
"경상북도","봉화군","2","0","0","0","0","0","0"
"경상북도","상주시","3","1","0","0","2","0","0"
"경상북도","성주군","2","0","2","0","1","0","0"
"경상북도","안동시","3","1","0","1","1","0","0"
"경상북도","영덕군","2","0","1","0","0","0","0"
"경상북도","영양군","1","0","0","0","0","0","0"
"경상북도","영주시","3","1","1","1","1","0","0"
"경상북도","영천시","3","1","1","1","0","0","0"
"경상북도","예천군","1","0","1","0","1","0","0"
"경상북도","울릉군","1","0","1","0","0","0","0"
"경상북도","울진군","1","0","1","0","0","0","0"
"경상북도","의성군","2","0","2","0","0","0","0"
"경상북도","청도군","2","0","1","0","1","0","0"
"경상북도","청송군","1","0","1","0","1","0","0"
"경상북도","칠곡군","2","0","1","0","1","0","0"
"경상북도","포항시","7","2","0","0","5","0","1"
"광주광역시","광산구","4","1","0","0","0","0","0"
"광주광역시","남구","3","1","1","2","0","0","2"
"광주광역시","동구","2","1","1","1","1","0","2"
"광주광역시","북구","6","2","1","0","0","0","3"
"광주광역시","서구","4","1","1","0","0","0","1"
"대구광역시","군위군","1","0","1","0","1","0","0"
"대구광역시","남구","3","1","1","1","2","0","2"
"대구광역시","달서구","7","1","1","2","6","0","3"
"대구광역시","달성군","4","1","1","0","4","0","0"
"대구광역시","동구","6","1","1","4","6","0","5"
"대구광역시","북구","5","2","1","2","4","0","0"
"대구광역시","서구","4","1","0","1","4","0","3"
"대구광역시","수성구","7","2","1","1","6","0","1"
"대구광역시","중구","3","1","1","2","2","0","2"
"대전광역시","대덕구","5","1","1","1","1","0","1"
"대전광역시","동구","4","1","1","2","2","0","2"
"대전광역시","서구","7","2","1","1","1","1","0"
"대전광역시","유성구","3","1","1","0","2","0","1"
"대전광역시","중구","4","1","1","1","2","1","0"
"부산광역시","강서구","2","2","1","0","1","0","0"
"부산광역시","금정구","3","2","1","1","1","0","1"
"부산광역시","기장군","2","0","1","0","0","0","0"
"부산광역시","남구","4","1","1","0","2","0","0"
"부산광역시","동구","2","2","1","1","1","0","1"
"부산광역시","동래구","3","1","1","0","2","0","1"
"부산광역시","부산진구","2","2","1","0","0","0","0"
"부산광역시","북구","4","1","1","0","2","0","1"
"부산광역시","사상구","3","1","1","0","1","0","1"
"부산광역시","사하구","5","1","1","1","3","0","0"
"부산광역시","서구","2","1","1","0","0","0","1"
"부산광역시","수영구","3","1","1","0","2","0","0"
"부산광역시","연제구","3","1","0","0","0","0","0"
"부산광역시","영도구","2","2","1","1","1","0","0"
"부산광역시","중구","1","1","1","1","0","0","1"
"부산광역시","해운대구","4","1","2","1","0","0","2"
"서울특별시","강남구","1","1","0","0","0","0","0"
"서울특별시","강동구","3","0","0","0","0","0","0"
"서울특별시","강북구","4","1","0","0","0","0","0"
"서울특별시","강서구","3","0","0","0","1","0","0"
"서울특별시","관악구","4","2","0","0","0","0","0"
"서울특별시","광진구","2","0","0","1","1","0","0"
"서울특별시","구로구","3","1","0","0","1","0","0"
"서울특별시","금천구","3","2","0","0","0","0","0"
"서울특별시","노원구","3","0","0","0","1","0","0"
"서울특별시","도봉구","3","1","0","0","2","0","0"
"서울특별시","동대문구","2","1","0","0","1","0","1"
"서울특별시","동작구","2","2","0","0","1","0","0"
"서울특별시","마포구","2","1","0","1","2","0","1"
"서울특별시","서대문구","2","1","0","0","1","0","0"
"서울특별시","서초구","2","1","0","0","2","0","0"
"서울특별시","성동구","2","0","0","0","0","0","1"
"서울특별시","성북구","4","1","0","0","1","0","3"
"서울특별시","송파구","3","1","0","1","1","0","2"
"서울특별시","양천구","3","0","0","0","2","0","1"
"서울특별시","영등포구","4","0","0","0","1","0","0"
"서울특별시","용산구","5","0","0","0","1","0","0"
"서울특별시","은평구","2","1","0","0","1","0","0"
"서울특별시","종로구","1","0","0","0","0","0","0"
"서울특별시","중구","3","1","0","0","1","0","2"
