행정기관코드,기준연월,시도명,시군구명,읍면동명,총인구,65세이상인구,75세이상인구,85세이상인구,65세이상남자,65세이상여자,고령화율
1111051500,2026-06-30,서울특별시,종로구,청운효자동,10682,2299,1099,320,948,1351,21.522186856393937
1111053000,2026-06-30,서울특별시,종로구,사직동,8874,2008,948,331,859,1149,22.627901735406805
1111054000,2026-06-30,서울특별시,종로구,삼청동,2048,606,285,85,259,347,29.58984375
1111055000,2026-06-30,서울특별시,종로구,부암동,8868,2055,906,277,886,1169,23.17320703653586
1111056000,2026-06-30,서울특별시,종로구,평창동,16938,4139,1770,632,1814,2325,24.436179005785807
1111057000,2026-06-30,서울특별시,종로구,무악동,7694,1648,725,219,702,946,21.419287756693528
1111058000,2026-06-30,서울특별시,종로구,교남동,9473,1846,796,217,752,1094,19.486962947323974
1111060000,2026-06-30,서울특별시,종로구,가회동,3532,905,427,119,382,523,25.622876557191393
1111061500,2026-06-30,서울특별시,종로구,종로1.2.3.4가동,6625,1882,746,176,1166,716,28.40754716981132
1111063000,2026-06-30,서울특별시,종로구,종로5.6가동,5388,1147,507,130,583,564,21.288047512991835
1111064000,2026-06-30,서울특별시,종로구,이화동,7061,1508,679,203,642,866,21.356748335929755
1111065000,2026-06-30,서울특별시,종로구,혜화동,15719,2867,1430,429,1194,1673,18.239073732425727
1111067000,2026-06-30,서울특별시,종로구,창신제1동,4372,1378,502,139,682,696,31.51875571820677
1111068000,2026-06-30,서울특별시,종로구,창신제2동,7078,2084,812,213,948,1136,29.44334557784685
1111069000,2026-06-30,서울특별시,종로구,창신제3동,6048,1515,588,159,684,831,25.049603174603174
1111070000,2026-06-30,서울특별시,종로구,숭인제1동,5678,1435,594,155,626,809,25.272983444874956
1111071000,2026-06-30,서울특별시,종로구,숭인제2동,10240,1941,747,180,958,983,18.955078125
1114052000,2026-06-30,서울특별시,중구,소공동,2207,287,110,31,139,148,13.00407793384685
1114054000,2026-06-30,서울특별시,중구,회현동,4042,1330,549,156,679,651,32.90450272142504
1114055000,2026-06-30,서울특별시,중구,명동,2494,749,329,96,257,492,30.032076984763435
1114057000,2026-06-30,서울특별시,중구,필동,4311,974,418,143,446,528,22.593365808397124
1114058000,2026-06-30,서울특별시,중구,장충동,4589,972,462,130,443,529,21.181085203748093
1114059000,2026-06-30,서울특별시,중구,광희동,5722,1275,530,124,594,681,22.282418734708145
1114060500,2026-06-30,서울특별시,중구,을지로동,3050,523,194,55,317,206,17.147540983606557
1114061500,2026-06-30,서울특별시,중구,신당동,7276,1737,724,181,809,928,23.873007146783948
1114062500,2026-06-30,서울특별시,중구,다산동,12837,3248,1372,357,1422,1826,25.301861805717845
1114063500,2026-06-30,서울특별시,중구,약수동,15633,4475,2040,615,1858,2617,28.62534382396213
1114064500,2026-06-30,서울특별시,중구,청구동,10631,2769,1201,351,1157,1612,26.046467876963597
1114065000,2026-06-30,서울특별시,중구,신당제5동,9945,2175,914,230,953,1222,21.87028657616893
1114066500,2026-06-30,서울특별시,중구,동화동,9737,2410,995,296,1092,1318,24.750949984594843
1114067000,2026-06-30,서울특별시,중구,황학동,13198,2426,960,214,1079,1347,18.38157296560085
1114068000,2026-06-30,서울특별시,중구,중림동,11886,2351,1034,280,1095,1256,19.77957260642773
1117051000,2026-06-30,서울특별시,용산구,후암동,15573,3357,1402,387,1408,1949,21.556540165671354
1117052000,2026-06-30,서울특별시,용산구,용산2가동,8405,2165,987,270,903,1262,25.758477096966093
1117053000,2026-06-30,서울특별시,용산구,남영동,7029,1701,586,162,1065,636,24.199743918053777
1117055500,2026-06-30,서울특별시,용산구,청파동,18775,3659,1543,406,1564,2095,19.488681757656458
1117056000,2026-06-30,서울특별시,용산구,원효로제1동,17021,2276,877,215,1013,1263,13.371717290405968
1117057000,2026-06-30,서울특별시,용산구,원효로제2동,13321,2626,1115,334,1146,1480,19.713234742136475
1117058000,2026-06-30,서울특별시,용산구,효창동,10377,1802,801,229,765,1037,17.365327165847546
1117059000,2026-06-30,서울특별시,용산구,용문동,11024,2481,1092,278,1037,1444,22.50544267053701
1117062500,2026-06-30,서울특별시,용산구,한강로동,20860,3579,1395,411,1701,1878,17.15723873441994
1117063000,2026-06-30,서울특별시,용산구,이촌제1동,24926,4822,2240,847,2114,2708,19.345261975447325
1117064000,2026-06-30,서울특별시,용산구,이촌제2동,7695,1935,806,228,823,1112,25.146198830409354
1117065000,2026-06-30,서울특별시,용산구,이태원제1동,5398,1362,582,189,593,769,25.231567247128567
1117066000,2026-06-30,서울특별시,용산구,이태원제2동,8336,1871,867,258,772,1099,22.44481765834933
1117068500,2026-06-30,서울특별시,용산구,한남동,13698,2758,1165,337,1213,1545,20.134326179004233
1117069000,2026-06-30,서울특별시,용산구,서빙고동,12167,2459,1033,407,1085,1374,20.210405194378236
1117070000,2026-06-30,서울특별시,용산구,보광동,5043,1267,519,133,525,742,25.12393416617093
1120052000,2026-06-30,서울특별시,성동구,왕십리제2동,15630,3001,1233,283,1315,1686,19.20025591810621
1120053500,2026-06-30,서울특별시,성동구,왕십리도선동,25497,4609,1925,533,2045,2564,18.076636467035335
1120054000,2026-06-30,서울특별시,성동구,마장동,21369,4577,1948,493,2061,2516,21.418877813655296
1120055000,2026-06-30,서울특별시,성동구,사근동,12151,1672,833,201,721,951,13.760184346967327
1120056000,2026-06-30,서울특별시,성동구,행당제1동,15695,2748,1169,307,1213,1535,17.508760751831794
1120057000,2026-06-30,서울특별시,성동구,행당제2동,22265,4552,1983,511,1945,2607,20.444644060184146
1120058000,2026-06-30,서울특별시,성동구,응봉동,14363,2716,1236,327,1151,1565,18.909698530947576
1120059000,2026-06-30,서울특별시,성동구,금호1가동,14227,3118,1228,354,1306,1812,21.916075068531665
1120061500,2026-06-30,서울특별시,성동구,금호2.3가동,20564,4299,1798,458,1803,2496,20.90546586267263
1120062000,2026-06-30,서울특별시,성동구,금호4가동,13743,2918,1211,314,1197,1721,21.232627519464454
1120064500,2026-06-30,서울특별시,성동구,옥수동,25166,4919,1977,539,2099,2820,19.546213144719065
1120065000,2026-06-30,서울특별시,성동구,성수1가제1동,14776,2817,947,232,1345,1472,19.064699512723333
1120066000,2026-06-30,서울특별시,성동구,성수1가제2동,14275,2591,973,227,1185,1406,18.15061295971979
1120067000,2026-06-30,서울특별시,성동구,성수2가제1동,13300,3294,1127,259,1593,1701,24.76691729323308
1120069000,2026-06-30,서울특별시,성동구,성수2가제3동,9330,2047,879,231,956,1091,21.939978563772776
1120072000,2026-06-30,서울특별시,성동구,송정동,9005,2055,745,161,993,1062,22.820655191560242
