기준일,시도명,시군구명,총인구,65세이상인구,75세이상인구,85세이상인구,고령화율
2022-12-31,서울특별시,종로구,141379,27704,12618,3053,19.595555
2022-12-31,서울특별시,중구,120437,24660,10768,2624,20.475435
2022-12-31,서울특별시,용산구,218650,38478,17038,4435,17.597988
2022-12-31,서울특별시,성동구,281000,47530,19874,4336,16.914591
2022-12-31,서울특별시,광진구,337416,53737,21382,4557,15.926038
2022-12-31,서울특별시,동대문구,336644,64255,27211,5742,19.086929
2022-12-31,서울특별시,중랑구,385318,74790,29296,5932,19.409942
2022-12-31,서울특별시,성북구,430397,77293,33348,7288,17.958536
2022-12-31,서울특별시,강북구,293660,66170,28490,5627,22.532861
2022-12-31,서울특별시,도봉구,311694,66942,27697,6055,21.476833
2022-12-31,서울특별시,노원구,503734,91946,37971,8935,18.252887
2022-12-31,서울특별시,은평구,466746,89422,37752,7969,19.1586
2022-12-31,서울특별시,서대문구,306337,55502,25021,5754,18.117955
2022-12-31,서울특별시,마포구,364638,55533,24625,5782,15.229625
2022-12-31,서울특별시,양천구,440881,72235,26386,5819,16.38424
2022-12-31,서울특별시,강서구,569166,96880,36485,8183,17.021396
2022-12-31,서울특별시,구로구,395315,74491,29000,5709,18.843454
2022-12-31,서울특별시,금천구,229642,42226,16493,3224,18.387751
2022-12-31,서울특별시,영등포구,375675,63349,26304,5927,16.862714
2022-12-31,서울특별시,동작구,380596,67872,28405,6128,17.833083
2022-12-31,서울특별시,관악구,486752,81848,33656,6266,16.815134
2022-12-31,서울특별시,서초구,404325,62228,24411,5386,15.390589
2022-12-31,서울특별시,강남구,529102,81564,31386,6718,15.415553
2022-12-31,서울특별시,송파구,658801,103361,36652,8058,15.68926
2022-12-31,서울특별시,강동구,460067,78191,27601,5787,16.995568
2022-12-31,부산광역시,중구,39689,11468,4771,1016,28.894656
2022-12-31,부산광역시,서구,105192,28432,12220,2708,27.028671
2022-12-31,부산광역시,동구,86462,24354,10522,2296,28.167287
2022-12-31,부산광역시,영도구,108156,32778,13838,2747,30.306224
2022-12-31,부산광역시,부산진구,355917,75685,29995,6247,21.264789
2022-12-31,부산광역시,동래구,273226,54881,20667,4266,20.086302
2022-12-31,부산광역시,남구,256333,56961,22911,4596,22.221485
2022-12-31,부산광역시,북구,278857,55768,20122,4214,19.998781
2022-12-31,부산광역시,해운대구,386785,76256,29833,6758,19.715346
2022-12-31,부산광역시,사하구,301987,65745,24053,4878,21.770805
2022-12-31,부산광역시,금정구,221256,52128,20660,4465,23.560039
2022-12-31,부산광역시,강서구,143207,18996,6336,1444,13.264715
