기준일,시도명,시군구명,65세이상1인세대,65세이상남자1인세대,65세이상여자1인세대
2022-12-31,서울특별시,종로구,8550,3434,5116
2022-12-31,서울특별시,중구,7709,3147,4562
2022-12-31,서울특별시,용산구,10453,3636,6817
2022-12-31,서울특별시,성동구,11642,3850,7792
2022-12-31,서울특별시,광진구,13161,4438,8723
2022-12-31,서울특별시,동대문구,17877,6514,11363
2022-12-31,서울특별시,중랑구,20935,7497,13438
2022-12-31,서울특별시,성북구,19007,5793,13214
2022-12-31,서울특별시,강북구,19140,6418,12722
2022-12-31,서울특별시,도봉구,16219,5347,10872
2022-12-31,서울특별시,노원구,24994,7225,17769
2022-12-31,서울특별시,은평구,22310,6957,15353
2022-12-31,서울특별시,서대문구,14021,4322,9699
2022-12-31,서울특별시,마포구,13657,3885,9772
2022-12-31,서울특별시,양천구,16744,5339,11405
2022-12-31,서울특별시,강서구,24691,8238,16453
2022-12-31,서울특별시,구로구,17463,5975,11488
2022-12-31,서울특별시,금천구,11609,4246,7363
2022-12-31,서울특별시,영등포구,15845,5779,10066
2022-12-31,서울특별시,동작구,15657,4673,10984
2022-12-31,서울특별시,관악구,21438,7423,14015
2022-12-31,서울특별시,서초구,10708,3377,7331
2022-12-31,서울특별시,강남구,15974,4937,11037
2022-12-31,서울특별시,송파구,19684,6488,13196
2022-12-31,서울특별시,강동구,17556,6003,11553
2022-12-31,부산광역시,중구,4524,1648,2876
2022-12-31,부산광역시,서구,9678,3175,6503
2022-12-31,부산광역시,동구,8797,2861,5936
2022-12-31,부산광역시,영도구,10653,3436,7217
2022-12-31,부산광역시,부산진구,22029,6874,15155
2022-12-31,부산광역시,동래구,14014,4183,9831
2022-12-31,부산광역시,남구,14457,4104,10353
2022-12-31,부산광역시,북구,16022,5115,10907
2022-12-31,부산광역시,해운대구,20238,5701,14537
2022-12-31,부산광역시,사하구,19081,6294,12787
2022-12-31,부산광역시,금정구,14593,4536,10057
2022-12-31,부산광역시,강서구,5214,2110,3104
2022-12-31,부산광역시,연제구,11690,3606,8084
2022-12-31,부산광역시,수영구,10737,3104,7633
2022-12-31,부산광역시,사상구,12894,4345,8549
2022-12-31,부산광역시,기장군,9383,3098,6285
2022-12-31,대구광역시,중구,5207,1636,3571
2022-12-31,대구광역시,동구,21969,6583,15386
2022-12-31,대구광역시,서구,13563,4089,9474
2022-12-31,대구광역시,남구,12219,3665,8554
2022-12-31,대구광역시,북구,19620,5522,14098
2022-12-31,대구광역시,수성구,18207,4805,13402
2022-12-31,대구광역시,달서구,24714,7089,17625
2022-12-31,대구광역시,달성군,10397,3404,6993
2022-12-31,인천광역시,중구,7458,2976,4482
2022-12-31,인천광역시,동구,4501,1452,3049
2022-12-31,인천광역시,미추홀구,21737,7509,14228
2022-12-31,인천광역시,연수구,9818,3081,6737
2022-12-31,인천광역시,남동구,22210,7275,14935
2022-12-31,인천광역시,부평구,21800,7020,14780
2022-12-31,인천광역시,계양구,11938,3916,8022
2022-12-31,인천광역시,서구,17627,6172,11455
2022-12-31,인천광역시,강화군,7168,2723,4445
2022-12-31,인천광역시,옹진군,2227,948,1279
2022-12-31,광주광역시,동구,7428,2496,4932
2022-12-31,광주광역시,서구,13032,3914,9118
2022-12-31,광주광역시,남구,11475,3377,8098
2022-12-31,광주광역시,북구,21591,6778,14813
2022-12-31,광주광역시,광산구,12476,3854,8622
2022-12-31,대전광역시,동구,14627,5096,9531
2022-12-31,대전광역시,중구,14387,4911,9476
2022-12-31,대전광역시,서구,16981,5162,11819
2022-12-31,대전광역시,유성구,8938,2936,6002
2022-12-31,대전광역시,대덕구,9054,3005,6049
2022-12-31,울산광역시,중구,10800,3582,7218
2022-12-31,울산광역시,남구,11587,3895,7692
2022-12-31,울산광역시,동구,5388,1769,3619
2022-12-31,울산광역시,북구,5139,1704,3435
2022-12-31,울산광역시,울주군,11647,4429,7218
2022-12-31,세종특별자치시,,9407,3243,6164
2022-12-31,경기도,수원시 장안구,10898,3593,7305
2022-12-31,경기도,수원시 권선구,11310,3750,7560
2022-12-31,경기도,수원시 팔달구,9023,3180,5843
2022-12-31,경기도,수원시 영통구,6640,1884,4756
2022-12-31,경기도,성남시 수정구,12518,4524,7994
2022-12-31,경기도,성남시 중원구,10278,3758,6520
2022-12-31,경기도,성남시 분당구,12864,3448,9416
2022-12-31,경기도,의정부시,21586,7060,14526
2022-12-31,경기도,안양시 만안구,10226,3568,6658
2022-12-31,경기도,안양시 동안구,8614,2268,6346
2022-12-31,경기도,부천시,31856,10627,21229
2022-12-31,경기도,광명시,10622,3125,7497
2022-12-31,경기도,평택시,21102,7517,13585
2022-12-31,경기도,동두천시,7037,2429,4608
2022-12-31,경기도,안산시 상록구,12782,4284,8498
2022-12-31,경기도,안산시 단원구,10490,3868,6622
2022-12-31,경기도,고양시 덕양구,20994,7064,13930
2022-12-31,경기도,고양시 일산동구,9617,3025,6592
2022-12-31,경기도,고양시 일산서구,9350,2566,6784
2022-12-31,경기도,과천시,1916,536,1380
2022-12-31,경기도,구리시,7234,2484,4750
2022-12-31,경기도,남양주시,27537,9579,17958
2022-12-31,경기도,오산시,6618,2396,4222
2022-12-31,경기도,시흥시,14804,5624,9180
2022-12-31,경기도,군포시,10249,3144,7105
2022-12-31,경기도,의왕시,4993,1495,3498
2022-12-31,경기도,하남시,9916,3695,6221
2022-12-31,경기도,용인시 처인구,10291,3860,6431
2022-12-31,경기도,용인시 기흥구,11793,3354,8439
2022-12-31,경기도,용인시 수지구,8134,2057,6077
2022-12-31,경기도,파주시,19567,6908,12659
2022-12-31,경기도,이천시,9182,3427,5755
2022-12-31,경기도,안성시,10564,3801,6763
2022-12-31,경기도,김포시,15362,5550,9812
2022-12-31,경기도,화성시,21493,8379,13114
2022-12-31,경기도,광주시,13414,5404,8010
2022-12-31,경기도,양주시,11894,4638,7256
2022-12-31,경기도,포천시,10719,4622,6097
2022-12-31,경기도,여주시,7901,3146,4755
2022-12-31,경기도,연천군,4230,1625,2605
2022-12-31,경기도,가평군,6010,2469,3541
2022-12-31,경기도,양평군,10290,4162,6128
2022-12-31,강원도,춘천시,15744,4950,10794
2022-12-31,강원도,원주시,17945,6086,11859
2022-12-31,강원도,강릉시,15713,4890,10823
2022-12-31,강원도,동해시,6569,2074,4495
2022-12-31,강원도,태백시,4087,1322,2765
2022-12-31,강원도,속초시,6116,2050,4066
