법정동_시군구코드,기준연월,시도명,시군구명,65세이상1인세대,65세이상남자1인세대,65세이상여자1인세대
11110,2026-06-30,서울특별시,종로구,9786,4000,5786
11140,2026-06-30,서울특별시,중구,8852,3675,5177
11170,2026-06-30,서울특별시,용산구,10652,3901,6751
11200,2026-06-30,서울특별시,성동구,13523,4763,8760
11215,2026-06-30,서울특별시,광진구,16228,5800,10428
11230,2026-06-30,서울특별시,동대문구,20808,7818,12990
11260,2026-06-30,서울특별시,중랑구,26742,10216,16526
11290,2026-06-30,서울특별시,성북구,22573,7209,15364
11305,2026-06-30,서울특별시,강북구,23901,8389,15512
11320,2026-06-30,서울특별시,도봉구,20803,7174,13629
11350,2026-06-30,서울특별시,노원구,29970,9003,20967
11380,2026-06-30,서울특별시,은평구,27403,8954,18449
11410,2026-06-30,서울특별시,서대문구,16249,5178,11071
11440,2026-06-30,서울특별시,마포구,15832,4710,11122
11470,2026-06-30,서울특별시,양천구,20914,6976,13938
11500,2026-06-30,서울특별시,강서구,31448,10870,20578
11530,2026-06-30,서울특별시,구로구,21962,7812,14150
11545,2026-06-30,서울특별시,금천구,15195,5954,9241
11560,2026-06-30,서울특별시,영등포구,18755,7148,11607
11590,2026-06-30,서울특별시,동작구,18193,5596,12597
11620,2026-06-30,서울특별시,관악구,26602,9650,16952
11650,2026-06-30,서울특별시,서초구,12915,4033,8882
11680,2026-06-30,서울특별시,강남구,19616,6120,13496
11710,2026-06-30,서울특별시,송파구,24417,8164,16253
11740,2026-06-30,서울특별시,강동구,23359,8316,15043
26110,2026-06-30,부산광역시,중구,5538,2133,3405
26140,2026-06-30,부산광역시,서구,11387,3853,7534
26170,2026-06-30,부산광역시,동구,10159,3522,6637
26200,2026-06-30,부산광역시,영도구,12550,4275,8275
26230,2026-06-30,부산광역시,부산진구,27302,8813,18489
26260,2026-06-30,부산광역시,동래구,17869,5486,12383
26290,2026-06-30,부산광역시,남구,17452,5090,12362
26320,2026-06-30,부산광역시,북구,20793,6899,13894
26350,2026-06-30,부산광역시,해운대구,24946,7397,17549
26380,2026-06-30,부산광역시,사하구,24254,8254,16000
