"시도","시군구","신청자_공개값합계","인정자_공개값합계","비공개셀수","자료기준"
"서울","종로구","3343","2383","97","2026-05-31"
"서울","중구","2701","1695","103","2026-05-31"
"서울","용산구","3732","2624","105","2026-05-31"
"서울","성동구","5422","3755","94","2026-05-31"
"서울","광진구","6508","4966","85","2026-05-31"
"서울","동대문구","8701","6464","59","2026-05-31"
"서울","중랑구","10403","8110","68","2026-05-31"
"서울","성북구","10407","8363","68","2026-05-31"
"서울","강북구","8880","6658","74","2026-05-31"
"서울","도봉구","9140","7135","65","2026-05-31"
"서울","노원구","12701","9765","50","2026-05-31"
"서울","은평구","12285","9895","61","2026-05-31"
"서울","서대문구","7033","5149","90","2026-05-31"
"서울","마포구","6542","4720","97","2026-05-31"
"서울","양천구","9586","7513","66","2026-05-31"
"서울","강서구","14636","11322","55","2026-05-31"
"서울","구로구","10603","8222","60","2026-05-31"
"서울","금천구","6048","4429","73","2026-05-31"
"서울","영등포구","8403","6326","72","2026-05-31"
"서울","동작구","7673","5566","92","2026-05-31"
"서울","관악구","10218","7708","71","2026-05-31"
"서울","서초구","6187","4454","99","2026-05-31"
"서울","강남구","8727","6381","82","2026-05-31"
"서울","송파구","10879","8650","70","2026-05-31"
"서울","강동구","10171","7919","76","2026-05-31"
"부산","중구","1790","1088","109","2026-05-31"
"부산","서구","4463","3072","99","2026-05-31"
"부산","동구","4061","2786","103","2026-05-31"
"부산","영도구","5249","3449","90","2026-05-31"
"부산","부산진구","11989","9123","61","2026-05-31"
"부산","동래구","8811","6754","74","2026-05-31"
"부산","남구","8463","6300","89","2026-05-31"
"부산","북구","9293","6699","63","2026-05-31"
"부산","해운대구","12464","9585","67","2026-05-31"
"부산","사하구","10750","8031","74","2026-05-31"
"부산","금정구","8041","5934","88","2026-05-31"
"부산","강서구","2304","1578","102","2026-05-31"
"부산","연제구","6919","5326","84","2026-05-31"
"부산","수영구","6491","4884","91","2026-05-31"
"부산","사상구","7177","5219","77","2026-05-31"
"부산","기장군","5763","4297","87","2026-05-31"
"대구","중구","2753","1998","108","2026-05-31"
"대구","동구","12650","10268","70","2026-05-31"
"대구","서구","7730","6149","87","2026-05-31"
"대구","남구","6690","5169","88","2026-05-31"
"대구","북구","13258","11175","53","2026-05-31"
"대구","수성구","11807","9571","76","2026-05-31"
"대구","달서구","15251","12249","62","2026-05-31"
"대구","달성군","6648","5200","93","2026-05-31"
"대구","군위군","1493","980","116","2026-05-31"
"인천","중구","4406","3550","98","2026-05-31"
"인천","동구","2459","1867","103","2026-05-31"
"인천","남구","0","0","1","2026-05-31"
"인천","미추홀구","14248","11547","61","2026-05-31"
"인천","연수구","7063","5594","85","2026-05-31"
"인천","남동구","17187","14229","43","2026-05-31"
"인천","부평구","14933","12002","56","2026-05-31"
"인천","계양구","8843","7179","66","2026-05-31"
"인천","서구","14691","12367","52","2026-05-31"
"인천","강화군","3968","3024","91","2026-05-31"
"인천","옹진군","453","232","90","2026-05-31"
"광주","동구","4576","3208","106","2026-05-31"
"광주","서구","8498","6416","88","2026-05-31"
"광주","남구","7628","5629","83","2026-05-31"
"광주","북구","14967","11287","57","2026-05-31"
"광주","광산구","10079","7753","80","2026-05-31"
"대전","동구","9158","7087","77","2026-05-31"
"대전","중구","9677","7735","72","2026-05-31"
"대전","서구","11652","9458","54","2026-05-31"
"대전","유성구","7274","5825","83","2026-05-31"
"대전","대덕구","5900","4426","96","2026-05-31"
"울산","중구","5425","3912","92","2026-05-31"
"울산","남구","6487","4886","78","2026-05-31"
"울산","동구","3106","2156","101","2026-05-31"
"울산","북구","3606","2609","108","2026-05-31"
"울산","울주군","6765","5192","84","2026-05-31"
"세종","_","5702","4431","88","2026-05-31"
"경기도","수원시","26479","21473","40","2026-05-31"
"경기도","성남시","20891","16976","46","2026-05-31"
"경기도","의정부시","15330","12584","50","2026-05-31"
"경기도","안양시","12292","9680","55","2026-05-31"
"경기도","부천시","22006","17378","37","2026-05-31"
"경기도","광명시","6179","4747","88","2026-05-31"
"경기도","평택시","13851","11646","56","2026-05-31"
"경기도","동두천시","4394","3254","100","2026-05-31"
"경기도","안산시","16025","12742","42","2026-05-31"
"경기도","고양시","31163","25265","31","2026-05-31"
"경기도","과천시","1181","760","103","2026-05-31"
"경기도","구리시","4505","3416","97","2026-05-31"
"경기도","남양주시","22519","19300","38","2026-05-31"
"경기도","오산시","5143","4017","82","2026-05-31"
"경기도","시흥시","11309","8871","59","2026-05-31"
"경기도","군포시","6834","5054","81","2026-05-31"
"경기도","의왕시","3662","2726","109","2026-05-31"
"경기도","하남시","6584","5245","81","2026-05-31"
"경기도","용인시","26879","22448","54","2026-05-31"
"경기도","파주시","15165","12190","44","2026-05-31"
"경기도","이천시","5762","4608","75","2026-05-31"
"경기도","안성시","7144","5935","73","2026-05-31"
"경기도","김포시","11589","9358","51","2026-05-31"
"경기도","화성시","14187","11601","53","2026-05-31"
"경기도","광주시","10317","8595","68","2026-05-31"
"경기도","양주시","10644","9094","61","2026-05-31"
"경기도","포천시","6979","5666","84","2026-05-31"
"경기도","여주시","4807","3827","90","2026-05-31"
"경기도","여주군","0","0","6","2026-05-31"
"경기도","연천군","2085","1452","104","2026-05-31"
"경기도","포천군","0","0","0","2026-05-31"
"경기도","가평군","2975","2270","101","2026-05-31"
"경기도","양평군","5785","4623","82","2026-05-31"
"충청북도","청주시","24081","20499","42","2026-05-31"
"충청북도","충주시","7930","6294","77","2026-05-31"
"충청북도","제천시","5727","4413","91","2026-05-31"
"충청북도","청원군","0","0","4","2026-05-31"
"충청북도","보은군","2208","1601","103","2026-05-31"
"충청북도","옥천군","3013","2232","114","2026-05-31"
"충청북도","영동군","3143","2380","112","2026-05-31"
"충청북도","증평군","1314","916","123","2026-05-31"
"충청북도","진천군","2463","1705","110","2026-05-31"
"충청북도","괴산군","1933","1319","117","2026-05-31"
"충청북도","음성군","3378","2567","85","2026-05-31"
"충청북도","단양군","1356","876","94","2026-05-31"
"충청남도","천안시","14762","11957","38","2026-05-31"
"충청남도","공주시","5961","4646","84","2026-05-31"
"충청남도","보령시","4800","3655","92","2026-05-31"
"충청남도","아산시","8734","6933","63","2026-05-31"
"충청남도","서산시","7522","6145","86","2026-05-31"
"충청남도","논산시","7263","5702","79","2026-05-31"
"충청남도","계룡시","956","570","105","2026-05-31"
"충청남도","당진시","6841","5566","98","2026-05-31"
"충청남도","금산군","3448","2718","97","2026-05-31"
"충청남도","연기군","0","0","0","2026-05-31"
"충청남도","부여군","4257","3223","96","2026-05-31"
"충청남도","서천군","3884","2942","95","2026-05-31"
"충청남도","청양군","2001","1360","100","2026-05-31"
"충청남도","홍성군","4937","3902","94","2026-05-31"
"충청남도","예산군","4419","3281","101","2026-05-31"
"충청남도","태안군","3347","2313","109","2026-05-31"
"충청남도","당진군","0","0","5","2026-05-31"
"전라남도","목포시","8522","6637","69","2026-05-31"
"전라남도","여수시","10011","7578","76","2026-05-31"
"전라남도","순천시","9569","7397","82","2026-05-31"
"전라남도","나주시","6332","4619","114","2026-05-31"
"전라남도","광양시","4229","3221","102","2026-05-31"
"전라남도","담양군","3082","2233","105","2026-05-31"
"전라남도","곡성군","2140","1551","94","2026-05-31"
"전라남도","구례군","2019","1541","102","2026-05-31"
"전라남도","고흥군","4882","3601","105","2026-05-31"
"전라남도","보성군","2793","1887","114","2026-05-31"
"전라남도","화순군","3688","2598","116","2026-05-31"
"전라남도","장흥군","2938","2204","109","2026-05-31"
"전라남도","강진군","2546","1869","95","2026-05-31"
"전라남도","해남군","4271","3024","104","2026-05-31"
"전라남도","영암군","2955","2087","112","2026-05-31"
"전라남도","무안군","3578","2690","109","2026-05-31"
"전라남도","함평군","2668","1883","114","2026-05-31"
"전라남도","영광군","3367","2406","115","2026-05-31"
"전라남도","장성군","3050","2225","115","2026-05-31"
"전라남도","완도군","3240","2305","116","2026-05-31"
"전라남도","진도군","1844","1274","105","2026-05-31"
"전라남도","신안군","2314","1722","94","2026-05-31"
"경상북도","포항시","16743","12435","49","2026-05-31"
"경상북도","경주시","11830","8983","86","2026-05-31"
"경상북도","김천시","6267","5136","94","2026-05-31"
"경상북도","안동시","7940","6303","72","2026-05-31"
"경상북도","구미시","8859","7358","69","2026-05-31"
"경상북도","영주시","4372","3270","95","2026-05-31"
"경상북도","영천시","5855","4631","90","2026-05-31"
"경상북도","상주시","6122","4974","89","2026-05-31"
"경상북도","문경시","4449","3572","99","2026-05-31"
"경상북도","경산시","9966","8262","76","2026-05-31"
"경상북도","의성군","4290","3354","101","2026-05-31"
"경상북도","청송군","1336","828","107","2026-05-31"
"경상북도","영양군","858","589","74","2026-05-31"
"경상북도","영덕군","2715","1928","112","2026-05-31"
"경상북도","청도군","3169","2502","92","2026-05-31"
"경상북도","고령군","1620","1064","114","2026-05-31"
"경상북도","성주군","2491","1798","102","2026-05-31"
"경상북도","칠곡군","3705","2966","95","2026-05-31"
"경상북도","예천군","3236","2434","101","2026-05-31"
"경상북도","봉화군","1477","944","94","2026-05-31"
"경상북도","울진군","2894","2154","93","2026-05-31"
"경상북도","울릉군","90","30","61","2026-05-31"
"경상남도","창원시","29337","23132","47","2026-05-31"
"경상남도","진주시","12761","10326","57","2026-05-31"
"경상남도","통영시","4558","3417","101","2026-05-31"
"경상남도","사천시","5695","4517","99","2026-05-31"
"경상남도","김해시","14242","11055","48","2026-05-31"
"경상남도","밀양시","6411","4877","93","2026-05-31"
"경상남도","거제시","5386","4094","93","2026-05-31"
"경상남도","양산시","10452","8110","76","2026-05-31"
"경상남도","의령군","1979","1391","112","2026-05-31"
"경상남도","함안군","3720","2870","105","2026-05-31"
"경상남도","창녕군","4167","3294","92","2026-05-31"
"경상남도","고성군","3329","2584","97","2026-05-31"
"경상남도","남해군","3611","2787","106","2026-05-31"
"경상남도","하동군","3712","2936","98","2026-05-31"
"경상남도","산청군","3158","2354","101","2026-05-31"
"경상남도","함양군","2731","2029","102","2026-05-31"
"경상남도","거창군","3597","2821","104","2026-05-31"
"경상남도","합천군","3075","2158","101","2026-05-31"
"제주","제주시","11961","9181","54","2026-05-31"
"제주","서귀포시","4920","3209","95","2026-05-31"
"강원","춘천시","10561","8583","51","2026-05-31"
"강원","원주시","11059","9086","62","2026-05-31"
"강원","강릉시","8575","7060","77","2026-05-31"
"강원","동해시","3259","2467","104","2026-05-31"
"강원","태백시","1400","751","112","2026-05-31"
"강원","속초시","2313","1619","105","2026-05-31"
"강원","삼척시","2605","1749","102","2026-05-31"
"강원","홍천군","2705","1921","100","2026-05-31"
"강원","횡성군","1998","1424","108","2026-05-31"
"강원","영월군","1668","1118","112","2026-05-31"
"강원","평창군","1579","935","105","2026-05-31"
"강원","정선군","1264","828","101","2026-05-31"
"강원","철원군","1480","910","105","2026-05-31"
"강원","화천군","690","382","87","2026-05-31"
"강원","양구군","630","295","114","2026-05-31"
"강원","인제군","763","366","106","2026-05-31"
"강원","고성군","915","573","116","2026-05-31"
"강원","양양군","1165","752","110","2026-05-31"
"전북","전주시","22341","17659","45","2026-05-31"
"전북","군산시","10734","8155","75","2026-05-31"
"전북","익산시","12250","9546","69","2026-05-31"
"전북","정읍시","7025","5149","103","2026-05-31"
"전북","남원시","4925","3774","109","2026-05-31"
"전북","김제시","5536","4039","103","2026-05-31"
