기준일,시도,시군구,신청자_공개값합계,신청자_비공개셀수,신청자_추정하한,신청자_추정상한,인정자_공개값합계,인정자_비공개셀수,인정자_추정하한,인정자_추정상한,비공개규칙주의
2022-12-31,서울특별시,종로구,2830,0,2830,2830,2036,0,2036,2036,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,중구,2521,0,2521,2521,1786,0,1786,1786,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,용산구,3569,0,3569,3569,2640,0,2640,2640,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,성동구,4787,0,4787,4787,3416,0,3416,3416,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,광진구,5451,0,5451,5451,4136,0,4136,4136,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,동대문구,7390,0,7390,7390,5296,0,5296,5296,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,중랑구,8757,0,8757,8757,6581,0,6581,6581,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,성북구,8709,0,8709,8709,6548,0,6548,6548,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,강북구,7455,0,7455,7455,5283,0,5283,5283,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,도봉구,7769,0,7769,7769,5770,0,5770,5770,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,노원구,11170,0,11170,11170,8185,0,8185,8185,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,은평구,10067,0,10067,10067,7506,0,7506,7506,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,서대문구,6122,0,6122,6122,4503,0,4503,4503,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,마포구,5590,0,5590,5590,4236,0,4236,4236,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,양천구,7901,0,7901,7901,5958,0,5958,5958,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,강서구,12539,0,12539,12539,9454,0,9454,9454,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,구로구,8460,0,8460,8460,6396,0,6396,6396,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,금천구,5086,0,5086,5086,3802,0,3802,3802,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,영등포구,7159,0,7159,7159,5319,0,5319,5319,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
2022-12-31,서울특별시,동작구,6449,0,6449,6449,4596,0,4596,4596,2022년 파일은 5명 미만 실제 숫자가 보이며 이후 파일과 공개규칙이 다를 수 있음
