시설_지역코드,기관유형코드,시도명,시군구명,기관유형명,기관수,현원확인기관수,현원결측행수,정원합계_현원확인기관,현원합계,원자료_현원정원비,가동률,가동률해석가능,지표해석,정원초과행수,자료기준,용도
11110,A03,서울특별시,종로구,노인요양시설(개정법),8,8,0,382.0,369,0.9659685863874345,0.9659685863874345,True,정원 대비 현원 가동률,0.0,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11110,A04,서울특별시,종로구,노인요양공동생활가정,1,1,0,9.0,8,0.8888888888888888,0.8888888888888888,True,정원 대비 현원 가동률,0.0,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11110,B01,서울특별시,종로구,재가노인복지시설 방문요양,7,7,0,0.0,78,,,False,방문형·복지용구는 정원 대비 비율 해석 금지,,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11110,B02,서울특별시,종로구,재가노인복지시설 방문목욕,4,4,0,0.0,2,,,False,방문형·복지용구는 정원 대비 비율 해석 금지,,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11110,B03,서울특별시,종로구,재가노인복지시설 주야간보호,5,5,0,101.0,72,0.7128712871287128,0.7128712871287128,True,정원 대비 현원 가동률,0.0,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11110,B05,서울특별시,종로구,재가노인복지시설 방문간호,1,1,0,0.0,0,,,False,방문형·복지용구는 정원 대비 비율 해석 금지,,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11110,B06,서울특별시,종로구,재가노인복지시설 복지용구,1,1,0,0.0,0,,,False,방문형·복지용구는 정원 대비 비율 해석 금지,,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11110,C01,서울특별시,종로구,재가장기요양기관 방문요양,13,13,0,0.0,309,,,False,방문형·복지용구는 정원 대비 비율 해석 금지,,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11110,C02,서울특별시,종로구,재가장기요양기관 방문목욕,6,6,0,0.0,2,,,False,방문형·복지용구는 정원 대비 비율 해석 금지,,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11110,H31,서울특별시,종로구,주야간보호내치매전담1실,1,1,0,20.0,20,1.0,1.0,True,정원 대비 현원 가동률,0.0,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11140,A03,서울특별시,중구,노인요양시설(개정법),2,2,0,74.0,74,1.0,1.0,True,정원 대비 현원 가동률,0.0,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11140,A04,서울특별시,중구,노인요양공동생활가정,1,1,0,9.0,7,0.7777777777777778,0.7777777777777778,True,정원 대비 현원 가동률,0.0,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11140,B01,서울특별시,중구,재가노인복지시설 방문요양,11,11,0,0.0,406,,,False,방문형·복지용구는 정원 대비 비율 해석 금지,,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11140,B02,서울특별시,중구,재가노인복지시설 방문목욕,8,8,0,0.0,2,,,False,방문형·복지용구는 정원 대비 비율 해석 금지,,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11140,B03,서울특별시,중구,재가노인복지시설 주야간보호,6,6,0,187.0,176,0.9411764705882353,0.9411764705882353,True,정원 대비 현원 가동률,1.0,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11140,C01,서울특별시,중구,재가장기요양기관 방문요양,6,6,0,0.0,212,,,False,방문형·복지용구는 정원 대비 비율 해석 금지,,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11140,C02,서울특별시,중구,재가장기요양기관 방문목욕,6,6,0,0.0,2,,,False,방문형·복지용구는 정원 대비 비율 해석 금지,,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11140,H31,서울특별시,중구,주야간보호내치매전담1실,1,1,0,16.0,16,1.0,1.0,True,정원 대비 현원 가동률,0.0,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11170,A03,서울특별시,용산구,노인요양시설(개정법),2,2,0,172.0,167,0.9709302325581395,0.9709302325581395,True,정원 대비 현원 가동률,0.0,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11170,B01,서울특별시,용산구,재가노인복지시설 방문요양,6,6,0,0.0,168,,,False,방문형·복지용구는 정원 대비 비율 해석 금지,,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11170,B02,서울특별시,용산구,재가노인복지시설 방문목욕,4,4,0,0.0,4,,,False,방문형·복지용구는 정원 대비 비율 해석 금지,,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11170,B03,서울특별시,용산구,재가노인복지시설 주야간보호,6,6,0,139.0,130,0.935251798561151,0.935251798561151,True,정원 대비 현원 가동률,1.0,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
11170,C01,서울특별시,용산구,재가장기요양기관 방문요양,15,15,0,16.0,648,40.5,,False,방문형·복지용구는 정원 대비 비율 해석 금지,,2025-04-01,2026년 현재값이 아닌 과거 가동률 민감도 기준
