"SGIS_시도코드","SGIS_시군구코드","SGIS_시군구결합코드","시도명","시군구명","전체지역명","기준시점"
"11","010","11010","서울특별시","종로구","서울특별시 종로구","2025-06"
"11","020","11020","서울특별시","중구","서울특별시 중구","2025-06"
"11","030","11030","서울특별시","용산구","서울특별시 용산구","2025-06"
"11","040","11040","서울특별시","성동구","서울특별시 성동구","2025-06"
"11","050","11050","서울특별시","광진구","서울특별시 광진구","2025-06"
"11","060","11060","서울특별시","동대문구","서울특별시 동대문구","2025-06"
"11","070","11070","서울특별시","중랑구","서울특별시 중랑구","2025-06"
"11","080","11080","서울특별시","성북구","서울특별시 성북구","2025-06"
"11","090","11090","서울특별시","강북구","서울특별시 강북구","2025-06"
"11","100","11100","서울특별시","도봉구","서울특별시 도봉구","2025-06"
"11","110","11110","서울특별시","노원구","서울특별시 노원구","2025-06"
"11","120","11120","서울특별시","은평구","서울특별시 은평구","2025-06"
"11","130","11130","서울특별시","서대문구","서울특별시 서대문구","2025-06"
"11","140","11140","서울특별시","마포구","서울특별시 마포구","2025-06"
"11","150","11150","서울특별시","양천구","서울특별시 양천구","2025-06"
"11","160","11160","서울특별시","강서구","서울특별시 강서구","2025-06"
"11","170","11170","서울특별시","구로구","서울특별시 구로구","2025-06"
"11","180","11180","서울특별시","금천구","서울특별시 금천구","2025-06"
"11","190","11190","서울특별시","영등포구","서울특별시 영등포구","2025-06"
"11","200","11200","서울특별시","동작구","서울특별시 동작구","2025-06"
"11","210","11210","서울특별시","관악구","서울특별시 관악구","2025-06"
"11","220","11220","서울특별시","서초구","서울특별시 서초구","2025-06"
"11","230","11230","서울특별시","강남구","서울특별시 강남구","2025-06"
"11","240","11240","서울특별시","송파구","서울특별시 송파구","2025-06"
"11","250","11250","서울특별시","강동구","서울특별시 강동구","2025-06"
"21","010","21010","부산광역시","중구","부산광역시 중구","2025-06"
"21","020","21020","부산광역시","서구","부산광역시 서구","2025-06"
"21","030","21030","부산광역시","동구","부산광역시 동구","2025-06"
"21","040","21040","부산광역시","영도구","부산광역시 영도구","2025-06"
"21","050","21050","부산광역시","부산진구","부산광역시 부산진구","2025-06"
"21","060","21060","부산광역시","동래구","부산광역시 동래구","2025-06"
"21","070","21070","부산광역시","남구","부산광역시 남구","2025-06"
"21","080","21080","부산광역시","북구","부산광역시 북구","2025-06"
"21","090","21090","부산광역시","해운대구","부산광역시 해운대구","2025-06"
"21","100","21100","부산광역시","사하구","부산광역시 사하구","2025-06"
"21","110","21110","부산광역시","금정구","부산광역시 금정구","2025-06"
"21","120","21120","부산광역시","강서구","부산광역시 강서구","2025-06"
"21","130","21130","부산광역시","연제구","부산광역시 연제구","2025-06"
"21","140","21140","부산광역시","수영구","부산광역시 수영구","2025-06"
"21","150","21150","부산광역시","사상구","부산광역시 사상구","2025-06"
"21","510","21510","부산광역시","기장군","부산광역시 기장군","2025-06"
"22","010","22010","대구광역시","중구","대구광역시 중구","2025-06"
"22","020","22020","대구광역시","동구","대구광역시 동구","2025-06"
"22","030","22030","대구광역시","서구","대구광역시 서구","2025-06"
"22","040","22040","대구광역시","남구","대구광역시 남구","2025-06"
"22","050","22050","대구광역시","북구","대구광역시 북구","2025-06"
"22","060","22060","대구광역시","수성구","대구광역시 수성구","2025-06"
"22","070","22070","대구광역시","달서구","대구광역시 달서구","2025-06"
"22","510","22510","대구광역시","달성군","대구광역시 달성군","2025-06"
"22","520","22520","대구광역시","군위군","대구광역시 군위군","2025-06"
"23","010","23010","인천광역시","중구","인천광역시 중구","2025-06"
"23","020","23020","인천광역시","동구","인천광역시 동구","2025-06"
"23","040","23040","인천광역시","연수구","인천광역시 연수구","2025-06"
"23","050","23050","인천광역시","남동구","인천광역시 남동구","2025-06"
"23","060","23060","인천광역시","부평구","인천광역시 부평구","2025-06"
"23","070","23070","인천광역시","계양구","인천광역시 계양구","2025-06"
"23","080","23080","인천광역시","서구","인천광역시 서구","2025-06"
"23","090","23090","인천광역시","미추홀구","인천광역시 미추홀구","2025-06"
"23","510","23510","인천광역시","강화군","인천광역시 강화군","2025-06"
"23","520","23520","인천광역시","옹진군","인천광역시 옹진군","2025-06"
"24","010","24010","광주광역시","동구","광주광역시 동구","2025-06"
"24","020","24020","광주광역시","서구","광주광역시 서구","2025-06"
"24","030","24030","광주광역시","남구","광주광역시 남구","2025-06"
"24","040","24040","광주광역시","북구","광주광역시 북구","2025-06"
"24","050","24050","광주광역시","광산구","광주광역시 광산구","2025-06"
"25","010","25010","대전광역시","동구","대전광역시 동구","2025-06"
"25","020","25020","대전광역시","중구","대전광역시 중구","2025-06"
"25","030","25030","대전광역시","서구","대전광역시 서구","2025-06"
"25","040","25040","대전광역시","유성구","대전광역시 유성구","2025-06"
"25","050","25050","대전광역시","대덕구","대전광역시 대덕구","2025-06"
"26","010","26010","울산광역시","중구","울산광역시 중구","2025-06"
"26","020","26020","울산광역시","남구","울산광역시 남구","2025-06"
"26","030","26030","울산광역시","동구","울산광역시 동구","2025-06"
"26","040","26040","울산광역시","북구","울산광역시 북구","2025-06"
"26","510","26510","울산광역시","울주군","울산광역시 울주군","2025-06"
