법정동코드,기준연월,시도명,시군구명,읍면동명,리명,전체세대수,1인세대,2인세대,3인세대,4인세대,5인세대,6인세대,7인세대,8인세대,9인세대,10인이상세대
1111010100,2026-06-30,서울특별시,종로구,청운동,,831,185,215,188,180,42,15,4,1,1,0
1111010200,2026-06-30,서울특별시,종로구,신교동,,580,238,135,104,76,21,6,0,0,0,0
1111010300,2026-06-30,서울특별시,종로구,궁정동,,109,68,11,17,8,4,1,0,0,0,0
1111010400,2026-06-30,서울특별시,종로구,효자동,,225,88,51,45,30,5,6,0,0,0,0
1111010500,2026-06-30,서울특별시,종로구,창성동,,189,96,43,27,19,3,1,0,0,0,0
1111010600,2026-06-30,서울특별시,종로구,통의동,,176,123,20,17,10,1,1,3,0,0,1
1111010700,2026-06-30,서울특별시,종로구,적선동,,12,5,4,2,1,0,0,0,0,0,0
1111010800,2026-06-30,서울특별시,종로구,통인동,,328,167,78,44,30,5,4,0,0,0,0
1111010900,2026-06-30,서울특별시,종로구,누상동,,1333,495,331,280,170,46,5,3,2,1,0
1111011000,2026-06-30,서울특별시,종로구,누하동,,345,158,92,53,22,17,3,0,0,0,0
1111011100,2026-06-30,서울특별시,종로구,옥인동,,900,387,254,160,74,17,5,2,0,1,0
1111011200,2026-06-30,서울특별시,종로구,체부동,,387,230,80,42,27,7,0,0,0,0,1
1111011300,2026-06-30,서울특별시,종로구,필운동,,482,262,90,65,49,13,2,1,0,0,0
1111011400,2026-06-30,서울특별시,종로구,내자동,,50,34,11,4,1,0,0,0,0,0,0
1111011500,2026-06-30,서울특별시,종로구,사직동,,1389,548,315,276,187,46,11,4,1,0,1
1111011700,2026-06-30,서울특별시,종로구,당주동,,133,49,35,32,13,3,0,1,0,0,0
1111011800,2026-06-30,서울특별시,종로구,내수동,,1534,896,280,195,121,32,6,2,2,0,0
1111012000,2026-06-30,서울특별시,종로구,신문로1가,,36,17,10,5,3,0,1,0,0,0,0
1111012100,2026-06-30,서울특별시,종로구,신문로2가,,376,212,83,36,39,4,1,0,0,0,1
1111012200,2026-06-30,서울특별시,종로구,청진동,,57,54,2,1,0,0,0,0,0,0,0
1111012300,2026-06-30,서울특별시,종로구,서린동,,2,2,0,0,0,0,0,0,0,0,0
1111012400,2026-06-30,서울특별시,종로구,수송동,,186,130,41,10,3,1,1,0,0,0,0
1111012500,2026-06-30,서울특별시,종로구,중학동,,3,2,1,0,0,0,0,0,0,0,0
1111012600,2026-06-30,서울특별시,종로구,종로1가,,72,50,16,3,3,0,0,0,0,0,0
1111012700,2026-06-30,서울특별시,종로구,공평동,,1,1,0,0,0,0,0,0,0,0,0
1111012800,2026-06-30,서울특별시,종로구,관훈동,,61,50,8,1,2,0,0,0,0,0,0
1111012900,2026-06-30,서울특별시,종로구,견지동,,127,78,11,17,11,5,3,2,0,0,0
1111013000,2026-06-30,서울특별시,종로구,와룡동,,58,42,9,4,3,0,0,0,0,0,0
1111013100,2026-06-30,서울특별시,종로구,권농동,,57,34,13,5,5,0,0,0,0,0,0
1111013200,2026-06-30,서울특별시,종로구,운니동,,100,77,9,8,4,2,0,0,0,0,0
1111013300,2026-06-30,서울특별시,종로구,익선동,,730,575,85,38,24,6,2,0,0,0,0
1111013400,2026-06-30,서울특별시,종로구,경운동,,197,160,27,6,4,0,0,0,0,0,0
1111013500,2026-06-30,서울특별시,종로구,관철동,,297,285,7,3,1,0,1,0,0,0,0
1111013600,2026-06-30,서울특별시,종로구,인사동,,56,46,6,4,0,0,0,0,0,0,0
1111013700,2026-06-30,서울특별시,종로구,낙원동,,604,479,68,36,16,4,0,0,0,0,1
1111013800,2026-06-30,서울특별시,종로구,종로2가,,65,65,0,0,0,0,0,0,0,0,0
1111013900,2026-06-30,서울특별시,종로구,팔판동,,120,49,29,23,14,2,1,2,0,0,0
1111014000,2026-06-30,서울특별시,종로구,삼청동,,603,321,130,74,55,19,4,0,0,0,0
1111014100,2026-06-30,서울특별시,종로구,안국동,,123,66,27,11,12,5,1,1,0,0,0
1111014200,2026-06-30,서울특별시,종로구,소격동,,49,16,12,10,8,2,1,0,0,0,0
1111014300,2026-06-30,서울특별시,종로구,화동,,86,34,28,14,8,2,0,0,0,0,0
1111014400,2026-06-30,서울특별시,종로구,사간동,,68,40,16,8,3,1,0,0,0,0,0
1111014600,2026-06-30,서울특별시,종로구,가회동,,461,237,101,65,46,9,3,0,0,0,0
1111014700,2026-06-30,서울특별시,종로구,재동,,44,25,11,6,0,2,0,0,0,0,0
1111014800,2026-06-30,서울특별시,종로구,계동,,444,221,89,70,47,8,5,2,1,0,1
1111014900,2026-06-30,서울특별시,종로구,원서동,,851,416,186,151,68,21,8,0,1,0,0
1111015100,2026-06-30,서울특별시,종로구,묘동,,20,18,2,0,0,0,0,0,0,0,0
1111015200,2026-06-30,서울특별시,종로구,봉익동,,37,26,7,3,0,0,1,0,0,0,0
1111015300,2026-06-30,서울특별시,종로구,돈의동,,730,706,15,5,3,1,0,0,0,0,0
1111015400,2026-06-30,서울특별시,종로구,장사동,,60,51,6,1,1,1,0,0,0,0,0
1111015500,2026-06-30,서울특별시,종로구,관수동,,334,318,11,1,3,1,0,0,0,0,0
1111015600,2026-06-30,서울특별시,종로구,종로3가,,120,117,3,0,0,0,0,0,0,0,0
1111015700,2026-06-30,서울특별시,종로구,인의동,,529,250,93,105,58,16,4,2,1,0,0
1111015800,2026-06-30,서울특별시,종로구,예지동,,20,16,1,3,0,0,0,0,0,0,0
1111015900,2026-06-30,서울특별시,종로구,원남동,,372,301,44,19,6,1,0,0,1,0,0
1111016000,2026-06-30,서울특별시,종로구,연지동,,909,837,45,14,8,4,1,0,0,0,0
1111016100,2026-06-30,서울특별시,종로구,종로4가,,13,10,2,0,1,0,0,0,0,0,0
1111016200,2026-06-30,서울특별시,종로구,효제동,,707,598,78,21,7,3,0,0,0,0,0
1111016300,2026-06-30,서울특별시,종로구,종로5가,,205,184,17,3,1,0,0,0,0,0,0
1111016400,2026-06-30,서울특별시,종로구,종로6가,,272,165,57,30,18,1,0,1,0,0,0
1111016500,2026-06-30,서울특별시,종로구,이화동,,998,625,190,111,51,16,2,3,0,0,0
