program,availability_start,sido,sigungu,region_name,source_scope,causal_use_warning
장기요양 재택의료센터 2차 시범사업,2024-01-01,서울특별시,강남구,서울특별시 강남구,2차 시범사업 운영지역,1차 28개 지역 포함 여부를 별도 식별하기 전에는 최초 도입일로 사용 금지
장기요양 재택의료센터 2차 시범사업,2024-01-01,서울특별시,강북구,서울특별시 강북구,2차 시범사업 운영지역,1차 28개 지역 포함 여부를 별도 식별하기 전에는 최초 도입일로 사용 금지
장기요양 재택의료센터 2차 시범사업,2024-01-01,서울특별시,강서구,서울특별시 강서구,2차 시범사업 운영지역,1차 28개 지역 포함 여부를 별도 식별하기 전에는 최초 도입일로 사용 금지
장기요양 재택의료센터 2차 시범사업,2024-01-01,서울특별시,관악구,서울특별시 관악구,2차 시범사업 운영지역,1차 28개 지역 포함 여부를 별도 식별하기 전에는 최초 도입일로 사용 금지
장기요양 재택의료센터 2차 시범사업,2024-01-01,서울특별시,노원구,서울특별시 노원구,2차 시범사업 운영지역,1차 28개 지역 포함 여부를 별도 식별하기 전에는 최초 도입일로 사용 금지
장기요양 재택의료센터 2차 시범사업,2024-01-01,서울특별시,도봉구,서울특별시 도봉구,2차 시범사업 운영지역,1차 28개 지역 포함 여부를 별도 식별하기 전에는 최초 도입일로 사용 금지
장기요양 재택의료센터 2차 시범사업,2024-01-01,서울특별시,마포구,서울특별시 마포구,2차 시범사업 운영지역,1차 28개 지역 포함 여부를 별도 식별하기 전에는 최초 도입일로 사용 금지
장기요양 재택의료센터 2차 시범사업,2024-01-01,서울특별시,성북구,서울특별시 성북구,2차 시범사업 운영지역,1차 28개 지역 포함 여부를 별도 식별하기 전에는 최초 도입일로 사용 금지
장기요양 재택의료센터 2차 시범사업,2024-01-01,서울특별시,송파구,서울특별시 송파구,2차 시범사업 운영지역,1차 28개 지역 포함 여부를 별도 식별하기 전에는 최초 도입일로 사용 금지
장기요양 재택의료센터 2차 시범사업,2024-01-01,서울특별시,은평구,서울특별시 은평구,2차 시범사업 운영지역,1차 28개 지역 포함 여부를 별도 식별하기 전에는 최초 도입일로 사용 금지
장기요양 재택의료센터 2차 시범사업,2024-01-01,서울특별시,종로구,서울특별시 종로구,2차 시범사업 운영지역,1차 28개 지역 포함 여부를 별도 식별하기 전에는 최초 도입일로 사용 금지
장기요양 재택의료센터 2차 시범사업,2024-01-01,서울특별시,중랑구,서울특별시 중랑구,2차 시범사업 운영지역,1차 28개 지역 포함 여부를 별도 식별하기 전에는 최초 도입일로 사용 금지
장기요양 재택의료센터 2차 시범사업,2024-01-01,경기도,고양시,경기도 고양시,2차 시범사업 운영지역,1차 28개 지역 포함 여부를 별도 식별하기 전에는 최초 도입일로 사용 금지
장기요양 재택의료센터 2차 시범사업,2024-01-01,경기도,구리시,경기도 구리시,2차 시범사업 운영지역,1차 28개 지역 포함 여부를 별도 식별하기 전에는 최초 도입일로 사용 금지
장기요양 재택의료센터 2차 시범사업,2024-01-01,경기도,남양주시,경기도 남양주시,2차 시범사업 운영지역,1차 28개 지역 포함 여부를 별도 식별하기 전에는 최초 도입일로 사용 금지
장기요양 재택의료센터 2차 시범사업,2024-01-01,경기도,부천시,경기도 부천시,2차 시범사업 운영지역,1차 28개 지역 포함 여부를 별도 식별하기 전에는 최초 도입일로 사용 금지
장기요양 재택의료센터 2차 시범사업,2024-01-01,경기도,성남시,경기도 성남시,2차 시범사업 운영지역,1차 28개 지역 포함 여부를 별도 식별하기 전에는 최초 도입일로 사용 금지
