연도,성별,연령,인정등급,이용자 실인원수(전체),이용자 실인원수(재가 및 복지용구),이용자 실인원수(재가),이용자 실인원수(시설),이용자수(방문요양),이용자수(방문목욕),이용자수(방문간호),이용자수(주야간보호),이용자수(치매전담형주야간보호),이용자수(단기보호),이용자수(복지용구),이용자수(가족요양비),이용자수(노인요양시설),이용자수(시설내치매전담실가형),이용자수(시설내치매전담실나형),이용자수(노인요양공동생활가정),이용자수(치매전담형공동생활가정)
2025,남자,65세미만,1등급,1147,763,505,415,482,111,91,22,0,*,634,*,393,0 ,0 ,29 ,0 
2025,남자,65세미만,2등급,1277,764,563,585,523,103,37,61,*,7,642,0,557,*,0 ,38 ,*
2025,남자,65세미만,3등급,4181,3166,2669,1176,2348,365,78,433,9,12,2337,*,1114,22 ,*,62 ,0 
2025,남자,65세미만,4등급,5416,4592,4269,976,3896,433,89,488,15,8,3007,*,919,17 ,*,57 ,*
2025,남자,65세미만,5등급,1251,1152,1124,105,869,54,7,283,9,*,547,0,100,*,*,*,*
2025,남자,65세미만,인지지원등급,121,120,82,*,*,0,0,78,*,0,65,0,*,0 ,0 ,0 ,0 
2025,남자,65-69세,1등급,1579,1254,910,386,878,186,123,30,*,*,986,0,366,0 ,0 ,25 ,*
2025,남자,65-69세,2등급,2116,1532,1247,682,1167,231,97,116,*,6,1221,0,658,*,0 ,29 ,0 
2025,남자,65-69세,3등급,7651,6355,5634,1564,5092,682,170,734,28,24,4464,7,1499,19 ,*,65 ,0 
2025,남자,65-69세,4등급,12641,11471,10850,1455,9995,1009,199,1088,32,14,7043,6,1352,22 ,6 ,108 ,*
2025,남자,65-69세,5등급,2831,2692,2599,159,2111,159,37,564,18,*,1325,0,156,*,0 ,*,0 
2025,남자,65-69세,인지지원등급,275,275,183,0,18,0,*,160,6,0,136,0,0,0 ,0 ,0 ,0 
2025,남자,70-74세,1등급,1700,1287,914,475,878,212,182,42,0,*,1108,*,447,*,0 ,34 ,0 
2025,남자,70-74세,2등급,2812,2011,1641,937,1524,330,140,173,*,13,1666,*,882,*,*,65 ,0 
2025,남자,70-74세,3등급,10991,9425,8535,1990,7620,1159,256,1245,33,32,6692,14,1865,28 ,*,127 ,*
2025,남자,70-74세,4등급,19675,18166,17343,1990,15656,1677,338,2020,60,24,10893,19,1875,46 ,*,101 ,*
2025,남자,70-74세,5등급,4361,4207,4059,189,3134,267,41,1039,41,*,1975,6,178,*,0 ,10 ,*
2025,남자,70-74세,인지지원등급,316,315,235,*,19,*,0,215,*,0,144,0,*,0 ,0 ,0 ,0 
2025,남자,75-79세,1등급,1939,1451,1001,580,924,262,201,57,*,*,1304,*,552,0 ,*,34 ,0 
2025,남자,75-79세,2등급,3596,2694,2162,1126,1940,509,185,259,10,10,2281,*,1083,*,0 ,51 ,*
2025,남자,75-79세,3등급,14551,12530,11287,2681,9585,1687,356,2052,62,46,8973,15,2542,44 ,10 ,125 ,*
2025,남자,75-79세,4등급,25965,24007,22734,2818,19340,2584,424,3873,59,39,14252,40,2674,40 ,*,146 ,*
2025,남자,75-79세,5등급,6518,6316,6104,242,4085,440,64,2158,69,10,2734,8,225,*,*,17 ,0 
2025,남자,75-79세,인지지원등급,480,480,361,0,12,*,0,343,8,0,183,0,0,0 ,0 ,0 ,0 
2025,남자,80-84세,1등급,1852,1300,919,674,837,241,167,95,0,7,1175,0,643,*,0 ,40 ,0 
2025,남자,80-84세,2등급,4467,3266,2679,1538,2350,717,267,388,*,16,2807,*,1464,10 ,*,80 ,*
2025,남자,80-84세,3등급,17863,14833,13287,4134,10444,2493,395,3168,67,48,10598,29,3929,74 ,11 ,181 ,*
2025,남자,80-84세,4등급,32656,29839,28022,4367,21745,4070,537,6791,130,64,17860,57,4143,90 ,10 ,196 ,7 
2025,남자,80-84세,5등급,9339,9089,8668,302,5081,846,91,3689,107,10,3927,15,288,9 ,*,9 ,0 
2025,남자,80-84세,인지지원등급,762,762,591,0,20,0,0,550,26,0,272,0,0,0 ,0 ,0 ,0 
2025,남자,85세이상,1등급,2601,1884,1455,882,1342,347,253,119,0,*,1700,*,843,*,0 ,50 ,0 
2025,남자,85세이상,2등급,7280,5130,4360,2735,3937,1137,350,486,11,13,4339,*,2602,14 ,*,136 ,*
