연도,평가등급,기관종류,급여종류,장기요양기관수(개),수급자수(명)
2021,A,시설,입소시설30인이상,454,33622
2021,A,시설,입소시설10이상30인미만,216,4989
2021,A,시설,입소시설10인미만,88,735
2021,B,시설,입소시설30인이상,555,34045
2021,B,시설,입소시설10이상30인미만,411,9174
2021,B,시설,입소시설10인미만,247,1973
2021,C,시설,입소시설30인이상,370,20301
2021,C,시설,입소시설10이상30인미만,351,7429
2021,C,시설,입소시설10인미만,387,3109
2021,D,시설,입소시설30인이상,166,7875
2021,D,시설,입소시설10이상30인미만,230,4639
2021,D,시설,입소시설10인미만,262,2009
2021,E,시설,입소시설30인이상,180,9233
2021,E,시설,입소시설10이상30인미만,201,3618
2021,E,시설,입소시설10인미만,305,2254
2020,A,재가,재가노인복지시설 주야간보호,160,3573
2020,A,재가,재가장기요양기관 단기보호,1,4
2020,A,재가,재가장기요양기관 주야간보호,140,3912
2020,A,재가,주야간보호내치매전담1실,8,270
2020,B,재가,재가노인복지시설 단기보호,3,15
2020,B,재가,재가노인복지시설 주야간보호,148,2795
2020,B,재가,재가장기요양기관 단기보호,3,37
2020,B,재가,재가장기요양기관 주야간보호,253,5333
2020,B,재가,주야간보호내치매전담1실,4,148
2020,C,재가,재가노인복지시설 단기보호,6,59
2020,C,재가,재가노인복지시설 주야간보호,71,1275
2020,C,재가,재가장기요양기관 단기보호,6,48
2020,C,재가,재가장기요양기관 주야간보호,113,2050
2020,C,재가,주야간보호내치매전담1실,7,113
2020,D,재가,재가노인복지시설 주야간보호,23,405
2020,D,재가,재가장기요양기관 단기보호,1,8
2020,D,재가,재가장기요양기관 주야간보호,52,984
2020,E,재가,재가노인복지시설 단기보호,2,33
2020,E,재가,재가노인복지시설 주야간보호,24,427
2020,E,재가,재가장기요양기관 단기보호,1,4
2020,E,재가,재가장기요양기관 주야간보호,50,841
2019,A,재가,재가노인복지시설 단기보호,2,14
2019,A,재가,재가노인복지시설 주야간보호,288,5880
2019,A,재가,재가장기요양기관 단기보호,1,8
2019,A,재가,재가장기요양기관 주야간보호,156,4213
2019,A,재가,주야간보호내치매전담1실,3,67
2019,B,재가,재가노인복지시설 단기보호,7,100
2019,B,재가,재가노인복지시설 주야간보호,183,3668
2019,B,재가,재가장기요양기관 단기보호,13,77
2019,B,재가,재가장기요양기관 주야간보호,208,4388
2019,B,재가,주야간보호내치매전담1실,3,102
2019,C,재가,재가노인복지시설 단기보호,4,63
2019,C,재가,재가노인복지시설 주야간보호,70,1100
2019,C,재가,재가장기요양기관 단기보호,8,54
2019,C,재가,재가장기요양기관 주야간보호,143,2334
2019,D,재가,재가노인복지시설 단기보호,2,21
2019,D,재가,재가노인복지시설 주야간보호,34,534
2019,D,재가,재가장기요양기관 단기보호,2,16
2019,D,재가,재가장기요양기관 주야간보호,79,1301
2019,E,재가,재가노인복지시설 단기보호,3,10
2019,E,재가,재가노인복지시설 주야간보호,22,351
2019,E,재가,재가장기요양기관 단기보호,1,5
2019,E,재가,재가장기요양기관 주야간보호,69,1010
2018,A,시설,입소시설30인이상,400,32596
2018,A,시설,입소시설10이상30인미만,114,2655
2018,A,시설,입소시설10인미만,57,492
2018,B,시설,입소시설30인이상,383,24022
2018,B,시설,입소시설10이상30인미만,285,6200
2018,B,시설,입소시설10인미만,254,2044
2018,C,시설,입소시설30인이상,341,19135
2018,C,시설,입소시설10이상30인미만,349,7370
2018,C,시설,입소시설10인미만,355,2845
2018,D,시설,입소시설30인이상,207,11081
2018,D,시설,입소시설10이상30인미만,290,5918
2018,D,시설,입소시설10인미만,347,2700
2018,E,시설,입소시설30인이상,159,7641
2018,E,시설,입소시설10이상30인미만,290,5586
2018,E,시설,입소시설10인미만,456,3118
