"longTermAdminSym","adminNm","adminPttnCd","siDoCd","siGunGuCd","longTermPeribRgtDt","stpRptDt"
"31174000277","가안복지센터","C01","11","740","20160630","20160630"
"31174000277","가안복지센터","C02","11","740","20160630","20160630"
"31174000284","해뜨는방문요양센터","C01","11","740","20160921","20160921"
"31174000284","해뜨는방문요양센터","C02","11","740","20160921","20160921"
"31174000285","""1288""참사랑노인복지센터","C01","11","740","20161010","20161010"
"31174000285","""1288""참사랑노인복지센터","C02","11","740","20161010","20161010"
"31156000258","영등포재가방문요양건강센터","C01","11","560","20180601","20180601"
"31156000258","영등포재가방문요양건강센터","C02","11","560","20180601","20180601"
"31156000268","한마음재가노인복지센터","C01","11","560","20181016","20181016"
"31156000268","한마음재가노인복지센터","C02","11","560","20181016","20181016"
"31156000270","가디언엔젤스 재가복지센터","C01","11","560","20181128","20181128"
"31156000270","가디언엔젤스 재가복지센터","C02","11","560","20181128","20181128"
"31156000271","노인상담 재가복지센터","C01","11","560","20181204","20181204"
"31156000271","노인상담 재가복지센터","C02","11","560","20181204","20181204"
"31156000273","단비재가노인복지센터","C01","11","560","20181212","20181212"
"31156000273","단비재가노인복지센터","C02","11","560","20181212","20181212"
"31156000275","더나은재가방문요양센터","C01","11","560","20190411","20190411"
"31156000275","더나은재가방문요양센터","C02","11","560","20190411","20190411"
"31156000279","서울재가어르신요양센터","C01","11","560","20190521","20190521"
"31156000279","서울재가어르신요양센터","C02","11","560","20190521","20190521"
"31156000289","온누리재가복지센타","C01","11","560","20191122","20191122"
"31156000289","온누리재가복지센타","C02","11","560","20191122","20191122"
"31156000290","(주)고운손재가복지센터","C01","11","560","20191122","20191122"
"31156000290","(주)고운손재가복지센터","C02","11","560","20191122","20191122"
"31156000291","여의도소망방문요양센터","C01","11","560","20191204","20191204"
"31156000294","국민건강재가복지센터","C01","11","560","20191209","20191209"
"31156000294","국민건강재가복지센터","C02","11","560","20191209","20191209"
"31156000298","에이스(Ace)재가복지센터","C01","11","560","20191211","20191211"
"31156000298","에이스(Ace)재가복지센터","C02","11","560","20191211","20191211"
"31156000298","에이스(Ace)재가복지센터","C05","11","560","20191211","20191211"
"31156000299","연세재가복지센터","C01","11","560","20191211","20191211"
"31156000302","나눔케어노인복지재가센터","C01","11","560","20191223","20191223"
"31156000302","나눔케어노인복지재가센터","C02","11","560","20191223","20191223"
"31159000017","나누미 방문요양센터","C01","11","590","20080814","20080814"
"31159000017","나누미 방문요양센터","C02","11","590","20080814","20080814"
"31159000026","중앙의료기","C06","11","590","20081212","20081212"
"31159000036","장솔노인복지센터","C01","11","590","20090302","20090302"
"31159000036","장솔노인복지센터","C02","11","590","20090302","20090302"
"31174000022","보훈의료기","C06","11","740","20080709","19931108"
"31174000027","해피죤재가방문요양센터","C01","11","740","20080715","20080715"
"31174000027","해피죤재가방문요양센터","C02","11","740","20080715","20080715"
"31174000031","대양의료기","C06","11","740","20080728","20080728"
"31174000032","천호의료기상사","C06","11","740","20080807","20080807"
"31174000059","'한빛'재가요양센터","C01","11","740","20090327","20090327"
"31174000059","'한빛'재가요양센터","C02","11","740","20090327","20090327"
"31174000062","''강동오륜''방문요양센터","C01","11","740","20090330","20090330"
"31174000062","''강동오륜''방문요양센터","C02","11","740","20090330","20090330"
"31174000072","새희망 재가장기요양센터","C01","11","740","20090527","20090527"
"31174000072","새희망 재가장기요양센터","C02","11","740","20090527","20090527"
