longTermAdminSym_request,adminPttnCd_request,siDoCd_request,siGunGuCd_request,adminNm_request,resultCode,resultMsg,cyclTm,longTermAdminSym,pgmNm,pgmType,runPlc,tgtNop
11111000006,A03,11,110,청운노인요양원,00,NORMAL SERVICE.,1,11111000006,물리치료,2,"물리치료실, 생활실",35
11111000056,A03,11,110,인자인케어센터,REQUEST_ERROR,HTTPError: HTTP Error 429: Too Many Requests,,,,,,
11111000060,A03,11,110,평창동시니어센터,00,NORMAL SERVICE.,2,11111000060,다함께 춤을,2,각 층 거실,38
11111000068,A03,11,110,아름다운뜰안에 요양원,00,NORMAL SERVICE.,1,11111000068,재활 및 운동치료,2,각층생활실,38
11111000076,A03,11,110,서울여자간호대학교 휴먼캐슬,00,NORMAL SERVICE.,1,11111000076,미술활동,1,2층 프로그램실,14
11111000088,A04,11,110,아름다운실버홈,00,NORMAL SERVICE.,1,11111000088,여가 프로그램,1,프로그램실,9
11120000056,A04,11,200,한마음너싱홈,REQUEST_ERROR,HTTPError: HTTP Error 429: Too Many Requests,,,,,,
11120000110,A04,11,200,서울숲 요양원,00,NORMAL SERVICE.,1,11120000110,노래듣기,3,,9
11120000126,A04,11,200,서울숲재활요양원,00,NORMAL SERVICE.,1,11120000126,예배,3,프로그램실,9
11120000190,A04,11,200,금호무지개요양원,00,NORMAL SERVICE.,1,11120000190,힘뇌체조,1,생활실,9
21111000001,B01,11,110,서울시 종로구 재가노인복지기관,00,NORMAL SERVICE.,,,,,,
21111000123,B01,11,110,효성재가요양복지센터,REQUEST_ERROR,HTTPError: HTTP Error 429: Too Many Requests,,,,,,
21111000126,B01,11,110,종로재가복지센터,00,NORMAL SERVICE.,,,,,,
21111000127,B01,11,110,주민재가방문요양센터,00,NORMAL SERVICE.,,,,,,
21111000130,B01,11,110,종로이화재가복지센터,00,NORMAL SERVICE.,,,,,,
21111000123,B02,11,110,효성재가요양복지센터,00,NORMAL SERVICE.,,,,,,
21111000126,B02,11,110,종로재가복지센터,00,NORMAL SERVICE.,,,,,,
21111000130,B02,11,110,종로이화재가복지센터,00,NORMAL SERVICE.,,,,,,
21111000132,B02,11,110,참터재가복지센터,00,NORMAL SERVICE.,,,,,,
21111000139,B02,11,110,우리재가복지센터,00,NORMAL SERVICE.,,,,,,
21111000008,B03,11,110,종로데이케어센터,00,NORMAL SERVICE.,1,21111000008,의료서비스,3,생활실,17
21111000034,B03,11,110,청운실버데이케어센터,00,NORMAL SERVICE.,1,21111000034,책활용,1,프로그램실,28
21111000066,B03,11,110,보현데이케어센터,00,NORMAL SERVICE.,1,21111000066,가요교실(화_오전 : 강*자 강사),8,프로그램실,20
21111000085,B03,11,110,혜화동성당데이케어센터,00,NORMAL SERVICE.,1,21111000085,물리치료,2,프로그램실,21
21111000136,B03,11,110,수석데이케어센터,00,NORMAL SERVICE.,1,21111000136,생신잔치,3,생활실,43
21120000122,B04,11,200,서울숲 단기보호센터,00,NORMAL SERVICE.,1,21120000122,색칠하기,1,프로그램실,9
21121500214,B04,11,215,더행복데이케어센터,00,NORMAL SERVICE.,1,21121500214,음악치료,1,생활실,27
21121500283,B04,11,215,광진늘푸른단기보호센타,00,NORMAL SERVICE.,5,21121500283,신체기능훈련,2,프로그램실,9
21123000348,B04,11,230,맑은샘단기보호센터,00,NORMAL SERVICE.,,,,,,
21123000372,B04,11,230,"소망재가복지 (단기보호, 방문요양)",00,NORMAL SERVICE.,1,21123000372,기본체조,2,,6
21111000126,B05,11,110,종로재가복지센터,00,NORMAL SERVICE.,,,,,,
21111000130,B05,11,110,종로이화재가복지센터,00,NORMAL SERVICE.,,,,,,
21111000145,B05,11,110,행복이음재가복지센터,00,NORMAL SERVICE.,,,,,,
21114000095,B05,11,140,나무방문간호센터,00,NORMAL SERVICE.,,,,,,
21117000191,B05,11,170,아가페방문간호센터,00,NORMAL SERVICE.,,,,,,
21111000126,B06,11,110,종로재가복지센터,00,NORMAL SERVICE.,,,,,,
21117000172,B06,11,170,강원전자주식회사 복지용구센터 더돌봄,00,NORMAL SERVICE.,,,,,,
21117000182,B06,11,170,엠에이디실버,00,NORMAL SERVICE.,,,,,,
21120000189,B06,11,200,빠른케어 성동사업소,00,NORMAL SERVICE.,,,,,,
21120000194,B06,11,200,우리의료기,00,NORMAL SERVICE.,,,,,,
31111000035,C01,11,110,효사랑플러스홈케어,00,NORMAL SERVICE.,,,,,,
31111000048,C01,11,110,웃음드림방문요양센터,00,NORMAL SERVICE.,,,,,,
31111000050,C01,11,110,돌보미실버센터,00,NORMAL SERVICE.,,,,,,
31111000063,C01,11,110,행복한재가노인복지센터,00,NORMAL SERVICE.,,,,,,
31111000074,C01,11,110,운화실버복지센터,00,NORMAL SERVICE.,,,,,,
31111000048,C02,11,110,웃음드림방문요양센터,00,NORMAL SERVICE.,,,,,,
31111000086,C02,11,110,효자요양센터,00,NORMAL SERVICE.,,,,,,
31111000108,C02,11,110,정드림방문요양센터,00,NORMAL SERVICE.,,,,,,
31111000117,C02,11,110,행복한동행재가노인복지센터,00,NORMAL SERVICE.,,,,,,
31111000118,C02,11,110,세종노인요양복지센터,00,NORMAL SERVICE.,,,,,,
31117000153,C03,11,170,시온사랑 데이케어센터,00,NORMAL SERVICE.,1,31117000153,"힘뇌체조, 시니어 맨손체조,낙상예방체조",2,시온사랑데이케어센터 내,43
31123000235,C03,11,230,다솜데이케어센터,00,NORMAL SERVICE.,1,31123000235,"생신잔치, 어버이날행사, 명절행사 등",3,생활실,20
31130500283,C03,11,305,강북광산데이케어센터,00,NORMAL SERVICE.,1,31130500283,종이접기,2,생활실,54
31132000114,C03,11,320,도봉늘푸른치매인지재활데이케어센터,00,NORMAL SERVICE.,1,31132000114,신체활동,3,프로그램실,20
31132000157,C03,11,320,행복드림데이케어센터,00,NORMAL SERVICE.,1,31132000157,"지필활동(언어력,지남력)",1,프로그램실,20
31121500164,C04,11,215,실버밸리노인단기보호센터,00,NORMAL SERVICE.,1,31121500164,회상프로그램,1,프로그램실,12
31121500197,C04,11,215,성동실버케어요양원,00,NORMAL SERVICE.,1,31121500197,상자속 물건맞추기,1,요양원 생활실,9
31132000220,C04,11,320,동그라미 인지/재활 데이케어센터,00,NORMAL SERVICE.,1,31132000220,"힘뇌체조, 건강체조",2,원내프로그램실,9
31132000294,C04,11,320,도봉효드림요양원,00,NORMAL SERVICE.,1,31132000294,언어,1,프로그램실,9
31132000320,C04,11,320,도봉요양원,00,NORMAL SERVICE.,1,31132000320,치매예방 프로그램,1,기관내,9
31114000018,C05,11,140,우영요양센터,00,NORMAL SERVICE.,,,,,,
