longTermAdminSym,adminPttnCd,adminNm,siDoCd,siGunGuCd,resultCode,resultMsg,fmNowPer,maNowPer,totPer,raw_file,raw_sha256
11111000006,A03,청운노인요양원,11,110,00,NORMAL SERVICE.,33,0,38,data/raw/nhis_ltci_detail_occupancy_20260723/A03/11111000006.xml,398ff0802bbf69948c2887aa6cedadbe4a0e3b163e1e15422d4d32d0481c42d8
11111000056,A03,인자인케어센터,11,110,00,NORMAL SERVICE.,34,8,42,data/raw/nhis_ltci_detail_occupancy_20260723/A03/11111000056.xml,df263b62581e246b8413839b7488ffb19ab5f43496f7b2ba7d2ba3f8312e7039
11111000060,A03,평창동시니어센터,11,110,00,NORMAL SERVICE.,54,14,68,data/raw/nhis_ltci_detail_occupancy_20260723/A03/11111000060.xml,5e0cb3583677f8baeaadc269bda8193d89fc675d25fb808de5866653b62aa903
11111000068,A03,아름다운뜰안에 요양원,11,110,00,NORMAL SERVICE.,30,4,38,data/raw/nhis_ltci_detail_occupancy_20260723/A03/11111000068.xml,cf71c5bbfd8b8669e2abcb95a3ff74b1489058bcf719371a0ec7bcdbb97797ad
11111000076,A03,서울여자간호대학교 휴먼캐슬,11,110,00,NORMAL SERVICE.,36,0,38,data/raw/nhis_ltci_detail_occupancy_20260723/A03/11111000076.xml,a5215f7eecdc5947141d2e76f65851138884401f4b89c4365911bebc7ff848db
11111000078,A03,세검정실버홈,11,110,00,NORMAL SERVICE.,19,4,23,data/raw/nhis_ltci_detail_occupancy_20260723/A03/11111000078.xml,47141d9984f98e379e4658b98295404f0b4ac04f8b50a03a98ddc4d9d8ddc84f
11111000135,A03,아름다운재활요양원,11,110,00,NORMAL SERVICE.,50,6,58,data/raw/nhis_ltci_detail_occupancy_20260723/A03/11111000135.xml,152b38c09f0dc62ae719121956b10cba621992d4082c68cd1ba6bde5ab25f2b0
11111000155,A03,아름다운시니어스 요양원,11,110,00,NORMAL SERVICE.,52,16,77,data/raw/nhis_ltci_detail_occupancy_20260723/A03/11111000155.xml,639b7274e0e1859b3a4ed63b022a3ab53a62ddfa917db51736e7ed04cba43634
11114000030,A03,남산실버복지센터,11,140,00,NORMAL SERVICE.,14,0,14,data/raw/nhis_ltci_detail_occupancy_20260723/A03/11114000030.xml,1842d9ff5f38431c3da2a5e7def29ede1af2ba99d231ada208f01bb61ac7329c
11114000040,A03,구립중구노인요양센터,11,140,00,NORMAL SERVICE.,53,8,61,data/raw/nhis_ltci_detail_occupancy_20260723/A03/11114000040.xml,f0c09571ddf5e3e2bf061a3f3ea863a834ffb32f76b424c5958bddc630e671ca
