"facility_code","facility_name","facility_type_code","facility_type_name","certification_flag","facility_status_code"
"00000","한국사회보장정보원2","010401","재가노인복지시설","","1"
"A0001","서울꽃동네신내노인요양원","010201","노인의료복지시설","","1"
"A0003","청운노인요양원","010201","노인의료복지시설","","1"
"A0004","홍파양로원","010101","노인주거복지시설","","1"
"A0007","천사노인요양원","010201","노인의료복지시설","","1"
"A0009","녹동어울림","010202","노인의료복지시설","","1"
"A0011","용인노인요양원","010201","노인의료복지시설","","1"
"A0012","참사랑전문요양원","010201","노인의료복지시설","","1"
"A0013","성안나의집","010201","노인의료복지시설","","1"
"A0015","인천신생요양원","010201","노인의료복지시설","","1"
"A0016","서울특별시립 남부노인전문요양원","010201","노인의료복지시설","","1"
"A0017","화성시동탄노인복지관","010301","노인여가복지시설","","1"
"A0018","평강의집","010201","노인의료복지시설","","1"
"A0019","혜명양로원","010101","노인주거복지시설","","1"
"A0020","사회복지법인 죽파재단 감천장요양원","010201","노인의료복지시설","","1"
"A0021","안산시립노인전문요양원","010201","노인의료복지시설","","1"
"A0022","영락경로원","010101","노인주거복지시설","","1"
"A0023","신일양로원","010101","노인주거복지시설","","1"
"A0025","늘푸른노인전문요양시설","010201","노인의료복지시설","","1"
"A0026","늘푸른노인요양원","010201","노인의료복지시설","","1"
"A0027","윤금노인요양원","010201","노인의료복지시설","","1"
"A0028","노인요양시설 행복의집","010201","노인의료복지시설","","1"
"A0029","성심노인요양원","010201","노인의료복지시설","","1"
"A0031","홍복양로원","010101","노인주거복지시설","","1"
"A0033","파랑새노인건강센터","010201","노인의료복지시설","","1"
"A0034","보령요양원","010201","노인의료복지시설","","1"
"A0035","벧엘요양원","010201","노인의료복지시설","","1"
"A0036","벧엘타운","010101","노인주거복지시설","","1"
"A0037","광덕원","010201","노인의료복지시설","","1"
"A0038","이레마을노인요양원","010201","노인의료복지시설","","1"
"A0039","성암마루","010201","노인의료복지시설","","1"
"A0041","천혜경로원","010201","노인의료복지시설","","1"
"A0042","디아코니아노인요양원","010201","노인의료복지시설","","1"
"A0043","남원소망의문","010201","노인의료복지시설","","1"
"A0044","춘천시립요양원","010201","노인의료복지시설","","1"
"A0045","관촌원광수양원","010201","노인의료복지시설","","1"
"A0046","화천 원광 보은의집","010201","노인의료복지시설","","1"
"A0048","안식의집","010201","노인의료복지시설","","1"
"A0049","정다운요양원","010201","노인의료복지시설","","1"
"A0050","제주양로원","010101","노인주거복지시설","","1"
"A0051","청해요양원","010201","노인의료복지시설","","1"
"A0052","주사랑요양원","010201","노인의료복지시설","","1"
"A0053","제주요양원","010201","노인의료복지시설","","1"
"A0056","푸른마을재가노인복지센터","010401","재가노인복지시설","","1"
"A0058","제주노인복지센터","010401","재가노인복지시설","","1"
"A0060","제광원","010201","노인의료복지시설","","1"
"A0061","세화요양원","010201","노인의료복지시설","","1"
"A0063","성이시돌요양원","010201","노인의료복지시설","","1"
"A0064","소망요양원","010201","노인의료복지시설","","1"
"A0065","인효원보은의집","010201","노인의료복지시설","","1"
"A0066","제주원광요양원","010201","노인의료복지시설","","1"
"A0070","청주노인요양원","010201","노인의료복지시설","","1"
"A0071","태백노인전문요양원","010201","노인의료복지시설","","1"
"A0072","동해시노인요양원","010201","노인의료복지시설","","1"
"A0073","영락양로원","010101","노인주거복지시설","","1"
"A0074","영주노인전문요양원","010201","노인의료복지시설","","1"
"A0076","제주평화양로원","010101","노인주거복지시설","","1"
"A0077","강릉효도마을","010201","노인의료복지시설","","1"
"A0079","영락양로원","010101","노인주거복지시설","","1"
"A0081","강릉중앙재단 평안의집","010101","노인주거복지시설","","1"
"A0083","붓다의집","010201","노인의료복지시설","","1"
"A0085","실버홈노인요양원","010201","노인의료복지시설","","1"
"A0088","제주태고원","010201","노인의료복지시설","","1"
"A0089","전주요양원","010201","노인의료복지시설","","1"
"A0091","남제주요양원","010201","노인의료복지시설","","1"
"A0093","고향의 집","010201","노인의료복지시설","","1"
"A0094","상애원","010101","노인주거복지시설","","1"
"A0095","상애노인전문요양원","010201","노인의료복지시설","","1"
"A0098","시립고덕양로원","010101","노인주거복지시설","","1"
"A0099","노인요양센터 인영실버","010201","노인의료복지시설","","1"
"A0100","동명노인복지센타","010201","노인의료복지시설","","1"
"A0103","다사랑요양원","010201","노인의료복지시설","","1"
"A0106","예닮마을","010101","노인주거복지시설","","1"
"A0109","기쁨이가득한집","010102","노인주거복지시설","","1"
"A0111","은혜마을","010201","노인의료복지시설","","1"
"A0113","평복영락양로원","010101","노인주거복지시설","","1"
"A0114","뉴스프링","010201","노인의료복지시설","","1"
"A0115","성녀루이제의집","010101","노인주거복지시설","","1"
"A0117","포천분도마을","010201","노인의료복지시설","","1"
"A0120","한나요양원","010201","노인의료복지시설","","1"
"A0121","한나그린힐","010201","노인의료복지시설","","1"
"A0122","가평꽃동네노인요양시설(평화의집)","010201","노인의료복지시설","","1"
"A0127","내와동산","010201","노인의료복지시설","","1"
"A0129","낙산요양원","010201","노인의료복지시설","","1"
"A0130","글라라의 집","010201","노인의료복지시설","","1"
"A0131","영기노인요양원","010201","노인의료복지시설","","1"
"A0135","춘천시립양로원","010101","노인주거복지시설","","1"
"A0136","기쁨의집","010201","노인의료복지시설","","1"
"A0139","예가노인전문요양원","010201","노인의료복지시설","","1"
"A0140","새별이요양원","010202","노인의료복지시설","","1"
"A0142","옥천꽃동네성모노인요양원","010201","노인의료복지시설","","1"
"A0143","꽃동네노인요양원","010201","노인의료복지시설","","1"
"A0145","보은의집","010201","노인의료복지시설","","1"
"A0148","성가정요양원","010202","노인의료복지시설","","1"
"A0149","양지노인마을","010201","노인의료복지시설","","1"
"A0151","만수노인복지원","010201","노인의료복지시설","","1"
"A0152","서천 마서요양원","010201","노인의료복지시설","","1"
"A0153","온양정애원","010101","노인주거복지시설","","1"
"A0156","전의요셉의 집","010201","노인의료복지시설","","1"
"A0160","장수전문요양원","010201","노인의료복지시설","","1"
"A0165","솔뫼베네딕도의 집","010101","노인주거복지시설","","1"
"A0168","계양재가노인지원서비스센터","010401","재가노인복지시설","","1"
"A0170","인우원","010201","노인의료복지시설","","1"
"A0172","연화마을","010201","노인의료복지시설","","1"
"A0173","제일너싱홈","010201","노인의료복지시설","","1"
"A0175","한빛마을","010201","노인의료복지시설","","1"
"A0176","원광상록원","010201","노인의료복지시설","","1"
"A0177","정읍원광보은의집","010201","노인의료복지시설","","1"
"A0178","신성양로원","010101","노인주거복지시설","","1"
"A0180","백향노인전문요양원","010201","노인의료복지시설","","1"
"A0183","서산노인요양원","010201","노인의료복지시설","","1"
"A0184","사은의집","010201","노인의료복지시설","","1"
"A0185","신안사랑마을","010201","노인의료복지시설","","1"
"A0186","복음양로원","010101","노인주거복지시설","","1"
