장기요양기관코드,기관유형코드,기관유형명,정원,현원
11100000001,A01,노인요양시설,92,87
11100000001,A03,노인요양시설(개정법),92,81
11111000001,A01,노인요양시설,27,26
11111000001,A03,노인요양시설(개정법),16,13
11111000002,A03,노인요양시설(개정법),23,23
11111000002,A02,노인전문요양시설,40,26
11111000003,A04,노인요양공동생활가정,9,8
11111000003,A01,노인요양시설,20,10
11111000004,A02,노인전문요양시설,41,41
11111000005,A02,노인전문요양시설,9,0
11111000006,A01,노인요양시설,50,42
11111000006,A03,노인요양시설(개정법),45,35
11111000007,A02,노인전문요양시설,46,40
11111000009,A02,노인전문요양시설,10,10
11111000033,A02,노인전문요양시설,10,10
11111000033,A04,노인요양공동생활가정,9,8
11111000056,A03,노인요양시설(개정법),42,41
11111000056,A02,노인전문요양시설,0,41
11111000060,A03,노인요양시설(개정법),68,67
11111000061,A04,노인요양공동생활가정,0,8
11111000068,A03,노인요양시설(개정법),38,37
11111000076,A03,노인요양시설(개정법),38,36
11111000078,A03,노인요양시설(개정법),23,23
11111000087,A03,노인요양시설(개정법),77,67
11111000088,A03,노인요양시설(개정법),16,15
11111000110,A04,노인요양공동생활가정,7,5
11111000113,A04,노인요양공동생활가정,8,7
11111000135,A03,노인요양시설(개정법),58,58
11114000030,A03,노인요양시설(개정법),14,13
11114000040,A03,노인요양시설(개정법),60,60
11114000042,A04,노인요양공동생활가정,8,0
11114000043,A04,노인요양공동생활가정,9,9
11114000047,A03,노인요양시설(개정법),25,24
11117000004,A04,노인요양공동생활가정,9,7
11117000004,A01,노인요양시설,25,15
11117000011,A02,노인전문요양시설,71,71
11117000046,A05,노인요양시설(단기보호 전환),9,9
11117000046,A04,노인요양공동생활가정,8,8
11117000053,A04,노인요양공동생활가정,9,4
11117000054,A02,노인전문요양시설,67,67
11117000054,A03,노인요양시설(개정법),91,93
11117000056,A04,노인요양공동생활가정,8,0
11117000059,A04,노인요양공동생활가정,,5
11117000062,A04,노인요양공동생활가정,9,9
11117000075,A03,노인요양시설(개정법),81,81
11117000092,A03,노인요양시설(개정법),81,80
11117000095,A03,노인요양시설(개정법),20,18
11117000110,A04,노인요양공동생활가정
11117000112,A04,노인요양공동생활가정,,7
11117000119,A03,노인요양시설(개정법),22,21
11117000159,A03,노인요양시설(개정법),22,15
11120000003,A02,노인전문요양시설,9,9
11120000010,G33,치매전담실가형3실,16,16
11120000010,G31,치매전담실가형1실,16,16
11120000010,A03,노인요양시설(개정법),232,228
11120000010,G32,치매전담실가형2실,16,16
11120000010,A02,노인전문요양시설,,293
11120000010,G34,치매전담실가형4실,16,16
11120000022,A02,노인전문요양시설,9,9
11120000056,A04,노인요양공동생활가정,9,9
11120000065,A03,노인요양시설(개정법),46,32
11120000065,A05,노인요양시설(단기보호 전환),21,16
11120000066,A03,노인요양시설(개정법),11,0
11120000080,A04,노인요양공동생활가정,9,9
11120000081,A04,노인요양공동생활가정,9,0
11120000093,A03,노인요양시설(개정법),49,25
11120000095,A04,노인요양공동생활가정,9,9
11120000096,A04,노인요양공동생활가정,9,9
11120000100,A04,노인요양공동생활가정,9,9
11120000101,A04,노인요양공동생활가정,9,8
11120000110,A04,노인요양공동생활가정,9,8
11120000126,A04,노인요양공동생활가정,9,9
11120000170,A04,노인요양공동생활가정,9,9
11120000180,A03,노인요양시설(개정법),29,25
11120000190,A04,노인요양공동생활가정,9,9
11121500003,A02,노인전문요양시설,13,0
11121500004,A04,노인요양공동생활가정,9,8
11121500005,A03,노인요양시설(개정법),29,28
11121500009,A04,노인요양공동생활가정,9,6
11121500036,A03,노인요양시설(개정법),49,37
11121500044,A04,노인요양공동생활가정,9,8
11121500052,A03,노인요양시설(개정법),26,26
11121500054,A04,노인요양공동생활가정,9,7
11121500057,A04,노인요양공동생활가정,9,7
11121500068,A03,노인요양시설(개정법),,123
11121500075,A03,노인요양시설(개정법),24,23
11121500084,A03,노인요양시설(개정법),14,7
