장기요양기관코드,장기요양기관이름,우편번호,시도코드,시군구코드,법정동코드,시도 시군구 법정동명,지정일자,설치신고일자
11111000006,청운노인요양원,03001,11,110,182,서울특별시 종로구 구기동,2008-06-25,2008-06-25
11111000033,청운실버센터,03047,11,110,101,서울특별시 종로구 청운동,2009-02-27,2009-02-27
11111000056,인자인케어센터,03006,11,110,183,서울특별시 종로구 평창동,2010-07-01,2010-07-01
11111000060,평창동시니어센터,03006,11,110,183,서울특별시 종로구 평창동,2010-11-25,2010-11-25
11111000068,아름다운뜰안에 요양원,03005,11,110,183,서울특별시 종로구 평창동,2011-08-16,2011-08-16
11111000076,서울여자간호대학교 휴먼캐슬,03004,11,110,183,서울특별시 종로구 평창동,2013-05-30,2013-05-30
11111000078,세검정실버홈,03008,11,110,183,서울특별시 종로구 평창동,2014-02-08,2014-02-08
11111000087,해피움시니어스타워(종로점),03015,11,110,185,서울특별시 종로구 홍지동,2015-08-17,2015-08-17
11111000088,아름다운실버홈,03002,11,110,183,서울특별시 종로구 평창동,2015-12-08,2013-04-08
11111000135,아름다운재활요양원,03004,11,110,183,서울특별시 종로구 평창동,2023-03-15,2023-03-07
11114000030,남산실버복지센터,04595,11,140,162,서울특별시 중구 신당동,2010-02-02,2010-02-02
11114000040,구립중구노인요양센터,04622,11,140,144,서울특별시 중구 장충동2가,2012-09-28,2012-09-28
11114000043,효심원,04607,11,140,162,서울특별시 중구 신당동,2013-11-07,2013-11-07
11117000054,구립용산노인전문요양원,04311,11,170,119,서울특별시 용산구 효창동,2010-10-30,2008-07-09
11117000092,구립한남노인요양원,04419,11,170,131,서울특별시 용산구 한남동,2014-09-01,2014-09-01
11120000010,시립동부노인전문요양센터,04706,11,200,103,서울특별시 성동구 홍익동,2008-06-19,2008-06-19
11120000056,한마음너싱홈,04805,11,200,122,서울특별시 성동구 용답동,2009-11-02,2009-10-28
11120000065,금호노인요양원,04737,11,200,112,서울특별시 성동구 금호동4가,2010-03-01,2010-03-01
11120000093,이암요양원,04700,11,200,101,서울특별시 성동구 상왕십리동,2012-08-10,2012-08-10
11120000110,서울숲 요양원,04784,11,200,115,서울특별시 성동구 성수동2가,2014-04-11,2014-04-11
