가설,기관유형코드,검정,표본수,통계량,p값,제외이유,해석제한,FDR보정p값,FDR_0.05기각
A,A01,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,A02,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,A03,Spearman 순위상관,229,-0.018475512875600817,0.7809517048258113,,공급 0 지역을 포함한 전국 행정자료의 탐색적 연관성이다. 인과관계 또는 실제 미충족수요를 의미하지 않는다.,0.8978444280277051,False
A,A04,Spearman 순위상관,229,0.008530435569525124,0.8978444280277051,,공급 0 지역을 포함한 전국 행정자료의 탐색적 연관성이다. 인과관계 또는 실제 미충족수요를 의미하지 않는다.,0.8978444280277051,False
A,A05,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,B01,Spearman 순위상관,229,0.41031956929432034,1.032643016269885e-10,,공급 0 지역을 포함한 전국 행정자료의 탐색적 연관성이다. 인과관계 또는 실제 미충족수요를 의미하지 않는다.,1.445700222777839e-09,True
A,B02,Spearman 순위상관,229,0.13240287899905456,0.045341224959686253,,공급 0 지역을 포함한 전국 행정자료의 탐색적 연관성이다. 인과관계 또는 실제 미충족수요를 의미하지 않는다.,0.09068244991937251,False
A,B03,Spearman 순위상관,229,0.07111908306935938,0.28385693984285665,,공급 0 지역을 포함한 전국 행정자료의 탐색적 연관성이다. 인과관계 또는 실제 미충족수요를 의미하지 않는다.,0.39739971577999933,False
A,B04,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,B05,Spearman 순위상관,229,0.1896614839052479,0.003969384782758579,,공급 0 지역을 포함한 전국 행정자료의 탐색적 연관성이다. 인과관계 또는 실제 미충족수요를 의미하지 않는다.,0.013892846739655025,True
A,B06,Spearman 순위상관,229,0.32952418914521686,3.351096257348133e-07,,공급 0 지역을 포함한 전국 행정자료의 탐색적 연관성이다. 인과관계 또는 실제 미충족수요를 의미하지 않는다.,2.345767380143693e-06,True
A,C01,Spearman 순위상관,229,0.1577670782297639,0.016877418303690852,,공급 0 지역을 포함한 전국 행정자료의 탐색적 연관성이다. 인과관계 또는 실제 미충족수요를 의미하지 않는다.,0.03938064270861199,True
A,C02,Spearman 순위상관,229,0.11275607080114394,0.08867950471957796,,공급 0 지역을 포함한 전국 행정자료의 탐색적 연관성이다. 인과관계 또는 실제 미충족수요를 의미하지 않는다.,0.15518913325926142,False
A,C03,Spearman 순위상관,229,0.03717739874647315,0.5756765804768659,,공급 0 지역을 포함한 전국 행정자료의 탐색적 연관성이다. 인과관계 또는 실제 미충족수요를 의미하지 않는다.,0.7326792842432838,False
A,C04,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,C05,Spearman 순위상관,229,0.2705401762349796,3.3356469775735325e-05,,공급 0 지역을 포함한 전국 행정자료의 탐색적 연관성이다. 인과관계 또는 실제 미충족수요를 의미하지 않는다.,0.00015566352562009818,True
A,C06,Spearman 순위상관,229,0.18351840320234497,0.0053422525399815304,,공급 0 지역을 포함한 전국 행정자료의 탐색적 연관성이다. 인과관계 또는 실제 미충족수요를 의미하지 않는다.,0.014958307111948285,True
A,G31,Spearman 순위상관,229,-0.0858211708596445,0.195668275823828,,공급 0 지역을 포함한 전국 행정자료의 탐색적 연관성이다. 인과관계 또는 실제 미충족수요를 의미하지 않는다.,0.3043728735037325,False
A,G32,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,G33,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,G34,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,G35,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,G36,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,G37,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,G38,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,G39,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,H31,Spearman 순위상관,229,-0.009260736381422108,0.8891526630170534,,공급 0 지역을 포함한 전국 행정자료의 탐색적 연관성이다. 인과관계 또는 실제 미충족수요를 의미하지 않는다.,0.8978444280277051,False
A,H32,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
A,H33,제외,229,,,동률 비율 50% 초과,희소서비스는 기술통계와 공급 0 비율을 우선한다.,,False
