file,rows_raw,sigungu_rows,months
mois_age_population_sigungu_201601_201603.csv,281,264,201601|201602|201603
mois_age_population_sigungu_201604_201606.csv,281,264,201604|201605|201606
mois_age_population_sigungu_201607_201609.csv,278,261,201607|201608|201609
mois_age_population_sigungu_201610_201612.csv,278,261,201610|201611|201612
mois_age_population_sigungu_201701_201703.csv,278,261,201701|201702|201703
mois_age_population_sigungu_201704_201706.csv,278,261,201704|201705|201706
mois_age_population_sigungu_201707_201709.csv,278,261,201707|201708|201709
mois_age_population_sigungu_201710_201712.csv,278,261,201710|201711|201712
mois_age_population_sigungu_201801_201803.csv,278,261,201801|201802|201803
mois_age_population_sigungu_201804_201806.csv,278,261,201804|201805|201806
mois_age_population_sigungu_201807_201809.csv,278,261,201807|201808|201809
mois_age_population_sigungu_201810_201812.csv,278,261,201810|201811|201812
mois_age_population_sigungu_201901_201903.csv,278,261,201901|201902|201903
mois_age_population_sigungu_201904_201906.csv,278,261,201904|201905|201906
mois_age_population_sigungu_201907_201909.csv,278,261,201907|201908|201909
mois_age_population_sigungu_201910_201912.csv,278,261,201910|201911|201912
mois_age_population_sigungu_202001_202003.csv,278,261,202001|202002|202003
mois_age_population_sigungu_202004_202006.csv,278,261,202004|202005|202006
mois_age_population_sigungu_202007_202009.csv,278,261,202007|202008|202009
mois_age_population_sigungu_202010_202012.csv,292,275,202010|202011|202012
mois_age_population_sigungu_202101_202103.csv,292,275,202101|202102|202103
mois_age_population_sigungu_202104_202106.csv,292,275,202104|202105|202106
mois_age_population_sigungu_202107_202109.csv,292,275,202107|202108|202109
mois_age_population_sigungu_202110_202112.csv,292,275,202110|202111|202112
mois_age_population_sigungu_202201_202203.csv,292,275,202201|202202|202203
mois_age_population_sigungu_202204_202206.csv,292,275,202204|202205|202206
mois_age_population_sigungu_202207_202209.csv,292,275,202207|202208|202209
mois_age_population_sigungu_202210_202212.csv,292,275,202210|202211|202212
mois_age_population_sigungu_202301_202303.csv,291,274,202301|202302|202303
mois_age_population_sigungu_202304_202306.csv,311,293,202304|202305|202306
mois_age_population_sigungu_202307_202309.csv,291,274,202307|202308|202309
mois_age_population_sigungu_202310_202312.csv,291,274,202310|202311|202312
mois_age_population_sigungu_202401_202403.csv,294,277,202401|202402|202403
mois_age_population_sigungu_202404_202406.csv,294,277,202404|202405|202406
mois_age_population_sigungu_202407_202409.csv,294,277,202407|202408|202409
mois_age_population_sigungu_202410_202412.csv,294,277,202410|202411|202412
mois_age_population_sigungu_202501_202503.csv,294,277,202501|202502|202503
mois_age_population_sigungu_202504_202506.csv,294,277,202504|202505|202506
mois_age_population_sigungu_202507_202509.csv,294,277,202507|202508|202509
mois_age_population_sigungu_202510_202512.csv,294,277,202510|202511|202512
